dataset,fold,models_in_subset,best_single_model,n_valid,n_test,attn_train_sec,attn_auc,attn_ece,attn_brier,ccce_auc,ccce_ece,ccce_brier,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,lift_attn_vs_best_auc,lift_attn_vs_best_ece,lift_attn_vs_mean_auc,lift_attn_vs_mean_ece,lift_attn_vs_stack_auc,lift_attn_vs_stack_ece,lift_attn_vs_static_auc,lift_attn_vs_static_ece,lift_attn_vs_ccce_auc,lift_attn_vs_ccce_ece
assist2009,0,"dkt,sakt,akt,simplekt",simplekt,52825,61904,1.4,0.843793,0.021192,0.150289,0.8452,0.008613,0.149058,0.845404,0.009785,0.149071,0.843445,0.008441,0.150022,0.833203,0.033715,0.156091,0.827817,0.054418,0.16141,0.015976,-0.033226,0.01059,-0.012523,0.000348,0.012751,-0.001611,0.011407,-0.001408,0.012579
assist2009,1,"dkt,sakt,akt,simplekt",simplekt,51822,61904,1.0,0.843828,0.010622,0.149631,0.845667,0.012679,0.148914,0.84597,0.012741,0.148777,0.844195,0.012515,0.149698,0.835115,0.025394,0.154736,0.826872,0.098352,0.171143,0.016956,-0.08773,0.008713,-0.014771,-0.000367,-0.001893,-0.002142,-0.002118,-0.001838,-0.002057
assist2009,2,"dkt,sakt,akt,simplekt",simplekt,52678,61904,0.8,0.842302,0.024477,0.151092,0.843019,0.014772,0.150157,0.843274,0.013219,0.150061,0.842281,0.009701,0.150447,0.832807,0.036529,0.156551,0.829041,0.011985,0.156935,0.013261,0.012492,0.009495,-0.012052,2.1e-05,0.014775,-0.000972,0.011258,-0.000717,0.009705
assist2009,3,"dkt,sakt,akt,simplekt",simplekt,59610,61904,0.8,0.845757,0.014142,0.148975,0.844503,0.012917,0.149446,0.844629,0.012355,0.14936,0.845204,0.010025,0.149151,0.835009,0.033767,0.155502,0.832064,0.033752,0.156539,0.013693,-0.01961,0.010748,-0.019625,0.000553,0.004117,0.001128,0.001787,0.001254,0.001225
assist2009,4,"dkt,sakt,akt,simplekt",simplekt,53915,61904,0.9,0.845368,0.027704,0.149855,0.847661,0.008061,0.148219,0.847814,0.009048,0.148162,0.845878,0.0064,0.148852,0.834475,0.036259,0.155586,0.83191,0.086021,0.165005,0.013459,-0.058316,0.010894,-0.008555,-0.00051,0.021304,-0.002445,0.018656,-0.002293,0.019644
assist2015,0,"dkt,sakt,akt,simplekt",akt,102749,134592,1.2,0.725629,0.010041,0.170711,0.725385,0.007723,0.170705,0.725433,0.007181,0.170648,0.725373,0.004449,0.170663,0.725415,0.01023,0.17078,0.718904,0.009293,0.172154,0.006725,0.000748,0.000213,-0.000189,0.000256,0.005592,0.000196,0.00286,0.000244,0.002318
assist2015,1,"dkt,sakt,akt,simplekt",dkt,103583,134592,1.3,0.729632,0.005841,0.169676,0.728864,0.007233,0.169846,0.729096,0.006739,0.169743,0.730325,0.00483,0.169514,0.728211,0.0062,0.16998,0.726397,0.010963,0.17067,0.003235,-0.005122,0.001421,-0.00036,-0.000693,0.001011,0.000536,-0.000898,0.000768,-0.001392
assist2015,2,"dkt,sakt,akt,simplekt",dkt,104370,134592,1.2,0.729266,0.006463,0.169877,0.728577,0.007281,0.170042,0.728906,0.006819,0.169942,0.730143,0.003384,0.169629,0.728113,0.007375,0.17014,0.726512,0.009957,0.170651,0.002754,-0.003494,0.001154,-0.000912,-0.000877,0.003079,0.00036,-0.000356,0.00069,-0.000818
assist2015,3,"dkt,sakt,akt,simplekt",dkt,108932,134592,1.3,0.728825,0.004836,0.169868,0.728571,0.006986,0.169934,0.72858,0.005151,0.169915,0.729717,0.003656,0.169669,0.727437,0.003917,0.170169,0.726392,0.01188,0.170717,0.002432,-0.007045,0.001387,0.000918,-0.000892,0.00118,0.000245,-0.000315,0.000253,-0.002151
assist2015,4,"dkt,sakt,akt,simplekt",dkt,109271,134592,1.6,0.729593,0.013029,0.169932,0.728422,0.007818,0.170154,0.728585,0.007162,0.170022,0.730231,0.004713,0.169604,0.727865,0.015414,0.170389,0.727275,0.006111,0.17041,0.002318,0.006918,0.001728,-0.002385,-0.000638,0.008316,0.001008,0.005867,0.001171,0.005211
