dataset,fold,granularity,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,attn_train_sec,attn_auc,attn_ece,attn_brier,ccce_auc,ccce_ece,ccce_brier,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,lift_attn_vs_best_auc,lift_attn_vs_best_ece,lift_attn_vs_mean_auc,lift_attn_vs_mean_ece,lift_attn_vs_stack_auc,lift_attn_vs_stack_ece,lift_attn_vs_static_auc,lift_attn_vs_static_ece,lift_attn_vs_ccce_auc,lift_attn_vs_ccce_ece
assist2009,0,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,43171,52254,2.6,0.78206,0.018404,0.177119,0.782926,0.010251,0.176797,0.783043,0.010994,0.176704,0.780687,0.013298,0.177668,0.776598,0.017173,0.178857,0.763575,0.078771,0.191806,0.018485,-0.060368,0.005462,0.00123,0.001373,0.005106,-0.000983,0.007409,-0.000866,0.008153
assist2009,1,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,43942,52254,0.8,0.780198,0.014506,0.177446,0.782711,0.013645,0.176457,0.783052,0.013756,0.176384,0.779916,0.014077,0.177899,0.776411,0.010109,0.178574,0.760676,0.126034,0.204737,0.019522,-0.111528,0.003787,0.004397,0.000282,0.000429,-0.002854,0.000751,-0.002513,0.000862
assist2009,2,question,"dkt,sakt,akt,simplekt",simplekt,valid,akt,43884,52254,0.6,0.778798,0.013634,0.178201,0.779426,0.016821,0.177989,0.779565,0.017013,0.177982,0.775593,0.012698,0.179458,0.773765,0.017188,0.179962,0.759104,0.025647,0.186988,0.019694,-0.012013,0.005033,-0.003554,0.003206,0.000936,-0.000767,-0.003379,-0.000627,-0.003187
assist2009,3,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,49836,52254,0.7,0.782921,0.01342,0.176591,0.781845,0.015542,0.176964,0.782362,0.015456,0.176894,0.781343,0.013,0.177403,0.777574,0.017262,0.178641,0.767424,0.057253,0.186466,0.015497,-0.043833,0.005346,-0.003841,0.001578,0.00042,0.000559,-0.002036,0.001075,-0.002122
assist2009,4,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,44892,52254,0.7,0.782593,0.031555,0.177612,0.785662,0.011538,0.1758,0.786151,0.011105,0.175572,0.782027,0.010668,0.177038,0.776597,0.029325,0.179302,0.766135,0.111292,0.197373,0.016458,-0.079737,0.005996,0.00223,0.000566,0.020886,-0.003558,0.02045,-0.003069,0.020017
assist2017,0,question,"dkt,sakt,akt,simplekt",akt,valid,akt,153067,177767,1.6,0.769132,0.015795,0.18452,0.770406,0.005353,0.183848,0.770687,0.004779,0.183694,0.769958,0.004197,0.18388,0.76334,0.038875,0.188194,0.758263,0.015686,0.188321,0.010868,0.000109,0.005792,-0.02308,-0.000827,0.011598,-0.001556,0.011016,-0.001274,0.010442
assist2017,1,question,"dkt,sakt,akt,simplekt",akt,valid,akt,141938,177767,1.6,0.76998,0.014604,0.184126,0.771314,0.005373,0.183481,0.771435,0.005054,0.183412,0.770683,0.004285,0.183613,0.763435,0.037705,0.188127,0.758171,0.01577,0.188319,0.011809,-0.001166,0.006546,-0.0231,-0.000702,0.010319,-0.001455,0.00955,-0.001333,0.009231
assist2017,2,question,"dkt,sakt,akt,simplekt",akt,valid,akt,145879,177767,1.5,0.768095,0.019649,0.185031,0.769161,0.006379,0.184259,0.769395,0.005821,0.184158,0.768838,0.006615,0.184331,0.76173,0.043886,0.189212,0.757625,0.017892,0.18869,0.010469,0.001757,0.006365,-0.024237,-0.000744,0.013034,-0.001301,0.013827,-0.001067,0.013269
assist2017,3,question,"dkt,sakt,akt,simplekt",akt,valid,akt,168980,177767,1.6,0.768816,0.024044,0.184945,0.769773,0.0064,0.183984,0.769895,0.004348,0.183863,0.769464,0.004106,0.184,0.763362,0.045767,0.188935,0.758611,0.017125,0.188194,0.010206,0.006918,0.005455,-0.021723,-0.000647,0.019937,-0.001078,0.019695,-0.000957,0.017644
assist2017,4,question,"dkt,sakt,akt,simplekt",simplekt,valid,akt,149617,177767,1.5,0.771342,0.021134,0.184069,0.772108,0.004191,0.183178,0.772146,0.006403,0.183178,0.772106,0.007574,0.183199,0.765056,0.043458,0.18816,0.757588,0.030158,0.188884,0.013754,-0.009025,0.006286,-0.022324,-0.000764,0.01356,-0.000804,0.014731,-0.000766,0.016943
