dataset,fold,scheme,seed,auc,static_auc,lift_vs_static
algebra2005,0,attention,0,0.93139,0.931894,-0.000503
algebra2005,0,moe,0,0.928609,0.931894,-0.003285
algebra2005,0,attention,1,0.931449,0.931894,-0.000444
algebra2005,0,moe,1,0.928873,0.931894,-0.003021
algebra2005,0,attention,2,0.931357,0.931894,-0.000537
algebra2005,0,moe,2,0.928733,0.931894,-0.00316
algebra2005,0,attention,3,0.931411,0.931894,-0.000483
algebra2005,0,moe,3,0.929431,0.931894,-0.002462
algebra2005,0,attention,4,0.931342,0.931894,-0.000552
algebra2005,0,moe,4,0.926311,0.931894,-0.005583
algebra2005,1,attention,0,0.929845,0.930502,-0.000657
algebra2005,1,moe,0,0.928543,0.930502,-0.001959
algebra2005,1,attention,1,0.929862,0.930502,-0.000641
algebra2005,1,moe,1,0.928182,0.930502,-0.002321
algebra2005,1,attention,2,0.929798,0.930502,-0.000705
algebra2005,1,moe,2,0.928146,0.930502,-0.002356
algebra2005,1,attention,3,0.929824,0.930502,-0.000678
algebra2005,1,moe,3,0.928494,0.930502,-0.002009
algebra2005,1,attention,4,0.929825,0.930502,-0.000677
algebra2005,1,moe,4,0.926894,0.930502,-0.003609
algebra2005,2,attention,0,0.931086,0.931982,-0.000896
algebra2005,2,moe,0,0.928178,0.931982,-0.003804
algebra2005,2,attention,1,0.931189,0.931982,-0.000792
algebra2005,2,moe,1,0.928143,0.931982,-0.003838
algebra2005,2,attention,2,0.931104,0.931982,-0.000877
algebra2005,2,moe,2,0.929076,0.931982,-0.002906
algebra2005,2,attention,3,0.931176,0.931982,-0.000806
algebra2005,2,moe,3,0.928115,0.931982,-0.003866
algebra2005,2,attention,4,0.931082,0.931982,-0.0009
algebra2005,2,moe,4,0.929163,0.931982,-0.002819
algebra2005,3,attention,0,0.931077,0.932104,-0.001027
algebra2005,3,moe,0,0.928324,0.932104,-0.00378
algebra2005,3,attention,1,0.931202,0.932104,-0.000902
algebra2005,3,moe,1,0.929337,0.932104,-0.002767
algebra2005,3,attention,2,0.931119,0.932104,-0.000985
algebra2005,3,moe,2,0.928718,0.932104,-0.003386
algebra2005,3,attention,3,0.931171,0.932104,-0.000932
algebra2005,3,moe,3,0.929065,0.932104,-0.003039
algebra2005,3,attention,4,0.93114,0.932104,-0.000964
algebra2005,3,moe,4,0.928601,0.932104,-0.003503
algebra2005,4,attention,0,0.931096,0.931189,-9.4e-05
algebra2005,4,moe,0,0.928474,0.931189,-0.002715
algebra2005,4,attention,1,0.931086,0.931189,-0.000103
algebra2005,4,moe,1,0.929711,0.931189,-0.001478
algebra2005,4,attention,2,0.930979,0.931189,-0.000211
algebra2005,4,moe,2,0.929457,0.931189,-0.001733
algebra2005,4,attention,3,0.931067,0.931189,-0.000122
algebra2005,4,moe,3,0.928117,0.931189,-0.003073
algebra2005,4,attention,4,0.931045,0.931189,-0.000144
algebra2005,4,moe,4,0.927416,0.931189,-0.003773
assist2009,0,attention,0,0.846285,0.846219,6.6e-05
assist2009,0,moe,0,0.840309,0.846219,-0.00591
assist2009,0,attention,1,0.84608,0.846219,-0.000139
assist2009,0,moe,1,0.841253,0.846219,-0.004966
assist2009,0,attention,2,0.845955,0.846219,-0.000264
assist2009,0,moe,2,0.840895,0.846219,-0.005325
assist2009,0,attention,3,0.846085,0.846219,-0.000134
assist2009,0,moe,3,0.83802,0.846219,-0.008199
assist2009,0,attention,4,0.846307,0.846219,8.8e-05
assist2009,0,moe,4,0.841245,0.846219,-0.004974
assist2009,1,attention,0,0.844919,0.846245,-0.001325
assist2009,1,moe,0,0.834916,0.846245,-0.011329
assist2009,1,attention,1,0.844954,0.846245,-0.00129
assist2009,1,moe,1,0.83915,0.846245,-0.007095
assist2009,1,attention,2,0.844764,0.846245,-0.001481
assist2009,1,moe,2,0.837701,0.846245,-0.008544
assist2009,1,attention,3,0.844507,0.846245,-0.001738
assist2009,1,moe,3,0.837621,0.846245,-0.008624
assist2009,1,attention,4,0.845014,0.846245,-0.00123
assist2009,1,moe,4,0.838639,0.846245,-0.007605
assist2009,2,attention,0,0.843925,0.844068,-0.000142
assist2009,2,moe,0,0.839095,0.844068,-0.004973
assist2009,2,attention,1,0.843803,0.844068,-0.000265
assist2009,2,moe,1,0.84144,0.844068,-0.002627
assist2009,2,attention,2,0.844224,0.844068,0.000156
assist2009,2,moe,2,0.839077,0.844068,-0.004991
assist2009,2,attention,3,0.843632,0.844068,-0.000435
assist2009,2,moe,3,0.838081,0.844068,-0.005987
assist2009,2,attention,4,0.844335,0.844068,0.000267
assist2009,2,moe,4,0.839757,0.844068,-0.004311
assist2009,3,attention,0,0.846592,0.845658,0.000934
assist2009,3,moe,0,0.839464,0.845658,-0.006194
assist2009,3,attention,1,0.846589,0.845658,0.000931
assist2009,3,moe,1,0.839037,0.845658,-0.006621
assist2009,3,attention,2,0.846227,0.845658,0.000569
assist2009,3,moe,2,0.839832,0.845658,-0.005826
assist2009,3,attention,3,0.84651,0.845658,0.000852
assist2009,3,moe,3,0.839436,0.845658,-0.006222
assist2009,3,attention,4,0.84685,0.845658,0.001192
assist2009,3,moe,4,0.841617,0.845658,-0.004041
assist2009,4,attention,0,0.846632,0.849372,-0.00274
assist2009,4,moe,0,0.837492,0.849372,-0.01188
assist2009,4,attention,1,0.846615,0.849372,-0.002757
assist2009,4,moe,1,0.84159,0.849372,-0.007782
assist2009,4,attention,2,0.846196,0.849372,-0.003176
assist2009,4,moe,2,0.84089,0.849372,-0.008482
assist2009,4,attention,3,0.845614,0.849372,-0.003758
assist2009,4,moe,3,0.839793,0.849372,-0.009578
assist2009,4,attention,4,0.846772,0.849372,-0.002599
assist2009,4,moe,4,0.840703,0.849372,-0.008669
assist2012,0,attention,0,0.777775,0.778567,-0.000792
assist2012,0,moe,0,0.773444,0.778567,-0.005123
assist2012,0,attention,1,0.777926,0.778567,-0.000642
assist2012,0,moe,1,0.772669,0.778567,-0.005898
assist2012,0,attention,2,0.777828,0.778567,-0.000739
assist2012,0,moe,2,0.77413,0.778567,-0.004437
assist2012,0,attention,3,0.777888,0.778567,-0.00068
assist2012,0,moe,3,0.773643,0.778567,-0.004924
assist2012,0,attention,4,0.777898,0.778567,-0.00067
assist2012,0,moe,4,0.773768,0.778567,-0.004799
assist2012,1,attention,0,0.777973,0.778928,-0.000955
assist2012,1,moe,0,0.773159,0.778928,-0.005769
assist2012,1,attention,1,0.778115,0.778928,-0.000813
assist2012,1,moe,1,0.774469,0.778928,-0.00446
assist2012,1,attention,2,0.778102,0.778928,-0.000826
assist2012,1,moe,2,0.773432,0.778928,-0.005496
assist2012,1,attention,3,0.778152,0.778928,-0.000777
