dataset,fold,granularity,scheme,seed,auc,static_auc,lift_vs_static
algebra2005,0,question,attention,0,0.836706,0.839452,-0.002746
algebra2005,0,question,moe,0,0.826158,0.839452,-0.013294
algebra2005,0,question,attention,1,0.836862,0.839452,-0.002589
algebra2005,0,question,moe,1,0.831249,0.839452,-0.008202
algebra2005,0,question,attention,2,0.836554,0.839452,-0.002898
algebra2005,0,question,moe,2,0.830291,0.839452,-0.009161
algebra2005,0,question,attention,3,0.836963,0.839452,-0.002488
algebra2005,0,question,moe,3,0.830607,0.839452,-0.008844
algebra2005,0,question,attention,4,0.836775,0.839452,-0.002677
algebra2005,0,question,moe,4,0.822235,0.839452,-0.017216
algebra2005,1,question,attention,0,0.833109,0.836504,-0.003395
algebra2005,1,question,moe,0,0.826662,0.836504,-0.009842
algebra2005,1,question,attention,1,0.833004,0.836504,-0.003501
algebra2005,1,question,moe,1,0.826639,0.836504,-0.009865
algebra2005,1,question,attention,2,0.833155,0.836504,-0.003349
algebra2005,1,question,moe,2,0.82727,0.836504,-0.009234
algebra2005,1,question,attention,3,0.833028,0.836504,-0.003476
algebra2005,1,question,moe,3,0.828614,0.836504,-0.00789
algebra2005,1,question,attention,4,0.833261,0.836504,-0.003243
algebra2005,1,question,moe,4,0.823822,0.836504,-0.012683
algebra2005,2,question,attention,0,0.835715,0.838781,-0.003067
algebra2005,2,question,moe,0,0.824882,0.838781,-0.013899
algebra2005,2,question,attention,1,0.835832,0.838781,-0.002949
algebra2005,2,question,moe,1,0.830225,0.838781,-0.008556
algebra2005,2,question,attention,2,0.836037,0.838781,-0.002744
algebra2005,2,question,moe,2,0.833155,0.838781,-0.005626
algebra2005,2,question,attention,3,0.836014,0.838781,-0.002767
algebra2005,2,question,moe,3,0.830075,0.838781,-0.008706
algebra2005,2,question,attention,4,0.835655,0.838781,-0.003126
algebra2005,2,question,moe,4,0.823316,0.838781,-0.015465
algebra2005,3,question,attention,0,0.835528,0.839617,-0.004088
algebra2005,3,question,moe,0,0.829741,0.839617,-0.009876
algebra2005,3,question,attention,1,0.835653,0.839617,-0.003963
algebra2005,3,question,moe,1,0.830586,0.839617,-0.00903
algebra2005,3,question,attention,2,0.835794,0.839617,-0.003822
algebra2005,3,question,moe,2,0.828436,0.839617,-0.011181
algebra2005,3,question,attention,3,0.835885,0.839617,-0.003732
algebra2005,3,question,moe,3,0.83028,0.839617,-0.009336
algebra2005,3,question,attention,4,0.835559,0.839617,-0.004058
algebra2005,3,question,moe,4,0.828728,0.839617,-0.010889
algebra2005,4,question,attention,0,0.836282,0.837544,-0.001262
algebra2005,4,question,moe,0,0.82962,0.837544,-0.007924
algebra2005,4,question,attention,1,0.836102,0.837544,-0.001443
algebra2005,4,question,moe,1,0.827383,0.837544,-0.010161
algebra2005,4,question,attention,2,0.836169,0.837544,-0.001375
algebra2005,4,question,moe,2,0.830524,0.837544,-0.00702
algebra2005,4,question,attention,3,0.83621,0.837544,-0.001334
algebra2005,4,question,moe,3,0.830895,0.837544,-0.006649
algebra2005,4,question,attention,4,0.836252,0.837544,-0.001292
algebra2005,4,question,moe,4,0.831488,0.837544,-0.006056
assist2009,0,question,attention,0,0.78206,0.783043,-0.000983
assist2009,0,question,moe,0,0.769691,0.783043,-0.013353
assist2009,0,question,attention,1,0.781676,0.783043,-0.001367
assist2009,0,question,moe,1,0.773594,0.783043,-0.009449
assist2009,0,question,attention,2,0.78125,0.783043,-0.001793
assist2009,0,question,moe,2,0.773124,0.783043,-0.00992
assist2009,0,question,attention,3,0.781242,0.783043,-0.001801
assist2009,0,question,moe,3,0.767016,0.783043,-0.016028
assist2009,0,question,attention,4,0.781921,0.783043,-0.001122
assist2009,0,question,moe,4,0.770509,0.783043,-0.012535
assist2009,1,question,attention,0,0.780198,0.783052,-0.002854
assist2009,1,question,moe,0,0.764242,0.783052,-0.01881
assist2009,1,question,attention,1,0.779914,0.783052,-0.003139
assist2009,1,question,moe,1,0.771616,0.783052,-0.011436
assist2009,1,question,attention,2,0.779875,0.783052,-0.003177
assist2009,1,question,moe,2,0.769635,0.783052,-0.013417
assist2009,1,question,attention,3,0.77942,0.783052,-0.003633
assist2009,1,question,moe,3,0.766397,0.783052,-0.016655
assist2009,1,question,attention,4,0.780309,0.783052,-0.002743
assist2009,1,question,moe,4,0.766705,0.783052,-0.016347
assist2009,2,question,attention,0,0.778798,0.779565,-0.000767
assist2009,2,question,moe,0,0.772609,0.779565,-0.006956
assist2009,2,question,attention,1,0.778409,0.779565,-0.001156
assist2009,2,question,moe,1,0.77235,0.779565,-0.007215
assist2009,2,question,attention,2,0.778326,0.779565,-0.001239
assist2009,2,question,moe,2,0.77382,0.779565,-0.005746
assist2009,2,question,attention,3,0.77829,0.779565,-0.001275
assist2009,2,question,moe,3,0.772932,0.779565,-0.006633
assist2009,2,question,attention,4,0.77863,0.779565,-0.000935
assist2009,2,question,moe,4,0.768053,0.779565,-0.011512
assist2009,3,question,attention,0,0.782921,0.782362,0.000559
assist2009,3,question,moe,0,0.770386,0.782362,-0.011976
assist2009,3,question,attention,1,0.78247,0.782362,0.000109
assist2009,3,question,moe,1,0.774516,0.782362,-0.007846
assist2009,3,question,attention,2,0.782146,0.782362,-0.000216
assist2009,3,question,moe,2,0.775768,0.782362,-0.006594
assist2009,3,question,attention,3,0.782523,0.782362,0.000162
assist2009,3,question,moe,3,0.771496,0.782362,-0.010865
assist2009,3,question,attention,4,0.782737,0.782362,0.000375
assist2009,3,question,moe,4,0.77348,0.782362,-0.008882
assist2009,4,question,attention,0,0.782593,0.786151,-0.003558
assist2009,4,question,moe,0,0.767717,0.786151,-0.018434
assist2009,4,question,attention,1,0.781964,0.786151,-0.004187
assist2009,4,question,moe,1,0.772041,0.786151,-0.01411
assist2009,4,question,attention,2,0.781534,0.786151,-0.004617
assist2009,4,question,moe,2,0.767488,0.786151,-0.018663
assist2009,4,question,attention,3,0.781701,0.786151,-0.00445
assist2009,4,question,moe,3,0.771853,0.786151,-0.014298
assist2009,4,question,attention,4,0.782533,0.786151,-0.003618
assist2009,4,question,moe,4,0.769921,0.786151,-0.01623
assist2012,0,question,attention,0,0.777775,0.778567,-0.000792
assist2012,0,question,moe,0,0.77355,0.778567,-0.005017
assist2012,0,question,attention,1,0.777926,0.778567,-0.000642
assist2012,0,question,moe,1,0.77217,0.778567,-0.006397
assist2012,0,question,attention,2,0.777828,0.778567,-0.000739
assist2012,0,question,moe,2,0.774009,0.778567,-0.004559
assist2012,0,question,attention,3,0.777888,0.778567,-0.000679
assist2012,0,question,moe,3,0.773606,0.778567,-0.004961
assist2012,0,question,attention,4,0.777898,0.778567,-0.00067
assist2012,0,question,moe,4,0.773777,0.778567,-0.00479
assist2012,1,question,attention,0,0.777973,0.778928,-0.000955
assist2012,1,question,moe,0,0.773088,0.778928,-0.00584
assist2012,1,question,attention,1,0.778115,0.778928,-0.000814
assist2012,1,question,moe,1,0.774561,0.778928,-0.004367
assist2012,1,question,attention,2,0.778102,0.778928,-0.000826
assist2012,1,question,moe,2,0.772942,0.778928,-0.005987
assist2012,1,question,attention,3,0.778151,0.778928,-0.000777
assist2012,1,question,moe,3,0.773886,0.778928,-0.005043
assist2012,1,question,attention,4,0.778169,0.778928,-0.00076
assist2012,1,question,moe,4,0.774207,0.778928,-0.004721
assist2012,2,question,attention,0,0.777751,0.778502,-0.000751
assist2012,2,question,moe,0,0.774564,0.778502,-0.003938
assist2012,2,question,attention,1,0.777861,0.778502,-0.000641
assist2012,2,question,moe,1,0.773806,0.778502,-0.004696
assist2012,2,question,attention,2,0.777789,0.778502,-0.000713
assist2012,2,question,moe,2,0.774766,0.778502,-0.003736
assist2012,2,question,attention,3,0.777734,0.778502,-0.000768
assist2012,2,question,moe,3,0.772829,0.778502,-0.005673
assist2012,2,question,attention,4,0.777889,0.778502,-0.000613
assist2012,2,question,moe,4,0.774081,0.778502,-0.004421
assist2012,3,question,attention,0,0.777707,0.778609,-0.000902
assist2012,3,question,moe,0,0.774277,0.778609,-0.004332
assist2012,3,question,attention,1,0.77782,0.778609,-0.000789
assist2012,3,question,moe,1,0.772784,0.778609,-0.005825
assist2012,3,question,attention,2,0.777793,0.778609,-0.000816
assist2012,3,question,moe,2,0.773894,0.778609,-0.004715
assist2012,3,question,attention,3,0.777775,0.778609,-0.000834
assist2012,3,question,moe,3,0.773064,0.778609,-0.005546
assist2012,3,question,attention,4,0.777762,0.778609,-0.000847
assist2012,3,question,moe,4,0.774051,0.778609,-0.004558
assist2012,4,question,attention,0,0.77811,0.778707,-0.000597
assist2012,4,question,moe,0,0.774724,0.778707,-0.003983
assist2012,4,question,attention,1,0.778149,0.778707,-0.000558
assist2012,4,question,moe,1,0.773408,0.778707,-0.005299
assist2012,4,question,attention,2,0.778159,0.778707,-0.000548
assist2012,4,question,moe,2,0.77338,0.778707,-0.005327
assist2012,4,question,attention,3,0.778095,0.778707,-0.000612
assist2012,4,question,moe,3,0.775001,0.778707,-0.003706
assist2012,4,question,attention,4,0.778237,0.778707,-0.00047
assist2012,4,question,moe,4,0.775337,0.778707,-0.003369
assist2017,0,question,attention,0,0.769132,0.770687,-0.001556
assist2017,0,question,moe,0,0.763516,0.770687,-0.007172
assist2017,0,question,attention,1,0.769023,0.770687,-0.001665
assist2017,0,question,moe,1,0.76249,0.770687,-0.008197
assist2017,0,question,attention,2,0.768998,0.770687,-0.001689
assist2017,0,question,moe,2,0.765007,0.770687,-0.005681
assist2017,0,question,attention,3,0.76912,0.770687,-0.001567
assist2017,0,question,moe,3,0.763443,0.770687,-0.007244
assist2017,0,question,attention,4,0.769112,0.770687,-0.001576
assist2017,0,question,moe,4,0.765055,0.770687,-0.005633
assist2017,1,question,attention,0,0.76998,0.771435,-0.001455
assist2017,1,question,moe,0,0.765255,0.771435,-0.00618
assist2017,1,question,attention,1,0.769859,0.771435,-0.001576
assist2017,1,question,moe,1,0.765137,0.771435,-0.006298
assist2017,1,question,attention,2,0.769914,0.771435,-0.001521
assist2017,1,question,moe,2,0.765704,0.771435,-0.005731
assist2017,1,question,attention,3,0.769989,0.771435,-0.001446
assist2017,1,question,moe,3,0.764837,0.771435,-0.006598
assist2017,1,question,attention,4,0.769988,0.771435,-0.001448
assist2017,1,question,moe,4,0.766526,0.771435,-0.00491
assist2017,2,question,attention,0,0.768095,0.769395,-0.001301
assist2017,2,question,moe,0,0.763349,0.769395,-0.006046
assist2017,2,question,attention,1,0.767976,0.769395,-0.001419
assist2017,2,question,moe,1,0.761434,0.769395,-0.007961
assist2017,2,question,attention,2,0.767996,0.769395,-0.001399
assist2017,2,question,moe,2,0.762323,0.769395,-0.007072
assist2017,2,question,attention,3,0.768113,0.769395,-0.001282
assist2017,2,question,moe,3,0.763378,0.769395,-0.006017
assist2017,2,question,attention,4,0.768092,0.769395,-0.001303
assist2017,2,question,moe,4,0.764208,0.769395,-0.005187
assist2017,3,question,attention,0,0.768816,0.769895,-0.001078
assist2017,3,question,moe,0,0.763551,0.769895,-0.006343
assist2017,3,question,attention,1,0.7687,0.769895,-0.001194
assist2017,3,question,moe,1,0.763621,0.769895,-0.006274
assist2017,3,question,attention,2,0.768732,0.769895,-0.001163
assist2017,3,question,moe,2,0.76302,0.769895,-0.006875
assist2017,3,question,attention,3,0.768766,0.769895,-0.001128
assist2017,3,question,moe,3,0.763691,0.769895,-0.006203
