dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
assist2009,0,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,52825,61904,0.846219,0.008517,0.14866,0.846248,0.008302,0.14867,0.839948,0.027928,0.152258,0.831487,0.010324,0.154699,0.830878,0.014149,0.155439,-0.000609,-0.01537,-0.015341,0.003825,0.005848,0.005633,0.845981,0.008267,0.148728,0.014494,-0.000267,-0.000238,-0.002057,-3.4e-05,-0.000249,0.845842,0.006559,0.148867,0.014354,-0.000407,-0.000378,-0.003765,-0.001742,-0.001957,0.831177,0.026601,0.156307,-0.00031,-0.015071,-0.015042,0.016276,0.018299,0.018084
assist2009,1,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,51822,61904,0.846245,0.011891,0.148546,0.845235,0.011242,0.149205,0.840364,0.020742,0.15167,0.829269,0.007153,0.155453,0.827211,0.016072,0.156781,-0.002058,-0.018024,-0.019034,0.00892,0.00483,0.004181,0.846038,0.011393,0.148654,0.016769,0.000803,-0.000207,0.00424,0.00015,-0.000498,0.845025,0.010184,0.149056,0.015756,-0.00021,-0.00122,0.003032,-0.001058,-0.001707,0.827554,0.025342,0.157549,-0.001715,-0.01768,-0.01869,0.018189,0.014099,0.01345
assist2009,2,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,akt,52678,61904,0.844068,0.01305,0.149714,0.843305,0.009124,0.149876,0.839247,0.032019,0.153081,0.829041,0.011985,0.156935,0.828974,0.018546,0.156094,-6.7e-05,-0.014331,-0.015093,0.006561,0.009422,0.005496,0.843875,0.010534,0.149655,0.014834,0.00057,-0.000193,-0.001451,0.00141,-0.002516,0.843484,0.01007,0.149849,0.014443,0.000179,-0.000583,-0.001915,0.000946,-0.00298,0.82917,0.027523,0.156941,0.000129,-0.014135,-0.014897,0.015538,0.018399,0.014473
assist2009,3,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,simplekt,59610,61904,0.845658,0.012389,0.148924,0.846494,0.010095,0.148503,0.841158,0.030231,0.15207,0.829384,0.007244,0.155426,0.829007,0.0165,0.156463,-0.000377,-0.017487,-0.016651,0.009257,0.006405,0.004112,0.845469,0.010889,0.148944,0.016085,-0.001025,-0.000189,0.003645,0.000794,-0.0015,0.845053,0.011419,0.149134,0.015669,-0.001441,-0.000605,0.004175,0.001324,-0.00097,0.829271,0.028684,0.157382,-0.000114,-0.017224,-0.016387,0.021441,0.018589,0.016295
assist2009,4,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,53915,61904,0.849372,0.009272,0.147475,0.847161,0.006899,0.148228,0.840472,0.03438,0.152427,0.83191,0.086021,0.165005,0.832402,0.01438,0.154937,0.000492,-0.014759,-0.01697,-0.071641,0.00748,0.005108,0.849273,0.007122,0.147472,0.017364,0.002113,-9.9e-05,-0.078899,0.000223,-0.00215,0.848705,0.007834,0.147792,0.016796,0.001545,-0.000667,-0.078187,0.000934,-0.001439,0.832618,0.023569,0.155515,0.000708,-0.014543,-0.016754,-0.062452,0.016669,0.014296
assist2015,0,concept,5,student,"dkt,sakt,akt,simplekt",dkt,valid,dkt,102749,134592,0.728832,0.005966,0.169845,0.730553,0.004172,0.16949,0.728645,0.006326,0.169923,0.726964,0.010352,0.170568,0.717187,0.007306,0.172391,-0.009777,-0.013366,-0.011645,-0.003046,0.003134,0.00134,0.728737,0.004887,0.169867,0.001773,-0.001816,-9.5e-05,-0.005466,0.000714,-0.00108,0.728691,0.004563,0.169871,0.001727,-0.001862,-0.000141,-0.005789,0.000391,-0.001403,0.7175,0.015298,0.173,-0.009464,-0.013053,-0.011332,0.004946,0.011126,0.009332
assist2015,1,concept,5,student,"dkt,sakt,akt,simplekt",dkt,valid,dkt,103583,134592,0.729401,0.006176,0.169683,0.730322,0.00414,0.169501,0.728483,0.006123,0.16989,0.726292,0.008552,0.170638,0.716045,0.00691,0.172693,-0.010248,-0.014278,-0.013356,-0.001642,0.002771,0.000735,0.72923,0.004676,0.169756,0.002938,-0.001092,-0.000171,-0.003876,0.000536,-0.0015,0.728804,0.005675,0.169824,0.002512,-0.001518,-0.000596,-0.002878,0.001535,-0.000501,0.716421,0.01633,0.173098,-0.009871,-0.013901,-0.01298,0.007777,0.01219,0.010154
assist2015,2,concept,5,student,"dkt,sakt,akt,simplekt",dkt,valid,dkt,104370,134592,0.729328,0.006369,0.16978,0.730918,0.003933,0.169407,0.729014,0.003635,0.169822,0.727098,0.010102,0.170562,0.715637,0.006731,0.17273,-0.011462,-0.015282,-0.013691,-0.00337,0.002798,0.000362,0.729193,0.005105,0.16981,0.002095,-0.001725,-0.000134,-0.004997,0.001172,-0.001264,0.728666,0.00456,0.1699,0.001567,-0.002253,-0.000662,-0.005542,0.000627,-0.001809,0.715785,0.015916,0.173189,-0.011314,-0.015134,-0.013543,0.005814,0.011983,0.009547
assist2015,3,concept,5,student,"dkt,sakt,akt,simplekt",dkt,valid,dkt,108932,134592,0.728826,0.005198,0.169874,0.730201,0.003706,0.169532,0.728095,0.004987,0.169991,0.726627,0.010432,0.170593,0.715654,0.006624,0.172732,-0.010973,-0.014547,-0.013172,-0.003808,0.002918,0.001426,0.72869,0.003892,0.169909,0.002063,-0.001511,-0.000136,-0.00654,0.000186,-0.001306,0.728612,0.003715,0.169909,0.001985,-0.00159,-0.000215,-0.006716,1e-05,-0.001482,0.715879,0.015128,0.173038,-0.010748,-0.014322,-0.012947,0.004697,0.011423,0.009931
assist2015,4,concept,5,student,"dkt,sakt,akt,simplekt",dkt,valid,dkt,109271,134592,0.728809,0.007489,0.169999,0.730614,0.004721,0.169506,0.728607,0.015553,0.170224,0.727083,0.006999,0.170468,0.715713,0.006593,0.172747,-0.01137,-0.0149,-0.013096,-0.000406,0.001872,-0.000896,0.72869,0.006074,0.170022,0.001607,-0.001923,-0.000119,-0.000925,0.001353,-0.001415,0.728548,0.006407,0.170033,0.001465,-0.002066,-0.000261,-0.000591,0.001686,-0.001082,0.716021,0.014213,0.173143,-0.011062,-0.014593,-0.012788,0.007215,0.009492,0.006724
