dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
assist2009,0,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,43171,52254,0.783043,0.010994,0.176704,0.780687,0.013298,0.177668,0.776598,0.017173,0.178857,0.763575,0.078771,0.191806,0.764408,0.016332,0.183431,0.000833,-0.01628,-0.018636,-0.062439,0.003035,0.005338,0.78272,0.010442,0.176762,0.019145,0.002032,-0.000324,-0.068329,-0.002856,-0.000552,0.782403,0.010576,0.176953,0.018828,0.001715,-0.000641,-0.068196,-0.002722,-0.000418,0.764619,0.026031,0.184773,0.001045,-0.016068,-0.018424,-0.05274,0.012734,0.015037
assist2009,1,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,43942,52254,0.783052,0.013756,0.176384,0.779916,0.014077,0.177899,0.776411,0.010109,0.178574,0.760676,0.126034,0.204737,0.760335,0.019971,0.185049,-0.000341,-0.019581,-0.022717,-0.106063,0.005894,0.006216,0.782964,0.012908,0.176441,0.022288,0.003048,-8.9e-05,-0.113125,-0.001169,-0.000847,0.782307,0.013684,0.176745,0.021632,0.002391,-0.000745,-0.11235,-0.000394,-7.2e-05,0.760869,0.027897,0.185726,0.000193,-0.019047,-0.022183,-0.098137,0.013819,0.014141
assist2009,2,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,akt,43884,52254,0.779565,0.017013,0.177982,0.775593,0.012698,0.179458,0.773765,0.017188,0.179962,0.759104,0.025647,0.186988,0.760956,0.022563,0.184488,0.001852,-0.014637,-0.01861,-0.003085,0.009864,0.005549,0.779367,0.012514,0.177934,0.020263,0.003774,-0.000198,-0.013133,-0.000184,-0.004499,0.778988,0.012424,0.17801,0.019884,0.003395,-0.000577,-0.013224,-0.000274,-0.00459,0.761045,0.02846,0.185526,0.001941,-0.014548,-0.01852,0.002812,0.015762,0.011446
assist2009,3,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,49836,52254,0.782362,0.015456,0.176894,0.781343,0.013,0.177403,0.777574,0.017262,0.178641,0.767424,0.057253,0.186466,0.76111,0.019711,0.184777,-0.006314,-0.020233,-0.021252,-0.037542,0.006711,0.004256,0.782159,0.012382,0.176851,0.014735,0.000816,-0.000203,-0.044871,-0.000618,-0.003073,0.781697,0.012048,0.176941,0.014273,0.000354,-0.000665,-0.045205,-0.000952,-0.003408,0.761471,0.032123,0.18603,-0.005953,-0.019872,-0.020891,-0.02513,0.019124,0.016668
assist2009,4,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,44892,52254,0.786151,0.011105,0.175572,0.782027,0.010668,0.177038,0.776597,0.029325,0.179302,0.766135,0.111292,0.197373,0.765133,0.0143,0.183215,-0.001002,-0.016894,-0.021018,-0.096992,0.003632,0.003196,0.785909,0.009078,0.175549,0.019774,0.003882,-0.000242,-0.102215,-0.001591,-0.002027,0.784837,0.008815,0.175946,0.018702,0.00281,-0.001314,-0.102477,-0.001853,-0.002289,0.765879,0.027749,0.184012,-0.000256,-0.016148,-0.020272,-0.083544,0.01708,0.016644
assist2017,0,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,153067,177767,0.770687,0.004779,0.183694,0.769958,0.004197,0.18388,0.76334,0.038875,0.188194,0.758263,0.015686,0.188321,0.763525,0.007377,0.186273,0.005262,-0.006433,-0.007162,-0.00831,0.00318,0.002597,0.770583,0.003921,0.183742,0.01232,0.000625,-0.000104,-0.011765,-0.000275,-0.000858,0.770346,0.004108,0.183825,0.012083,0.000388,-0.000341,-0.011578,-8.8e-05,-0.000671,0.763684,0.020723,0.186916,0.005421,-0.006274,-0.007003,0.005037,0.016527,0.015944
assist2017,1,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,141938,177767,0.771435,0.005054,0.183412,0.770683,0.004285,0.183613,0.763435,0.037705,0.188127,0.758171,0.01577,0.188319,0.764457,0.007872,0.18602,0.006285,-0.006226,-0.006979,-0.007898,0.003587,0.002819,0.771253,0.005177,0.183471,0.013082,0.000571,-0.000182,-0.010593,0.000891,0.000123,0.771207,0.005014,0.1835,0.013036,0.000524,-0.000229,-0.010756,0.000729,-3.9e-05,0.764683,0.023252,0.186775,0.006512,-0.005999,-0.006752,0.007482,0.018967,0.018199
assist2017,2,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,145879,177767,0.769395,0.005821,0.184158,0.768838,0.006615,0.184331,0.76173,0.043886,0.189212,0.757625,0.017892,0.18869,0.76273,0.007662,0.18663,0.005105,-0.006108,-0.006665,-0.010229,0.001048,0.001841,0.769282,0.004915,0.1842,0.011657,0.000444,-0.000113,-0.012977,-0.0017,-0.000907,0.76918,0.005028,0.184226,0.011555,0.000342,-0.000215,-0.012864,-0.001587,-0.000793,0.762843,0.021858,0.18732,0.005217,-0.005996,-0.006553,0.003966,0.015243,0.016037
assist2017,3,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,168980,177767,0.769895,0.004348,0.183863,0.769464,0.004106,0.184,0.763362,0.045767,0.188935,0.758611,0.017125,0.188194,0.763934,0.007256,0.186173,0.005323,-0.00553,-0.005961,-0.009869,0.00315,0.002908,0.769621,0.004438,0.183961,0.01101,0.000157,-0.000274,-0.012687,0.000331,8.9e-05,0.769715,0.004905,0.183975,0.011104,0.000251,-0.000179,-0.01222,0.000799,0.000557,0.764032,0.018026,0.186697,0.005421,-0.005432,-0.005863,0.000901,0.01392,0.013678
assist2017,4,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,akt,149617,177767,0.772146,0.006403,0.183178,0.772106,0.007574,0.183199,0.765056,0.043458,0.18816,0.757588,0.030158,0.188884,0.76527,0.008903,0.185765,0.007682,-0.006836,-0.006876,-0.021256,0.001329,0.0025,0.77208,0.004531,0.183205,0.014492,-2.5e-05,-6.6e-05,-0.025627,-0.003043,-0.001872,0.772053,0.004827,0.183194,0.014465,-5.3e-05,-9.3e-05,-0.025332,-0.002747,-0.001576,0.765489,0.021775,0.186388,0.007901,-0.006617,-0.006657,-0.008383,0.014201,0.015372
algebra2005,0,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,112859,92945,0.839452,0.008327,0.127922,0.831646,0.009994,0.131033,0.827474,0.015629,0.133411,0.813394,0.053947,0.142022,0.831317,0.011946,0.131284,0.017923,-0.000329,-0.008135,-0.042001,0.001952,0.003618,0.839271,0.008744,0.127944,0.025877,0.007626,-0.00018,-0.045204,-0.00125,0.000416,0.839324,0.009039,0.127982,0.02593,0.007678,-0.000128,-0.044908,-0.000955,0.000711,0.83145,0.015538,0.131358,0.018056,-0.000196,-0.008001,-0.038409,0.005544,0.007211
algebra2005,1,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,111871,92945,0.836504,0.009083,0.129179,0.827877,0.013655,0.132957,0.82352,0.019776,0.135234,0.814078,0.048824,0.141077,0.830398,0.01113,0.131487,0.016319,0.002521,-0.006107,-0.037694,-0.002525,0.002047,0.83639,0.009271,0.129208,0.022312,0.008513,-0.000115,-0.039553,-0.004384,0.000188,0.836095,0.009446,0.129365,0.022016,0.008218,-0.00041,-0.039378,-0.004209,0.000363,0.830527,0.012811,0.131577,0.016449,0.00265,-0.005977,-0.036013,-0.000844,0.003728
