dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
assist2009,0,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,52825,61904,0.846219,0.008517,0.14866,0.846248,0.008302,0.14867,0.839948,0.027928,0.152258,0.831487,0.010324,0.154699,0.840938,0.021575,0.151282,0.009451,-0.00531,-0.005281,0.011251,0.013274,0.013059,0.846096,0.008808,0.14873,0.014609,-0.000152,-0.000123,-0.001517,0.000506,0.000291,0.845984,0.007782,0.148814,0.014497,-0.000264,-0.000235,-0.002542,-0.000519,-0.000735,0.842341,0.020864,0.151164,0.010854,-0.003907,-0.003878,0.010539,0.012562,0.012347
assist2009,1,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,51822,61904,0.846245,0.011891,0.148546,0.845235,0.011242,0.149205,0.840364,0.020742,0.15167,0.829269,0.007153,0.155453,0.841267,0.020025,0.151089,0.011998,-0.003967,-0.004977,0.012872,0.008783,0.008134,0.845871,0.012445,0.148693,0.016602,0.000636,-0.000374,0.005292,0.001203,0.000554,0.846003,0.012298,0.148661,0.016734,0.000768,-0.000242,0.005146,0.001056,0.000407,0.842102,0.02144,0.150952,0.012833,-0.003133,-0.004143,0.014288,0.010198,0.009549
assist2009,2,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,akt,52678,61904,0.844068,0.01305,0.149714,0.843305,0.009124,0.149876,0.839247,0.032019,0.153081,0.829041,0.011985,0.156935,0.842153,0.023342,0.15083,0.013112,-0.001152,-0.001915,0.011358,0.014218,0.010292,0.843892,0.015253,0.149755,0.014851,0.000587,-0.000175,0.003269,0.00613,0.002204,0.843864,0.014199,0.149795,0.014823,0.000559,-0.000203,0.002214,0.005075,0.001149,0.843413,0.024147,0.150771,0.014372,0.000108,-0.000654,0.012163,0.015023,0.011097
assist2009,3,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,simplekt,59610,61904,0.845658,0.012389,0.148924,0.846494,0.010095,0.148503,0.841158,0.030231,0.15207,0.829384,0.007244,0.155426,0.842898,0.020516,0.150351,0.013513,-0.003597,-0.00276,0.013273,0.010421,0.008128,0.845486,0.012663,0.148995,0.016102,-0.001008,-0.000172,0.005419,0.002567,0.000274,0.845358,0.013281,0.149019,0.015973,-0.001137,-0.0003,0.006037,0.003185,0.000892,0.843887,0.022481,0.150377,0.014502,-0.002608,-0.001771,0.015237,0.012386,0.010092
assist2009,4,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,53915,61904,0.849372,0.009272,0.147475,0.847161,0.006899,0.148228,0.840472,0.03438,0.152427,0.83191,0.086021,0.165005,0.843792,0.019336,0.149842,0.011882,-0.003369,-0.00558,-0.066685,0.012437,0.010064,0.849169,0.008565,0.147608,0.017259,0.002008,-0.000203,-0.077456,0.001666,-0.000707,0.84902,0.011272,0.147704,0.01711,0.001859,-0.000352,-0.074749,0.004372,0.001999,0.844936,0.019475,0.149768,0.013027,-0.002225,-0.004436,-0.066546,0.012575,0.010202
assist2015,0,concept,0,row,"dkt,sakt,akt,simplekt",dkt,valid,dkt,102749,134592,0.728832,0.005966,0.169845,0.730553,0.004172,0.16949,0.728645,0.006326,0.169923,0.726964,0.010352,0.170568,0.727961,0.015466,0.170932,0.000997,-0.002592,-0.000871,0.005114,0.011294,0.0095,0.72877,0.007531,0.169881,0.001806,-0.001783,-6.2e-05,-0.002821,0.003359,0.001565,0.728849,0.007727,0.169898,0.001886,-0.001704,1.7e-05,-0.002626,0.003554,0.00176,0.728034,0.014956,0.170841,0.00107,-0.002519,-0.000798,0.004603,0.010783,0.00899
assist2015,1,concept,0,row,"dkt,sakt,akt,simplekt",dkt,valid,dkt,103583,134592,0.729401,0.006176,0.169683,0.730322,0.00414,0.169501,0.728483,0.006123,0.16989,0.726292,0.008552,0.170638,0.728045,0.015657,0.170844,0.001753,-0.002277,-0.001356,0.007104,0.011517,0.009481,0.729228,0.006892,0.16977,0.002936,-0.001094,-0.000173,-0.00166,0.002753,0.000717,0.729057,0.00814,0.169795,0.002765,-0.001266,-0.000344,-0.000412,0.004,0.001964,0.728229,0.01494,0.170702,0.001937,-0.002093,-0.001171,0.006387,0.0108,0.008764
assist2015,2,concept,0,row,"dkt,sakt,akt,simplekt",dkt,valid,dkt,104370,134592,0.729328,0.006369,0.16978,0.730918,0.003933,0.169407,0.729014,0.003635,0.169822,0.727098,0.010102,0.170562,0.727505,0.014085,0.170976,0.000407,-0.003413,-0.001822,0.003983,0.010152,0.007715,0.729186,0.008492,0.169873,0.002088,-0.001732,-0.000142,-0.00161,0.004559,0.002123,0.728975,0.007014,0.169905,0.001876,-0.001944,-0.000353,-0.003088,0.003081,0.000645,0.727715,0.013721,0.170849,0.000616,-0.003203,-0.001613,0.00362,0.009788,0.007352
assist2015,3,concept,0,row,"dkt,sakt,akt,simplekt",dkt,valid,dkt,108932,134592,0.728826,0.005198,0.169874,0.730201,0.003706,0.169532,0.728095,0.004987,0.169991,0.726627,0.010432,0.170593,0.72706,0.014117,0.170849,0.000433,-0.003142,-0.001767,0.003685,0.010411,0.008919,0.728587,0.0059,0.169943,0.00196,-0.001614,-0.000239,-0.004532,0.002195,0.000702,0.72884,0.006961,0.16987,0.002213,-0.001361,1.4e-05,-0.00347,0.003256,0.001764,0.72724,0.013207,0.170742,0.000613,-0.002961,-0.001586,0.002775,0.009501,0.008009
assist2015,4,concept,0,row,"dkt,sakt,akt,simplekt",dkt,valid,dkt,109271,134592,0.728809,0.007489,0.169999,0.730614,0.004721,0.169506,0.728607,0.015553,0.170224,0.727083,0.006999,0.170468,0.727019,0.016122,0.171141,-6.4e-05,-0.003595,-0.001791,0.009124,0.011401,0.008633,0.728668,0.00829,0.170073,0.001585,-0.001946,-0.000141,0.001292,0.003569,0.000801,0.728737,0.008548,0.170094,0.001654,-0.001877,-7.2e-05,0.001549,0.003827,0.001059,0.727198,0.016015,0.171044,0.000115,-0.003416,-0.001611,0.009016,0.011293,0.008525
