dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
assist2009,0,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,43171,52254,0.783043,0.010994,0.176704,0.780687,0.013298,0.177668,0.776598,0.017173,0.178857,0.763575,0.078771,0.191806,0.779223,0.022663,0.179057,0.015649,-0.001464,-0.00382,-0.056109,0.009365,0.011668,0.782851,0.010548,0.17681,0.019276,0.002164,-0.000192,-0.068224,-0.00275,-0.000446,0.782926,0.010251,0.176797,0.019352,0.002239,-0.000117,-0.068521,-0.003047,-0.000744,0.779641,0.022585,0.178979,0.016067,-0.001046,-0.003402,-0.056186,0.009288,0.011591
assist2009,1,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,43942,52254,0.783052,0.013756,0.176384,0.779916,0.014077,0.177899,0.776411,0.010109,0.178574,0.760676,0.126034,0.204737,0.779668,0.023511,0.178639,0.018992,-0.000249,-0.003385,-0.102523,0.009433,0.009755,0.782855,0.014128,0.176448,0.022179,0.002939,-0.000198,-0.111906,5.1e-05,0.000373,0.782711,0.013645,0.176457,0.022036,0.002795,-0.000341,-0.112389,-0.000433,-0.000111,0.779973,0.025196,0.178523,0.019297,5.7e-05,-0.003079,-0.100838,0.011118,0.01144
assist2009,2,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,akt,43884,52254,0.779565,0.017013,0.177982,0.775593,0.012698,0.179458,0.773765,0.017188,0.179962,0.759104,0.025647,0.186988,0.780535,0.026717,0.178737,0.021431,0.004942,0.00097,0.00107,0.014019,0.009704,0.779357,0.016703,0.178091,0.020253,0.003764,-0.000209,-0.008945,0.004004,-0.000311,0.779426,0.016821,0.177989,0.020322,0.003833,-0.00014,-0.008826,0.004123,-0.000192,0.780927,0.028474,0.178663,0.021823,0.005334,0.001361,0.002826,0.015775,0.01146
assist2009,3,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,49836,52254,0.782362,0.015456,0.176894,0.781343,0.013,0.177403,0.777574,0.017262,0.178641,0.767424,0.057253,0.186466,0.781556,0.023815,0.178116,0.014132,0.000213,-0.000806,-0.033438,0.010815,0.008359,0.782159,0.015236,0.176885,0.014735,0.000816,-0.000203,-0.042017,0.002236,-0.000219,0.781845,0.015542,0.176964,0.014422,0.000503,-0.000516,-0.041711,0.002542,8.6e-05,0.781863,0.025752,0.178095,0.014439,0.00052,-0.000499,-0.031501,0.012752,0.010296
assist2009,4,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,44892,52254,0.786151,0.011105,0.175572,0.782027,0.010668,0.177038,0.776597,0.029325,0.179302,0.766135,0.111292,0.197373,0.782554,0.022394,0.177549,0.016418,0.000527,-0.003597,-0.088899,0.011725,0.011289,0.785979,0.010291,0.175647,0.019844,0.003952,-0.000172,-0.101002,-0.000378,-0.000814,0.785662,0.011538,0.1758,0.019527,0.003635,-0.000489,-0.099754,0.000869,0.000433,0.782925,0.023718,0.177468,0.01679,0.000899,-0.003226,-0.087574,0.01305,0.012614
assist2017,0,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,153067,177767,0.770687,0.004779,0.183694,0.769958,0.004197,0.18388,0.76334,0.038875,0.188194,0.758263,0.015686,0.188321,0.768595,0.012731,0.18497,0.010332,-0.001363,-0.002092,-0.002955,0.008535,0.007952,0.770539,0.005174,0.183776,0.012276,0.000581,-0.000149,-0.010513,0.000977,0.000394,0.770406,0.005353,0.183848,0.012142,0.000448,-0.000282,-0.010333,0.001157,0.000574,0.768698,0.011042,0.184938,0.010435,-0.00126,-0.001989,-0.004644,0.006846,0.006263
assist2017,1,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,141938,177767,0.771435,0.005054,0.183412,0.770683,0.004285,0.183613,0.763435,0.037705,0.188127,0.758171,0.01577,0.188319,0.769157,0.011496,0.184792,0.010986,-0.001525,-0.002278,-0.004274,0.00721,0.006442,0.771325,0.005058,0.183484,0.013154,0.000643,-0.00011,-0.010712,0.000773,4e-06,0.771314,0.005373,0.183481,0.013143,0.000631,-0.000121,-0.010397,0.001088,0.000319,0.769359,0.010067,0.184722,0.011187,-0.001324,-0.002077,-0.005703,0.005782,0.005013
assist2017,2,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,145879,177767,0.769395,0.005821,0.184158,0.768838,0.006615,0.184331,0.76173,0.043886,0.189212,0.757625,0.017892,0.18869,0.767232,0.011895,0.185387,0.009607,-0.001606,-0.002163,-0.005997,0.00528,0.006074,0.769295,0.006111,0.1842,0.01167,0.000457,-0.0001,-0.01178,-0.000503,0.00029,0.769161,0.006379,0.184259,0.011536,0.000323,-0.000234,-0.011512,-0.000235,0.000558,0.767355,0.010352,0.185344,0.00973,-0.001483,-0.00204,-0.00754,0.003737,0.004531
assist2017,3,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,168980,177767,0.769895,0.004348,0.183863,0.769464,0.004106,0.184,0.763362,0.045767,0.188935,0.758611,0.017125,0.188194,0.768186,0.013488,0.185157,0.009576,-0.001277,-0.001708,-0.003637,0.009382,0.00914,0.76974,0.005705,0.18399,0.011129,0.000276,-0.000155,-0.01142,0.001598,0.001356,0.769773,0.0064,0.183984,0.011162,0.000309,-0.000121,-0.010725,0.002294,0.002052,0.768367,0.011491,0.18506,0.009756,-0.001097,-0.001528,-0.005634,0.007384,0.007142
assist2017,4,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,akt,149617,177767,0.772146,0.006403,0.183178,0.772106,0.007574,0.183199,0.765056,0.043458,0.18816,0.757588,0.030158,0.188884,0.77006,0.011554,0.184587,0.012472,-0.002046,-0.002086,-0.018604,0.003981,0.005152,0.772037,0.004671,0.183213,0.014449,-6.9e-05,-0.000109,-0.025488,-0.002903,-0.001732,0.772108,0.004191,0.183178,0.01452,2e-06,-3.8e-05,-0.025968,-0.003383,-0.002212,0.770186,0.010815,0.184533,0.012599,-0.001919,-0.00196,-0.019343,0.003242,0.004413
