dataset,fold,scheme,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,fit_sec,scheme_auc,scheme_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,static_auc,delta_auc_vs_static,auc_ci_low_vs_static,auc_ci_high_vs_static,auc_p_vs_static,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm
assist2009,0,attention,akt,valid,61904,770,cluster,0.7,0.846285,0.01992,0.831487,0.014798,0.012706,0.016815,0.0,0.010324,0.009596,0.004,0.846219,6.6e-05,-0.001026,0.001118,0.93,0.846248,3.7e-05,-0.000556,0.00069,0.875,0.0,True,0.032,True,1.0,False,1.0,False
assist2009,0,moe,akt,valid,61904,770,cluster,0.1,0.840309,0.013842,0.831487,0.008822,0.007038,0.010638,0.0,0.010324,0.003517,0.287,0.846219,-0.00591,-0.007829,-0.004104,0.0,0.846248,-0.005939,-0.007314,-0.004496,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2009,1,attention,akt,valid,61904,770,cluster,0.7,0.844919,0.010243,0.829269,0.01565,0.013431,0.017829,0.0,0.007153,0.00309,0.26,0.846245,-0.001325,-0.002367,-0.000298,0.013,0.845235,-0.000315,-0.000986,0.000419,0.395,0.0,True,1.0,False,0.052,False,1.0,False
assist2009,1,moe,akt,valid,61904,770,cluster,0.1,0.834916,0.006983,0.829269,0.005647,0.003866,0.007489,0.0,0.007153,-0.00017,0.482,0.846245,-0.011329,-0.013627,-0.008924,0.0,0.845235,-0.010319,-0.012545,-0.008008,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2009,2,attention,simplekt,valid,61904,770,cluster,0.8,0.843925,0.019709,0.829041,0.014884,0.012722,0.017026,0.0,0.011985,0.007725,0.043,0.844068,-0.000142,-0.00145,0.001328,0.8,0.843305,0.00062,1e-06,0.001276,0.05,0.0,True,0.258,False,1.0,False,0.25,False
assist2009,2,moe,simplekt,valid,61904,770,cluster,0.1,0.839095,0.013897,0.829041,0.010054,0.007401,0.012581,0.0,0.011985,0.001913,0.636,0.844068,-0.004973,-0.006832,-0.00289,0.0,0.843305,-0.004211,-0.005333,-0.002947,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2009,3,attention,akt,valid,61904,770,cluster,0.8,0.846592,0.014712,0.829384,0.017208,0.015299,0.019259,0.0,0.007244,0.007468,0.019,0.845658,0.000934,-0.000389,0.002351,0.188,0.846494,9.8e-05,-0.000471,0.000705,0.667,0.0,True,0.133,False,0.5640000000000001,False,1.0,False
assist2009,3,moe,akt,valid,61904,770,cluster,0.1,0.839464,0.009582,0.829384,0.01008,0.008526,0.01175,0.0,0.007244,0.002338,0.492,0.845658,-0.006194,-0.008316,-0.004,0.0,0.846494,-0.00703,-0.008555,-0.005429,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2009,4,attention,simplekt,valid,61904,770,cluster,0.7,0.846632,0.028539,0.83191,0.014722,0.01164,0.017688,0.0,0.086021,-0.057482,0.0,0.849372,-0.00274,-0.00401,-0.001442,0.0,0.847161,-0.000529,-0.001372,0.000383,0.244,0.0,True,0.0,True,0.0,True,0.976,False
assist2009,4,moe,simplekt,valid,61904,770,cluster,0.1,0.837492,0.022203,0.83191,0.005582,0.001552,0.009529,0.007,0.086021,-0.063818,0.0,0.849372,-0.01188,-0.014419,-0.009343,0.0,0.847161,-0.009669,-0.011893,-0.007488,0.0,0.007,True,0.0,True,0.0,True,0.0,True
assist2015,0,attention,dkt,valid,134592,3818,cluster,0.8,0.730065,0.00546,0.726964,0.003101,0.002139,0.004009,0.0,0.010352,-0.004892,0.032,0.728832,0.001233,0.00045,0.001996,0.001,0.730553,-0.000488,-0.000816,-0.00018,0.002,0.0,True,0.09,False,0.005,True,0.002,True
assist2015,0,moe,dkt,valid,134592,3818,cluster,0.3,0.726339,0.003351,0.726964,-0.000625,-0.001783,0.000547,0.297,0.010352,-0.007002,0.002,0.728832,-0.002493,-0.003412,-0.00153,0.0,0.730553,-0.004214,-0.00504,-0.003475,0.0,0.891,False,0.018000000000000002,True,0.0,True,0.0,True
assist2015,1,attention,dkt,valid,134592,3818,cluster,0.4,0.729734,0.006255,0.726292,0.003442,0.002479,0.004357,0.0,0.008552,-0.002297,0.185,0.729401,0.000334,-0.000413,0.00107,0.35,0.730322,-0.000588,-0.000864,-0.000313,0.0,0.0,True,0.185,False,0.35,False,0.0,True
assist2015,1,moe,dkt,valid,134592,3818,cluster,0.3,0.7268,0.004927,0.726292,0.000508,-0.000706,0.001618,0.402,0.008552,-0.003625,0.03,0.729401,-0.002601,-0.00348,-0.001687,0.0,0.730322,-0.003522,-0.004229,-0.002797,0.0,0.891,False,0.09,False,0.0,True,0.0,True
assist2015,2,attention,dkt,valid,134592,3818,cluster,0.3,0.730031,0.004333,0.727098,0.002933,0.002017,0.003881,0.0,0.010102,-0.005769,0.004,0.729328,0.000704,3e-06,0.001412,0.05,0.730918,-0.000887,-0.001188,-0.000603,0.0,0.0,True,0.024,True,0.15000000000000002,False,0.0,True
assist2015,2,moe,dkt,valid,134592,3818,cluster,0.2,0.725799,0.00481,0.727098,-0.0013,-0.002453,-0.000188,0.027,0.010102,-0.005292,0.002,0.729328,-0.003529,-0.00447,-0.00257,0.0,0.730918,-0.00512,-0.005894,-0.004388,0.0,0.108,False,0.018000000000000002,True,0.0,True,0.0,True
assist2015,3,attention,dkt,valid,134592,3818,cluster,0.4,0.729409,0.004902,0.726627,0.002782,0.001856,0.003703,0.0,0.010432,-0.00553,0.014,0.728826,0.000583,-0.000117,0.001344,0.099,0.730201,-0.000792,-0.001123,-0.000474,0.0,0.0,True,0.07,False,0.198,False,0.0,True
assist2015,3,moe,dkt,valid,134592,3818,cluster,0.5,0.726101,0.005586,0.726627,-0.000526,-0.001747,0.000624,0.371,0.010432,-0.004846,0.02,0.728826,-0.002725,-0.00361,-0.00177,0.0,0.730201,-0.0041,-0.004873,-0.003379,0.0,0.891,False,0.08,False,0.0,True,0.0,True
assist2015,4,attention,dkt,valid,134592,3818,cluster,0.4,0.730054,0.012941,0.727083,0.002971,0.002048,0.003883,0.0,0.006999,0.005942,0.002,0.728809,0.001245,0.000539,0.001973,0.002,0.730614,-0.00056,-0.000817,-0.000303,0.0,0.0,True,0.018000000000000002,True,0.008,True,0.0,True
assist2015,4,moe,dkt,valid,134592,3818,cluster,0.1,0.725146,0.013566,0.727083,-0.001937,-0.003155,-0.000703,0.001,0.006999,0.006567,0.001,0.728809,-0.003663,-0.00467,-0.002575,0.0,0.730614,-0.005468,-0.006221,-0.004683,0.0,0.005,True,0.01,True,0.0,True,0.0,True
assist2017,0,attention,akt,valid,177767,341,cluster,0.6,0.769132,0.015784,0.758263,0.010868,0.009985,0.011755,0.0,0.015664,0.00012,0.76,0.770687,-0.001556,-0.002165,-0.000921,0.0,0.769958,-0.000827,-0.001239,-0.000419,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2017,0,moe,akt,valid,177767,341,cluster,0.2,0.763566,0.010798,0.758263,0.005303,0.004282,0.006279,0.0,0.015664,-0.004866,0.001,0.770687,-0.007122,-0.008162,-0.006125,0.0,0.769958,-0.006392,-0.007229,-0.005592,0.0,0.0,True,0.007,True,0.0,True,0.0,True
assist2017,1,attention,akt,valid,177767,341,cluster,0.5,0.76998,0.014627,0.758171,0.011809,0.010766,0.012871,0.0,0.015759,-0.001132,0.744,0.771435,-0.001455,-0.001921,-0.000973,0.0,0.770683,-0.000702,-0.001054,-0.000369,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2017,1,moe,akt,valid,177767,341,cluster,0.3,0.764511,0.006735,0.758171,0.00634,0.005213,0.007408,0.0,0.015759,-0.009024,0.0,0.771435,-0.006924,-0.007635,-0.006199,0.0,0.770683,-0.006171,-0.006853,-0.005503,0.0,0.0,True,0.0,True,0.0,True,0.0,True
