dataset,scheme,n_folds,mean_delta_auc_vs_best,std_delta_auc_vs_best,min_auc_p_vs_best,n_folds_sig_auc_vs_best_05,mean_delta_auc_vs_static,std_delta_auc_vs_static,min_auc_p_vs_static,n_folds_sig_auc_vs_static_05,mean_delta_auc_vs_stack,std_delta_auc_vs_stack,min_auc_p_vs_stack,n_folds_sig_auc_vs_stack_05,mean_delta_ece_vs_best
algebra2005,attention,5,0.00945,0.001331,0.001,5,-0.000635,0.000365,0.001,4,0.001173,0.000382,0.001,5,-0.008737
algebra2005,moe,5,0.006976,0.001818,0.001,5,-0.003109,0.000781,0.001,5,-0.0013,0.000933,0.001,4,-0.010689
assist2009,attention,5,0.015453,0.00105,0.001,5,-0.000642,0.001423,0.001,2,-1.8e-05,0.00044,0.050975,0,-0.005921
assist2009,moe,5,0.008037,0.002269,0.001,5,-0.008057,0.003275,0.001,5,-0.007433,0.002555,0.001,5,-0.011244
assist2012,attention,5,0.00558,0.000554,0.001,5,-0.000799,0.00014,0.001,5,-3e-05,8e-05,0.151924,0,-0.002629
assist2012,moe,5,0.001399,0.000966,0.001,4,-0.004981,0.000577,0.001,5,-0.004211,0.000528,0.001,5,-0.009979
assist2015,attention,5,0.003046,0.000249,0.001,5,0.00082,0.000405,0.001999,2,-0.000663,0.000169,0.001,5,-0.002509
assist2015,moe,5,-0.000776,0.000916,0.001999,2,-0.003002,0.00055,0.001,5,-0.004485,0.000793,0.001,5,-0.002839
assist2017,attention,5,0.011421,0.001439,0.001,5,-0.001239,0.000302,0.001,5,-0.000737,6.7e-05,0.001,5,-0.000281
assist2017,moe,5,0.00621,0.001748,0.001,5,-0.00645,0.000686,0.001,5,-0.005948,0.000448,0.001,5,-0.006717
bridge2algebra2006,attention,5,0.014571,0.001342,0.001,5,5.3e-05,0.000938,0.001,2,0.000774,0.000207,0.001,5,0.001324
bridge2algebra2006,moe,5,0.010089,0.000793,0.001,5,-0.004429,0.000908,0.001,5,-0.003708,0.000666,0.001,5,-0.001971
ednet,attention,5,7e-06,0.000164,0.225887,0,0.000214,0.000357,0.001,3,7e-05,0.000179,0.001,3,-0.011119
ednet,moe,5,-0.001884,0.000853,0.001,5,-0.001677,0.000618,0.001,5,-0.001821,0.000656,0.001,5,-0.013022
