dataset,fold,granularity,scheme,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,fit_sec,scheme_auc,scheme_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,static_auc,delta_auc_vs_static,auc_ci_low_vs_static,auc_ci_high_vs_static,auc_p_vs_static,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm
assist2009,0,question,attention,simplekt,valid,52254,770,cluster,0.8,0.78206,0.018404,0.763575,0.018485,0.015394,0.021766,0.001,0.078771,-0.060368,0.001,0.783043,-0.000983,-0.002812,0.000793,0.250875,0.780687,0.001373,0.000388,0.00237,0.006997,0.01,True,0.01,True,0.7526250000000001,False,0.020991,True
assist2009,0,question,moe,simplekt,valid,52254,770,cluster,0.1,0.769691,0.016479,0.763575,0.006116,0.002178,0.01015,0.003998,0.078771,-0.062293,0.001,0.783043,-0.013353,-0.016357,-0.010293,0.001,0.780687,-0.010997,-0.012941,-0.009043,0.001,0.015992,True,0.01,True,0.01,True,0.01,True
assist2009,1,question,attention,simplekt,valid,52254,770,cluster,0.8,0.780198,0.014506,0.760676,0.019522,0.016238,0.022933,0.001,0.126034,-0.111528,0.001,0.783052,-0.002854,-0.004424,-0.001273,0.001,0.779916,0.000282,-0.000751,0.00137,0.573713,0.01,True,0.01,True,0.01,True,0.649676,False
assist2009,1,question,moe,simplekt,valid,52254,770,cluster,0.1,0.764242,0.012848,0.760676,0.003566,-0.001777,0.008737,0.167916,0.126034,-0.113186,0.001,0.783052,-0.01881,-0.022222,-0.015578,0.001,0.779916,-0.015674,-0.018642,-0.012643,0.001,0.47676300000000005,False,0.01,True,0.01,True,0.01,True
assist2009,2,question,attention,simplekt,valid,52254,770,cluster,0.8,0.778798,0.013634,0.759104,0.019694,0.016994,0.02243,0.001,0.025647,-0.012013,0.025987,0.779565,-0.000767,-0.002985,0.001415,0.465767,0.775593,0.003206,0.00227,0.004129,0.001,0.01,True,0.037982,True,0.931534,False,0.01,True
assist2009,2,question,moe,simplekt,valid,52254,770,cluster,0.1,0.772609,0.013802,0.759104,0.013505,0.01008,0.01699,0.001,0.025647,-0.011845,0.018991,0.779565,-0.006956,-0.009827,-0.004076,0.001,0.775593,-0.002984,-0.004639,-0.00127,0.001999,0.01,True,0.037982,True,0.01,True,0.01,True
assist2009,3,question,attention,simplekt,valid,52254,770,cluster,0.8,0.782921,0.01342,0.767424,0.015497,0.012858,0.018225,0.001,0.057253,-0.043833,0.001,0.782362,0.000559,-0.001412,0.002917,0.63968,0.781343,0.001578,0.000737,0.002381,0.001999,0.01,True,0.01,True,0.931534,False,0.01,True
assist2009,3,question,moe,simplekt,valid,52254,770,cluster,0.1,0.770386,0.012302,0.767424,0.002962,-0.001153,0.006798,0.158921,0.057253,-0.044951,0.001,0.782362,-0.011976,-0.015402,-0.008603,0.001,0.781343,-0.010957,-0.013209,-0.008821,0.001,0.47676300000000005,False,0.01,True,0.01,True,0.01,True
assist2009,4,question,attention,simplekt,valid,52254,770,cluster,0.8,0.782593,0.031555,0.766135,0.016458,0.012812,0.020201,0.001,0.111292,-0.079737,0.001,0.786151,-0.003558,-0.005661,-0.001383,0.001,0.782027,0.000566,-0.000641,0.001786,0.324838,0.01,True,0.01,True,0.01,True,0.649676,False
assist2009,4,question,moe,simplekt,valid,52254,770,cluster,0.1,0.767717,0.027902,0.766135,0.001581,-0.003352,0.006243,0.548726,0.111292,-0.08339,0.001,0.786151,-0.018434,-0.022232,-0.014413,0.001,0.782027,-0.01431,-0.017,-0.011661,0.001,0.548726,False,0.01,True,0.01,True,0.01,True
assist2017,0,question,attention,akt,valid,177767,341,cluster,1.1,0.769132,0.015795,0.758263,0.010868,0.009985,0.011754,0.001,0.015686,0.000109,0.761619,0.770687,-0.001556,-0.002165,-0.000921,0.001,0.769958,-0.000827,-0.001239,-0.000419,0.001,0.01,True,1.0,False,0.01,True,0.01,True
assist2017,0,question,moe,akt,valid,177767,341,cluster,0.2,0.763516,0.010428,0.758263,0.005252,0.004229,0.006242,0.001,0.015686,-0.005258,0.001999,0.770687,-0.007172,-0.008199,-0.006136,0.001,0.769958,-0.006443,-0.007289,-0.00561,0.001,0.01,True,0.013992999999999998,True,0.01,True,0.01,True
assist2017,1,question,attention,akt,valid,177767,341,cluster,1.0,0.76998,0.014604,0.758171,0.011809,0.010766,0.012871,0.001,0.01577,-0.001166,0.742629,0.771435,-0.001455,-0.001921,-0.000973,0.001,0.770683,-0.000702,-0.001054,-0.000369,0.001,0.01,True,1.0,False,0.01,True,0.01,True
assist2017,1,question,moe,akt,valid,177767,341,cluster,0.3,0.765255,0.005241,0.758171,0.007084,0.005998,0.00815,0.001,0.01577,-0.010529,0.001,0.771435,-0.00618,-0.006856,-0.005494,0.001,0.770683,-0.005427,-0.006047,-0.004804,0.001,0.01,True,0.01,True,0.01,True,0.01,True
assist2017,2,question,attention,akt,valid,177767,341,cluster,1.1,0.768095,0.019649,0.757625,0.010469,0.009621,0.011341,0.001,0.017892,0.001757,0.430785,0.769395,-0.001301,-0.00195,-0.000664,0.001,0.768838,-0.000744,-0.001133,-0.000372,0.001,0.01,True,1.0,False,0.01,True,0.01,True
assist2017,2,question,moe,akt,valid,177767,341,cluster,0.4,0.763349,0.011575,0.757625,0.005724,0.004796,0.006654,0.001,0.017892,-0.006317,0.009995,0.769395,-0.006046,-0.006824,-0.005296,0.001,0.768838,-0.005489,-0.006214,-0.004809,0.001,0.01,True,0.049975000000000006,True,0.01,True,0.01,True
assist2017,3,question,attention,akt,valid,177767,341,cluster,1.2,0.768816,0.024044,0.758611,0.010206,0.009354,0.011046,0.001,0.017125,0.006918,0.001999,0.769895,-0.001078,-0.001668,-0.000482,0.001,0.769464,-0.000647,-0.00104,-0.00028,0.001999,0.01,True,0.013992999999999998,True,0.01,True,0.01,True
assist2017,3,question,moe,akt,valid,177767,341,cluster,0.4,0.763551,0.016758,0.758611,0.00494,0.003898,0.005973,0.001,0.017125,-0.000367,0.711644,0.769895,-0.006343,-0.007249,-0.005391,0.001,0.769464,-0.005913,-0.006703,-0.005119,0.001,0.01,True,1.0,False,0.01,True,0.01,True
assist2017,4,question,attention,simplekt,valid,177767,341,cluster,1.2,0.771342,0.021134,0.757588,0.013754,0.012552,0.014968,0.001,0.030158,-0.009025,0.001,0.772146,-0.000804,-0.001384,-0.000198,0.007996,0.772106,-0.000764,-0.001159,-0.000408,0.001,0.01,True,0.01,True,0.01,True,0.01,True
assist2017,4,question,moe,simplekt,valid,177767,341,cluster,0.3,0.766719,0.018272,0.757588,0.009131,0.007932,0.010374,0.001,0.030158,-0.011886,0.001,0.772146,-0.005427,-0.006328,-0.004551,0.001,0.772106,-0.005387,-0.006116,-0.004637,0.001,0.01,True,0.01,True,0.01,True,0.01,True
algebra2005,0,question,attention,simplekt,valid,92945,114,cluster,0.4,0.836706,0.00726,0.813394,0.023312,0.021348,0.025471,0.001,0.053947,-0.046688,0.001,0.839452,-0.002746,-0.003804,-0.001774,0.001,0.831646,0.00506,0.004177,0.005986,0.001,0.01,True,0.01,True,0.01,True,0.01,True
algebra2005,0,question,moe,simplekt,valid,92945,114,cluster,0.5,0.826158,0.015294,0.813394,0.012764,0.010386,0.015162,0.001,0.053947,-0.038653,0.001,0.839452,-0.013294,-0.015144,-0.01166,0.001,0.831646,-0.005488,-0.006942,-0.004122,0.001,0.01,True,0.01,True,0.01,True,0.01,True
algebra2005,1,question,attention,simplekt,valid,92945,114,cluster,0.4,0.833109,0.010517,0.814078,0.019031,0.017279,0.020667,0.001,0.048824,-0.038308,0.001,0.836504,-0.003395,-0.004353,-0.002538,0.001,0.827877,0.005232,0.004394,0.006096,0.001,0.01,True,0.01,True,0.01,True,0.01,True
algebra2005,1,question,moe,simplekt,valid,92945,114,cluster,0.4,0.826662,0.013195,0.814078,0.012584,0.010617,0.014411,0.001,0.048824,-0.035629,0.001,0.836504,-0.009842,-0.011502,-0.008277,0.001,0.827877,-0.001215,-0.002353,0.000103,0.069965,0.01,True,0.01,True,0.01,True,0.13993,False
algebra2005,2,question,attention,simplekt,valid,92945,114,cluster,0.4,0.835715,0.014365,0.815247,0.020468,0.018526,0.022639,0.001,0.06492,-0.050555,0.001,0.838781,-0.003067,-0.003975,-0.002175,0.001,0.831876,0.003838,0.002954,0.00473,0.001,0.01,True,0.01,True,0.01,True,0.01,True
algebra2005,2,question,moe,simplekt,valid,92945,114,cluster,0.4,0.824882,0.024605,0.815247,0.009635,0.007506,0.011965,0.001,0.06492,-0.040315,0.001,0.838781,-0.013899,-0.015614,-0.012288,0.001,0.831876,-0.006994,-0.008381,-0.005532,0.001,0.01,True,0.01,True,0.01,True,0.01,True
algebra2005,3,question,attention,simplekt,valid,92945,114,cluster,0.3,0.835528,0.014742,0.816694,0.018834,0.016887,0.020695,0.001,0.066559,-0.051817,0.001,0.839617,-0.004088,-0.005229,-0.00298,0.001,0.832396,0.003132,0.00208,0.004151,0.001,0.01,True,0.01,True,0.01,True,0.01,True
algebra2005,3,question,moe,simplekt,valid,92945,114,cluster,0.4,0.829741,0.019041,0.816694,0.013047,0.010731,0.015163,0.001,0.066559,-0.047519,0.001,0.839617,-0.009876,-0.01148,-0.008325,0.001,0.832396,-0.002655,-0.004041,-0.001243,0.001,0.01,True,0.01,True,0.01,True,0.01,True
algebra2005,4,question,attention,akt,valid,92945,114,cluster,0.3,0.836282,0.006229,0.813399,0.022883,0.021078,0.024606,0.001,0.027323,-0.021094,0.001,0.837544,-0.001262,-0.002642,0.000184,0.089955,0.830624,0.005657,0.004741,0.006565,0.001,0.01,True,0.01,True,0.089955,False,0.01,True
algebra2005,4,question,moe,akt,valid,92945,114,cluster,0.3,0.82962,0.013827,0.813399,0.016221,0.014423,0.017738,0.001,0.027323,-0.013496,0.001,0.837544,-0.007924,-0.009783,-0.006107,0.001,0.830624,-0.001005,-0.002157,0.000179,0.085957,0.01,True,0.01,True,0.01,True,0.13993,False
bridge2algebra2006,0,question,attention,simplekt,valid,352370,229,cluster,1.1,0.820183,0.007445,0.807972,0.012211,0.011292,0.013052,0.001,0.008721,-0.001276,0.595702,0.81998,0.000204,-0.000379,0.000776,0.488756,0.819735,0.000448,1.8e-05,0.000879,0.042979,0.01,True,1.0,False,0.977512,False,0.08196,False
bridge2algebra2006,0,question,moe,simplekt,valid,352370,229,cluster,0.5,0.816304,0.004814,0.807972,0.008331,0.007343,0.009324,0.001,0.008721,-0.003907,0.04098,0.81998,-0.003676,-0.004403,-0.002936,0.001,0.819735,-0.003432,-0.00416,-0.002654,0.001,0.01,True,0.40980000000000005,False,0.01,True,0.01,True
bridge2algebra2006,1,question,attention,akt,valid,352370,229,cluster,1.1,0.822465,0.008467,0.806718,0.015747,0.014119,0.017292,0.001,0.006749,0.001719,0.261869,0.821856,0.000609,-1.2e-05,0.001231,0.055972,0.821489,0.000976,0.000544,0.00145,0.001,0.01,True,1.0,False,0.167916,False,0.01,True
bridge2algebra2006,1,question,moe,akt,valid,352370,229,cluster,1.3,0.816848,0.004802,0.806718,0.01013,0.008945,0.011331,0.001,0.006749,-0.001947,0.325837,0.821856,-0.005008,-0.005882,-0.004119,0.001,0.821489,-0.004641,-0.005566,-0.003682,0.001,0.01,True,1.0,False,0.01,True,0.01,True
bridge2algebra2006,2,question,attention,akt,valid,352370,229,cluster,1.2,0.822473,0.008373,0.807446,0.015028,0.01349,0.016423,0.001,0.007236,0.001137,0.525737,0.821136,0.001338,0.000673,0.002003,0.001,0.821535,0.000939,0.000543,0.001361,0.001,0.01,True,1.0,False,0.01,True,0.01,True
bridge2algebra2006,2,question,moe,akt,valid,352370,229,cluster,1.1,0.81716,0.004622,0.807446,0.009714,0.008294,0.011102,0.001,0.007236,-0.002614,0.193903,0.821136,-0.003975,-0.004804,-0.003174,0.001,0.821535,-0.004374,-0.00506,-0.003621,0.001,0.01,True,1.0,False,0.01,True,0.01,True
bridge2algebra2006,3,question,attention,akt,valid,352370,229,cluster,1.2,0.819134,0.009192,0.805745,0.013388,0.012094,0.014615,0.001,0.006766,0.002426,0.274863,0.819319,-0.000185,-0.000811,0.000447,0.583708,0.818379,0.000755,0.000284,0.001194,0.001999,0.01,True,1.0,False,0.977512,False,0.01,True
bridge2algebra2006,3,question,moe,akt,valid,352370,229,cluster,1.3,0.815412,0.005295,0.805745,0.009666,0.008429,0.010903,0.001,0.006766,-0.001471,0.584708,0.819319,-0.003907,-0.004688,-0.003085,0.001,0.818379,-0.002967,-0.003743,-0.00217,0.001,0.01,True,1.0,False,0.01,True,0.01,True
bridge2algebra2006,4,question,attention,akt,valid,352370,229,cluster,1.1,0.818777,0.012341,0.805861,0.012916,0.01159,0.014125,0.001,0.009314,0.003028,0.082959,0.820222,-0.001445,-0.002233,-0.000672,0.001,0.818336,0.000441,1.4e-05,0.000855,0.04098,0.01,True,0.746631,False,0.01,True,0.08196,False
bridge2algebra2006,4,question,moe,akt,valid,352370,229,cluster,0.8,0.815106,0.009991,0.805861,0.009245,0.008078,0.010286,0.001,0.009314,0.000677,0.706647,0.820222,-0.005116,-0.005855,-0.004437,0.001,0.818336,-0.00323,-0.003951,-0.002473,0.001,0.01,True,1.0,False,0.01,True,0.01,True
assist2012,0,question,attention,akt,valid,536087,5497,cluster,1.8,0.777775,0.01286,0.772909,0.004866,0.004472,0.005274,0.001,0.014961,-0.002101,0.111944,0.778567,-0.000792,-0.001068,-0.000517,0.001,0.777844,-6.9e-05,-0.000238,8.7e-05,0.361819,0.01,True,0.135932,False,0.01,True,1.0,False
