dataset,scheme,n_folds,mean_delta_auc_vs_best,std_delta_auc_vs_best,min_auc_p_vs_best,n_folds_sig_auc_vs_best_05,mean_delta_auc_vs_static,std_delta_auc_vs_static,min_auc_p_vs_static,n_folds_sig_auc_vs_static_05,mean_delta_auc_vs_stack,std_delta_auc_vs_stack,min_auc_p_vs_stack,n_folds_sig_auc_vs_stack_05,mean_delta_ece_vs_best
algebra2005,attention,5,0.020906,0.002103,0.001,5,-0.002912,0.001048,0.001,4,0.004584,0.001056,0.001,5,-0.041692
algebra2005,moe,5,0.01285,0.002335,0.001,5,-0.010967,0.002536,0.001,5,-0.003471,0.002661,0.001,3,-0.035122
assist2009,attention,5,0.017931,0.001874,0.001,5,-0.001521,0.001667,0.001,2,0.001401,0.001144,0.001,3,-0.061496
assist2009,moe,5,0.005546,0.004743,0.001,2,-0.013906,0.004922,0.001,5,-0.010984,0.004926,0.001,5,-0.063133
assist2012,attention,5,0.00558,0.000554,0.001,5,-0.0008,0.00014,0.001,5,-3e-05,8e-05,0.152924,0,-0.002634
assist2012,moe,5,0.001757,0.001196,0.001,4,-0.004622,0.000806,0.001,5,-0.003852,0.000749,0.001,5,-0.009852
assist2017,attention,5,0.011421,0.001439,0.001,5,-0.001239,0.000302,0.001,5,-0.000737,6.7e-05,0.001,5,-0.000281
assist2017,moe,5,0.006426,0.00172,0.001,5,-0.006234,0.000629,0.001,5,-0.005732,0.00045,0.001,5,-0.006871
bridge2algebra2006,attention,5,0.013858,0.00148,0.001,5,0.000104,0.001033,0.001,2,0.000712,0.000258,0.001,5,0.001407
bridge2algebra2006,moe,5,0.009417,0.000683,0.001,5,-0.004336,0.000673,0.001,5,-0.003729,0.000736,0.001,5,-0.001852
ednet,attention,5,-0.015782,0.00099,0.001,5,-0.036833,0.001588,0.001,5,-0.020988,0.002126,0.001,5,-0.065335
ednet,moe,5,-0.020437,0.001818,0.001,5,-0.041488,0.003387,0.001,5,-0.025643,0.003419,0.001,5,-0.059524
