dataset,fold,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
assist2009,0,full,akt,valid,61904,-1,0.840938,0.021575,0.831487,0.009451,0.0,0.010324,0.011251,0.0,0.846248,-0.00531,0.0,0.008302,0.013274,0.0,0.846219,-0.005281,0.0,0.008517,0.013059,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2009,0,no_s1,akt,valid,61904,-1,0.846096,0.008808,0.831487,0.014609,0.0,0.010324,-0.001517,0.309,0.846248,-0.000152,0.739,0.008302,0.000506,0.845,0.846219,-0.000123,0.005,0.008517,0.000291,0.872,0.0,True,0.927,False,1.0,False,1.0,False,0.035,True,1.0,False
assist2009,0,global_s1,akt,valid,61904,-1,0.845984,0.007782,0.831487,0.014497,0.0,0.010324,-0.002542,0.214,0.846248,-0.000264,0.553,0.008302,-0.000519,0.97,0.846219,-0.000235,0.087,0.008517,-0.000735,0.709,0.0,True,0.856,False,1.0,False,1.0,False,0.348,False,1.0,False
assist2009,0,no_s3,akt,valid,61904,-1,0.842341,0.020864,0.831487,0.010854,0.0,0.010324,0.010539,0.0,0.846248,-0.003907,0.0,0.008302,0.012562,0.0,0.846219,-0.003878,0.0,0.008517,0.012347,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2009,1,full,akt,valid,61904,-1,0.841267,0.020025,0.829269,0.011998,0.0,0.007153,0.012872,0.0,0.845235,-0.003967,0.0,0.011242,0.008783,0.0,0.846245,-0.004977,0.0,0.011891,0.008134,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2009,1,no_s1,akt,valid,61904,-1,0.845871,0.012445,0.829269,0.016602,0.0,0.007153,0.005292,0.004,0.845235,0.000636,0.18,0.011242,0.001203,0.255,0.846245,-0.000374,0.0,0.011891,0.000554,0.733,0.0,True,0.02,True,1.0,False,1.0,False,0.0,True,1.0,False
assist2009,1,global_s1,akt,valid,61904,-1,0.846003,0.012298,0.829269,0.016734,0.0,0.007153,0.005146,0.002,0.845235,0.000768,0.11,0.011242,0.001056,0.258,0.846245,-0.000242,0.089,0.011891,0.000407,0.692,0.0,True,0.012,True,0.77,False,1.0,False,0.348,False,1.0,False
assist2009,1,no_s3,akt,valid,61904,-1,0.842102,0.02144,0.829269,0.012833,0.0,0.007153,0.014288,0.0,0.845235,-0.003133,0.0,0.011242,0.010198,0.0,0.846245,-0.004143,0.0,0.011891,0.009549,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2009,2,full,simplekt,valid,61904,-1,0.842153,0.023342,0.829041,0.013112,0.0,0.011985,0.011358,0.0,0.843305,-0.001152,0.083,0.009124,0.014218,0.0,0.844068,-0.001915,0.0,0.01305,0.010292,0.0,0.0,True,0.0,True,0.664,False,0.0,True,0.0,True,0.0,True
assist2009,2,no_s1,simplekt,valid,61904,-1,0.843892,0.015253,0.829041,0.014851,0.0,0.011985,0.003269,0.438,0.843305,0.000587,0.286,0.009124,0.00613,0.0,0.844068,-0.000175,0.0,0.01305,0.002204,0.05,0.0,True,0.927,False,1.0,False,0.0,True,0.0,True,0.45,False
