dataset,variant,n_folds,best_single_selected_on,mean_delta_auc_vs_best,n_folds_sig_vs_best_05,mean_delta_auc_vs_stack,n_folds_sig_vs_stack_05,mean_delta_auc_vs_static,n_folds_sig_vs_static_05
assist2009,full,5,valid,0.011991,5,-0.003479,4,-0.004103,5
assist2009,no_s1,5,valid,0.015885,5,0.000414,1,-0.000209,5
assist2009,global_s1,5,valid,0.015828,5,0.000357,1,-0.000267,2
assist2009,no_s3,5,valid,0.013118,5,-0.002353,4,-0.002976,4
assist2015,full,5,valid,0.000705,1,-0.003004,5,-0.001521,5
assist2015,no_s1,5,valid,0.002075,5,-0.001634,5,-0.000151,4
assist2015,global_s1,5,valid,0.002079,5,-0.00163,5,-0.000148,2
assist2015,no_s3,5,valid,0.00087,1,-0.002839,5,-0.001356,5
assist2017,full,5,valid,0.010575,5,-0.001583,5,-0.002085,5
assist2017,no_s1,5,valid,0.01253,5,0.000372,2,-0.00013,5
assist2017,global_s1,5,valid,0.012515,5,0.000357,1,-0.000145,2
assist2017,no_s3,5,valid,0.010737,5,-0.001421,5,-0.001923,5
algebra2005,full,5,valid,0.008029,5,-0.000248,0,-0.002057,5
algebra2005,no_s1,5,valid,0.010001,5,0.001725,5,-8.4e-05,5
algebra2005,global_s1,5,valid,0.010024,5,0.001747,5,-6.1e-05,2
algebra2005,no_s3,5,valid,0.008723,5,0.000447,1,-0.001362,5
bridge2algebra2006,full,5,valid,0.00816,5,-0.005637,5,-0.006358,5
bridge2algebra2006,no_s1,5,valid,0.01443,5,0.000633,2,-8.8e-05,5
bridge2algebra2006,global_s1,5,valid,0.014485,5,0.000688,2,-3.2e-05,0
bridge2algebra2006,no_s3,5,valid,0.008318,5,-0.005479,5,-0.006199,5
assist2012,full,5,valid,0.004978,5,-0.000632,5,-0.001402,5
assist2012,no_s1,5,valid,0.006308,5,0.000699,5,-7.1e-05,5
assist2012,global_s1,5,valid,0.0063,5,0.00069,5,-8e-05,4
assist2012,no_s3,5,valid,0.005056,5,-0.000554,5,-0.001323,5
ednet,full,5,valid,-0.003369,5,-0.003306,5,-0.003162,5
ednet,no_s1,5,valid,-0.00025,2,-0.000187,2,-4.3e-05,5
ednet,global_s1,5,valid,4.6e-05,0,0.000109,1,0.000253,3
ednet,no_s3,5,valid,-0.002506,5,-0.002443,5,-0.002299,5
