dataset,fold,granularity,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
assist2009,0,question,full,simplekt,valid,52254,770,0.779223,0.022663,0.763575,0.015649,0.001,0.078771,-0.056109,0.001,0.780687,-0.001464,0.238881,0.013298,0.009365,0.001,0.783043,-0.00382,0.001,0.010994,0.011668,0.001,0.02,True,0.02,True,1.0,False,0.02,True,0.02,True,0.02,True
assist2009,0,question,no_s1,simplekt,valid,52254,770,0.782851,0.010548,0.763575,0.019276,0.001,0.078771,-0.068224,0.001,0.780687,0.002164,0.042979,0.013298,-0.00275,0.463768,0.783043,-0.000192,0.010995,0.010994,-0.000446,0.815592,0.02,True,0.02,True,0.47276900000000005,False,1.0,False,0.08796,False,1.0,False
assist2009,0,question,global_s1,simplekt,valid,52254,770,0.782926,0.010251,0.763575,0.019352,0.001,0.078771,-0.068521,0.001,0.780687,0.002239,0.033983,0.013298,-0.003047,0.458771,0.783043,-0.000117,0.565717,0.010994,-0.000744,0.802599,0.02,True,0.02,True,0.407796,False,1.0,False,1.0,False,1.0,False
assist2009,0,question,no_s3,simplekt,valid,52254,770,0.779641,0.022585,0.763575,0.016067,0.001,0.078771,-0.056186,0.001,0.780687,-0.001046,0.384808,0.013298,0.009288,0.001,0.783043,-0.003402,0.001,0.010994,0.011591,0.001,0.02,True,0.02,True,1.0,False,0.02,True,0.02,True,0.02,True
assist2009,1,question,full,simplekt,valid,52254,770,0.779668,0.023511,0.760676,0.018992,0.001,0.126034,-0.102523,0.001,0.779916,-0.000249,0.765617,0.014077,0.009433,0.001,0.783052,-0.003385,0.001,0.013756,0.009755,0.001,0.02,True,0.02,True,1.0,False,0.02,True,0.02,True,0.02,True
assist2009,1,question,no_s1,simplekt,valid,52254,770,0.782855,0.014128,0.760676,0.022179,0.001,0.126034,-0.111906,0.001,0.779916,0.002939,0.001,0.014077,5.1e-05,0.827586,0.783052,-0.000198,0.001,0.013756,0.000373,0.722639,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
assist2009,1,question,global_s1,simplekt,valid,52254,770,0.782711,0.013645,0.760676,0.022036,0.001,0.126034,-0.112389,0.001,0.779916,0.002795,0.001,0.014077,-0.000433,0.825587,0.783052,-0.000341,0.145927,0.013756,-0.000111,0.812594,0.02,True,0.02,True,0.02,True,1.0,False,0.875562,False,1.0,False
assist2009,1,question,no_s3,simplekt,valid,52254,770,0.779973,0.025196,0.760676,0.019297,0.001,0.126034,-0.100838,0.001,0.779916,5.7e-05,0.970515,0.014077,0.011118,0.001,0.783052,-0.003079,0.001,0.013756,0.01144,0.001,0.02,True,0.02,True,1.0,False,0.02,True,0.02,True,0.02,True
assist2009,2,question,full,simplekt,valid,52254,770,0.780535,0.026717,0.759104,0.021431,0.001,0.025647,0.00107,0.6007,0.775593,0.004942,0.001,0.012698,0.014019,0.001,0.779565,0.00097,0.270865,0.017013,0.009704,0.001,0.02,True,0.94153,False,0.02,True,0.02,True,1.0,False,0.02,True
assist2009,2,question,no_s1,simplekt,valid,52254,770,0.779357,0.016703,0.759104,0.020253,0.001,0.025647,-0.008945,0.043978,0.775593,0.003764,0.004998,0.012698,0.004004,0.02099,0.779565,-0.000209,0.001,0.017013,-0.000311,0.603698,0.02,True,0.143928,False,0.06997199999999999,False,0.20990000000000003,False,0.02,True,1.0,False
assist2009,2,question,global_s1,simplekt,valid,52254,770,0.779426,0.016821,0.759104,0.020322,0.001,0.025647,-0.008826,0.035982,0.775593,0.003833,0.004998,0.012698,0.004123,0.026987,0.779565,-0.00014,0.529735,0.017013,-0.000192,0.729635,0.02,True,0.143928,False,0.06997199999999999,False,0.24288300000000002,False,1.0,False,1.0,False
assist2009,2,question,no_s3,simplekt,valid,52254,770,0.780927,0.028474,0.759104,0.021823,0.001,0.025647,0.002826,0.470765,0.775593,0.005334,0.001,0.012698,0.015775,0.001,0.779565,0.001361,0.121939,0.017013,0.01146,0.001,0.02,True,0.94153,False,0.02,True,0.02,True,0.853573,False,0.02,True
assist2009,3,question,full,simplekt,valid,52254,770,0.781556,0.023815,0.767424,0.014132,0.001,0.057253,-0.033438,0.001,0.781343,0.000213,0.862569,0.013,0.010815,0.001,0.782362,-0.000806,0.38081,0.015456,0.008359,0.001,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False,0.02,True
assist2009,3,question,no_s1,simplekt,valid,52254,770,0.782159,0.015236,0.767424,0.014735,0.001,0.057253,-0.042017,0.001,0.781343,0.000816,0.490755,0.013,0.002236,0.229885,0.782362,-0.000203,0.001,0.015456,-0.000219,0.71964,0.02,True,0.02,True,1.0,False,1.0,False,0.02,True,1.0,False
assist2009,3,question,global_s1,simplekt,valid,52254,770,0.781845,0.015542,0.767424,0.014422,0.001,0.057253,-0.041711,0.001,0.781343,0.000503,0.65967,0.013,0.002542,0.231884,0.782362,-0.000516,0.003998,0.015456,8.6e-05,0.78061,0.02,True,0.02,True,1.0,False,1.0,False,0.047976,True,1.0,False
assist2009,3,question,no_s3,simplekt,valid,52254,770,0.781863,0.025752,0.767424,0.014439,0.001,0.057253,-0.031501,0.001,0.781343,0.00052,0.643678,0.013,0.012752,0.001,0.782362,-0.000499,0.574713,0.015456,0.010296,0.001,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False,0.02,True
assist2009,4,question,full,simplekt,valid,52254,770,0.782554,0.022394,0.766135,0.016418,0.001,0.111292,-0.088899,0.001,0.782027,0.000527,0.602699,0.010668,0.011725,0.001,0.786151,-0.003597,0.002999,0.011105,0.011289,0.001,0.02,True,0.02,True,1.0,False,0.02,True,0.038987,True,0.02,True
assist2009,4,question,no_s1,simplekt,valid,52254,770,0.785979,0.010291,0.766135,0.019844,0.001,0.111292,-0.101002,0.001,0.782027,0.003952,0.001,0.010668,-0.000378,0.688656,0.786151,-0.000172,0.004998,0.011105,-0.000814,0.824588,0.02,True,0.02,True,0.02,True,1.0,False,0.04998,True,1.0,False
