dataset,variant,n_folds,best_single_selected_on,mean_delta_auc_vs_best,n_folds_sig_vs_best_05,mean_delta_auc_vs_stack,n_folds_sig_vs_stack_05,mean_delta_auc_vs_static,n_folds_sig_vs_static_05
assist2009,full,5,valid,0.017324,5,0.000794,1,-0.002128,3
assist2009,no_s1,5,valid,0.019257,5,0.002727,4,-0.000195,5
assist2009,global_s1,5,valid,0.019131,5,0.002601,4,-0.000321,2
assist2009,no_s3,5,valid,0.017683,5,0.001153,1,-0.001769,3
assist2017,full,5,valid,0.010594,5,-0.001564,5,-0.002066,5
assist2017,no_s1,5,valid,0.012536,5,0.000378,2,-0.000124,5
assist2017,global_s1,5,valid,0.012501,5,0.000343,1,-0.000159,4
assist2017,no_s3,5,valid,0.010741,5,-0.001417,5,-0.001919,5
algebra2005,full,5,valid,0.021843,5,0.005521,5,-0.001975,5
algebra2005,no_s1,5,valid,0.023662,5,0.007341,5,-0.000155,5
algebra2005,global_s1,5,valid,0.023573,5,0.007251,5,-0.000244,3
algebra2005,no_s3,5,valid,0.02216,5,0.005838,5,-0.001658,5
bridge2algebra2006,full,5,valid,0.00747,5,-0.005676,5,-0.006284,5
bridge2algebra2006,no_s1,5,valid,0.013661,5,0.000515,2,-9.3e-05,5
bridge2algebra2006,global_s1,5,valid,0.01372,5,0.000573,2,-3.4e-05,0
bridge2algebra2006,no_s3,5,valid,0.007599,5,-0.005547,5,-0.006154,5
assist2012,full,5,valid,0.00498,5,-0.00063,5,-0.001399,5
assist2012,no_s1,5,valid,0.006309,5,0.000699,5,-7.1e-05,5
assist2012,global_s1,5,valid,0.006311,5,0.000701,5,-6.8e-05,4
assist2012,no_s3,5,valid,0.005058,5,-0.000552,5,-0.001321,5
ednet,full,5,valid,0.02754,5,0.022335,5,0.006489,5
ednet,no_s1,5,valid,0.020998,5,0.015793,5,-5.3e-05,4
ednet,global_s1,5,valid,0.0222,5,0.016994,5,0.001149,2
ednet,no_s3,5,valid,0.027321,5,0.022115,5,0.00627,5
