dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2009,0,concept,static_concept_weights,akt,valid,61904,770,cluster,0.846219,0.008517,0.831487,0.014732,0.012118,0.017102,0.001,0.010324,-0.001808,0.447776,0.846248,-2.9e-05,-0.001155,0.001108,0.998501,0.008302,0.000215,0.729635,0.015,True,1.0,False,1.0,False,1.0,False
assist2009,0,concept,global_stack_concept_intercept,akt,valid,61904,770,cluster,0.847252,0.008093,0.831487,0.015765,0.013471,0.017905,0.001,0.010324,-0.002231,0.250875,0.846248,0.001004,0.000361,0.001635,0.002999,0.008302,-0.000209,0.801599,0.015,True,1.0,False,0.020992999999999998,True,1.0,False
assist2009,0,concept,linear_gating,akt,valid,61904,770,cluster,0.839667,0.043531,0.831487,0.008179,0.005661,0.010671,0.001,0.010324,0.033206,0.001,0.846248,-0.006581,-0.007658,-0.005469,0.001,0.008302,0.035229,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2009,1,concept,static_concept_weights,akt,valid,61904,770,cluster,0.846245,0.011891,0.829269,0.016976,0.014503,0.019527,0.001,0.007153,0.004739,0.038981,0.845235,0.00101,-3.6e-05,0.002025,0.06097,0.011242,0.000649,0.432784,0.015,True,0.295856,False,0.36582000000000003,False,1.0,False
assist2009,1,concept,global_stack_concept_intercept,akt,valid,61904,770,cluster,0.845326,0.011578,0.829269,0.016057,0.013467,0.018647,0.001,0.007153,0.004425,0.107946,0.845235,9.1e-05,-0.000494,0.000698,0.758621,0.011242,0.000335,0.575712,0.015,True,0.647676,False,1.0,False,1.0,False
assist2009,1,concept,linear_gating,akt,valid,61904,770,cluster,0.835797,0.035473,0.829269,0.006528,0.0035,0.009553,0.001,0.007153,0.02832,0.001,0.845235,-0.009438,-0.01079,-0.008028,0.001,0.011242,0.024231,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2009,2,concept,static_concept_weights,simplekt,valid,61904,770,cluster,0.844068,0.01305,0.829041,0.015027,0.012914,0.017131,0.001,0.011985,0.001065,0.794603,0.843305,0.000763,-0.000743,0.002128,0.308846,0.009124,0.003926,0.013993,0.015,True,1.0,False,1.0,False,0.13993,False
assist2009,2,concept,global_stack_concept_intercept,simplekt,valid,61904,770,cluster,0.844663,0.010015,0.829041,0.015622,0.013569,0.017649,0.001,0.011985,-0.001969,0.603698,0.843305,0.001358,0.000683,0.00204,0.001,0.009124,0.000891,0.446777,0.015,True,1.0,False,0.015,True,1.0,False
assist2009,2,concept,linear_gating,simplekt,valid,61904,770,cluster,0.838244,0.038145,0.829041,0.009203,0.006797,0.011608,0.001,0.011985,0.02616,0.001,0.843305,-0.005061,-0.006078,-0.004027,0.001,0.009124,0.029021,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2009,3,concept,static_concept_weights,akt,valid,61904,770,cluster,0.845658,0.012389,0.829384,0.016274,0.013584,0.018993,0.001,0.007244,0.005145,0.036982,0.846494,-0.000836,-0.002174,0.000458,0.230885,0.010095,0.002294,0.035982,0.015,True,0.295856,False,1.0,False,0.323838,False
assist2009,3,concept,global_stack_concept_intercept,akt,valid,61904,770,cluster,0.846465,0.00987,0.829384,0.01708,0.01473,0.019502,0.001,0.007244,0.002626,0.226887,0.846494,-3e-05,-0.000633,0.000568,0.942529,0.010095,-0.000225,0.604698,0.015,True,1.0,False,1.0,False,1.0,False
assist2009,3,concept,linear_gating,akt,valid,61904,770,cluster,0.840081,0.04098,0.829384,0.010696,0.008653,0.012902,0.001,0.007244,0.033737,0.001,0.846494,-0.006414,-0.007456,-0.005297,0.001,0.010095,0.030885,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2009,4,concept,static_concept_weights,simplekt,valid,61904,770,cluster,0.849372,0.009272,0.83191,0.017462,0.014831,0.020144,0.001,0.086021,-0.076749,0.001,0.847161,0.002211,0.001204,0.003148,0.001,0.006899,0.002373,0.205897,0.015,True,0.015,True,0.015,True,1.0,False
assist2009,4,concept,global_stack_concept_intercept,simplekt,valid,61904,770,cluster,0.848278,0.008358,0.83191,0.016368,0.013751,0.019094,0.001,0.086021,-0.077663,0.001,0.847161,0.001117,0.000541,0.001719,0.001999,0.006899,0.001459,0.285857,0.015,True,0.015,True,0.015992,True,1.0,False
assist2009,4,concept,linear_gating,simplekt,valid,61904,770,cluster,0.841793,0.057789,0.83191,0.009883,0.008429,0.011339,0.001,0.086021,-0.028232,0.001,0.847161,-0.005368,-0.006759,-0.004032,0.001,0.006899,0.050889,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2015,0,concept,static_concept_weights,dkt,valid,134592,3818,cluster,0.728832,0.005966,0.726964,0.001868,0.000831,0.002872,0.001,0.010352,-0.004386,0.008996,0.730553,-0.001721,-0.002458,-0.000971,0.001,0.004172,0.001794,0.061969,0.015,True,0.03998,True,0.015,True,0.495752,False
assist2015,0,concept,global_stack_concept_intercept,dkt,valid,134592,3818,cluster,0.730773,0.004529,0.726964,0.003809,0.002989,0.004647,0.001,0.010352,-0.005823,0.003998,0.730553,0.00022,-0.000162,0.000637,0.278861,0.004172,0.000357,0.687656,0.015,True,0.031984,True,1.0,False,1.0,False
assist2015,0,concept,linear_gating,dkt,valid,134592,3818,cluster,0.722944,0.025887,0.726964,-0.004019,-0.005614,-0.002526,0.001,0.010352,0.015534,0.001,0.730553,-0.007609,-0.008769,-0.006429,0.001,0.004172,0.021714,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2015,1,concept,static_concept_weights,dkt,valid,134592,3818,cluster,0.729401,0.006176,0.726292,0.003108,0.002166,0.004088,0.001,0.008552,-0.002377,0.042979,0.730322,-0.000922,-0.001637,-0.00023,0.013993,0.00414,0.002036,0.168916,0.015,True,0.12893700000000002,False,0.083958,False,1.0,False
assist2015,1,concept,global_stack_concept_intercept,dkt,valid,134592,3818,cluster,0.730251,0.004354,0.726292,0.003958,0.00314,0.004774,0.001,0.008552,-0.004199,0.001999,0.730322,-7.2e-05,-0.000444,0.000321,0.726637,0.00414,0.000214,0.702649,0.015,True,0.017991,True,1.0,False,1.0,False
