dataset,fold,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,n_concepts_fit,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2009,0,static_concept_weights,bkt,valid,53148,770,cluster,82,0.741486,0.008254,0.725239,0.016247,0.012715,0.019404,0.0,0.020236,-0.011982,0.0,0.740632,0.000854,-0.001099,0.002796,0.392,0.009901,-0.001647,0.524,0.0,True,0.0,True,1.0,False,1.0,False
assist2009,0,global_stack_concept_intercept,bkt,valid,53148,770,cluster,82,0.743256,0.008247,0.725239,0.018016,0.014503,0.021206,0.0,0.020236,-0.01199,0.0,0.740632,0.002623,0.001368,0.003852,0.0,0.009901,-0.001655,0.428,0.0,True,0.0,True,0.0,True,1.0,False
assist2009,0,linear_gating,bkt,valid,53148,770,cluster,-1,0.733838,0.035178,0.725239,0.008598,0.006228,0.010622,0.0,0.020236,0.014942,0.0,0.740632,-0.006795,-0.008493,-0.005007,0.0,0.009901,0.025277,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2009,1,static_concept_weights,bkt,valid,53148,770,cluster,84,0.741585,0.008787,0.725276,0.016309,0.012388,0.019813,0.0,0.01942,-0.010633,0.002,0.740359,0.001226,-0.000968,0.003347,0.255,0.008561,0.000226,0.67,0.0,True,0.014,True,1.0,False,1.0,False
assist2009,1,global_stack_concept_intercept,bkt,valid,53148,770,cluster,84,0.74315,0.00912,0.725276,0.017875,0.014087,0.021116,0.0,0.01942,-0.0103,0.004,0.740359,0.002792,0.001659,0.003968,0.0,0.008561,0.000558,0.756,0.0,True,0.02,True,0.0,True,1.0,False
assist2009,1,linear_gating,bkt,valid,53148,770,cluster,-1,0.733188,0.035689,0.725276,0.007912,0.005484,0.009966,0.0,0.01942,0.016269,0.0,0.740359,-0.007171,-0.008929,-0.005281,0.0,0.008561,0.027127,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2009,2,static_concept_weights,bkt,valid,53148,770,cluster,90,0.73941,0.013286,0.72581,0.013599,0.009965,0.016923,0.0,0.018534,-0.005248,0.069,0.740806,-0.001396,-0.003716,0.00082,0.237,0.01094,0.002347,0.572,0.0,True,0.069,False,1.0,False,1.0,False
assist2009,2,global_stack_concept_intercept,bkt,valid,53148,770,cluster,90,0.743056,0.009541,0.72581,0.017246,0.013701,0.020386,0.0,0.018534,-0.008993,0.007,0.740806,0.00225,0.000929,0.003494,0.0,0.01094,-0.001399,0.412,0.0,True,0.021,True,0.0,True,1.0,False
assist2009,2,linear_gating,bkt,valid,53148,770,cluster,-1,0.733762,0.03543,0.72581,0.007952,0.005661,0.009948,0.0,0.018534,0.016896,0.0,0.740806,-0.007044,-0.008717,-0.005266,0.0,0.01094,0.024491,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2009,3,static_concept_weights,bkt,valid,53148,770,cluster,88,0.739213,0.013324,0.726632,0.012581,0.008561,0.016224,0.0,0.019525,-0.006201,0.015,0.741027,-0.001814,-0.005381,0.001197,0.242,0.012802,0.000522,0.711,0.0,True,0.03,True,1.0,False,1.0,False
assist2009,3,global_stack_concept_intercept,bkt,valid,53148,770,cluster,88,0.743167,0.008914,0.726632,0.016535,0.013227,0.019377,0.0,0.019525,-0.010611,0.0,0.741027,0.00214,0.000777,0.003345,0.005,0.012802,-0.003889,0.101,0.0,True,0.0,True,0.03,True,1.0,False
assist2009,3,linear_gating,bkt,valid,53148,770,cluster,-1,0.733683,0.0346,0.726632,0.007051,0.004665,0.009064,0.0,0.019525,0.015075,0.0,0.741027,-0.007344,-0.008797,-0.005736,0.0,0.012802,0.021797,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2009,4,static_concept_weights,bkt,valid,53148,770,cluster,83,0.740214,0.010724,0.725994,0.01422,0.010579,0.017516,0.0,0.020951,-0.010226,0.004,0.740513,-0.000299,-0.002955,0.002198,0.851,0.011005,-0.00028,0.677,0.0,True,0.02,True,1.0,False,1.0,False
assist2009,4,global_stack_concept_intercept,bkt,valid,53148,770,cluster,83,0.742768,0.008606,0.725994,0.016774,0.013405,0.019805,0.0,0.020951,-0.012345,0.002,0.740513,0.002255,0.000979,0.003511,0.0,0.011005,-0.002399,0.299,0.0,True,0.014,True,0.0,True,1.0,False
assist2009,4,linear_gating,bkt,valid,53148,770,cluster,-1,0.733804,0.035697,0.725994,0.00781,0.005488,0.009818,0.0,0.020951,0.014747,0.0,0.740513,-0.006709,-0.008184,-0.005127,0.0,0.011005,0.024693,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,0,static_concept_weights,bkt,valid,138458,3818,cluster,100,0.708302,0.007229,0.69884,0.009462,0.007853,0.011216,0.0,0.007777,-0.000548,0.589,0.706784,0.001519,0.000404,0.002704,0.01,0.007482,-0.000253,0.757,0.0,True,1.0,False,0.03,True,1.0,False
assist2015,0,global_stack_concept_intercept,bkt,valid,138458,3818,cluster,100,0.709766,0.006943,0.69884,0.010926,0.00931,0.012758,0.0,0.007777,-0.000834,0.497,0.706784,0.002982,0.002048,0.003966,0.0,0.007482,-0.000538,0.659,0.0,True,1.0,False,0.0,True,1.0,False
assist2015,0,linear_gating,bkt,valid,138458,3818,cluster,-1,0.697177,0.018614,0.69884,-0.001662,-0.002921,-0.000417,0.009,0.007777,0.010836,0.0,0.706784,-0.009606,-0.011195,-0.008109,0.0,0.007482,0.011132,0.0,0.045,True,0.0,True,0.0,True,0.0,True
assist2015,1,static_concept_weights,bkt,valid,138458,3818,cluster,100,0.708644,0.008255,0.698996,0.009648,0.008011,0.011387,0.0,0.00726,0.000995,0.346,0.706939,0.001705,0.000665,0.002679,0.0,0.006968,0.001287,0.183,0.0,True,1.0,False,0.0,True,1.0,False
assist2015,1,global_stack_concept_intercept,bkt,valid,138458,3818,cluster,100,0.709649,0.008728,0.698996,0.010653,0.009083,0.012345,0.0,0.00726,0.001468,0.226,0.706939,0.00271,0.001883,0.003501,0.0,0.006968,0.00176,0.152,0.0,True,1.0,False,0.0,True,1.0,False
assist2015,1,linear_gating,bkt,valid,138458,3818,cluster,-1,0.697525,0.017643,0.698996,-0.001471,-0.002631,-0.000279,0.017,0.00726,0.010383,0.0,0.706939,-0.009414,-0.010724,-0.008186,0.0,0.006968,0.010675,0.0,0.068,False,0.0,True,0.0,True,0.0,True
assist2015,2,static_concept_weights,bkt,valid,138458,3818,cluster,99,0.70852,0.007594,0.699136,0.009384,0.007689,0.011276,0.0,0.006997,0.000596,0.701,0.707186,0.001333,0.000185,0.002428,0.02,0.00737,0.000224,0.725,0.0,True,1.0,False,0.04,True,1.0,False
assist2015,2,global_stack_concept_intercept,bkt,valid,138458,3818,cluster,99,0.709949,0.007797,0.699136,0.010814,0.009102,0.012682,0.0,0.006997,0.0008,0.572,0.707186,0.002763,0.001858,0.003683,0.0,0.00737,0.000427,0.603,0.0,True,1.0,False,0.0,True,1.0,False
assist2015,2,linear_gating,bkt,valid,138458,3818,cluster,-1,0.697662,0.01777,0.699136,-0.001474,-0.002699,-0.000255,0.017,0.006997,0.010773,0.0,0.707186,-0.009525,-0.01098,-0.008138,0.0,0.00737,0.0104,0.0,0.068,False,0.0,True,0.0,True,0.0,True
assist2015,3,static_concept_weights,bkt,valid,138458,3818,cluster,100,0.708939,0.00599,0.698987,0.009953,0.0083,0.011762,0.0,0.008391,-0.002401,0.203,0.706967,0.001972,0.000961,0.002993,0.0,0.004517,0.001473,0.294,0.0,True,1.0,False,0.0,True,1.0,False
assist2015,3,global_stack_concept_intercept,bkt,valid,138458,3818,cluster,100,0.710153,0.005031,0.698987,0.011167,0.009584,0.012936,0.0,0.008391,-0.00336,0.038,0.706967,0.003186,0.002343,0.004054,0.0,0.004517,0.000514,0.811,0.0,True,0.38,False,0.0,True,1.0,False
