dataset,meta_learner,n_folds,mean_delta_auc_vs_best,std_delta_auc_vs_best,min_auc_p_vs_best,n_folds_sig_auc_vs_best_05,mean_delta_auc_vs_stack,std_delta_auc_vs_stack,min_auc_p_vs_stack,n_folds_sig_auc_vs_stack_05,mean_delta_ece_vs_best
algebra2005,global_stack_concept_intercept,5,0.011494,0.000563,0.0,5,0.003913,0.000265,0.0,5,-0.004036
algebra2005,linear_gating,5,0.001383,0.001452,0.124,0,-0.006198,0.001052,0.0,5,0.002521
algebra2005,static_concept_weights,5,0.011965,0.000714,0.0,5,0.004384,0.000508,0.0,5,-0.003749
assist2009,global_stack_concept_intercept,5,0.017289,0.000653,0.0,5,0.002412,0.00028,0.0,5,-0.010848
assist2009,linear_gating,5,0.007865,0.000551,0.0,5,-0.007012,0.000262,0.0,5,0.015586
assist2009,static_concept_weights,5,0.014591,0.001647,0.0,5,-0.000286,0.001337,0.237,0,-0.008858
assist2012,global_stack_concept_intercept,5,0.018056,0.000127,0.0,5,0.002347,0.000129,0.0,5,-0.003877
assist2012,linear_gating,5,0.006546,0.000382,0.0,5,-0.009164,0.000375,0.0,5,0.017106
assist2012,static_concept_weights,5,0.017847,0.000177,0.0,5,0.002137,0.000123,0.0,5,-0.004598
assist2015,global_stack_concept_intercept,5,0.010797,0.000279,0.0,5,0.002924,0.000192,0.0,5,-0.000773
assist2015,linear_gating,5,-0.001054,0.001078,0.009,4,-0.008927,0.001314,0.0,5,0.010572
assist2015,static_concept_weights,5,0.009331,0.000664,0.0,5,0.001458,0.000456,0.0,4,-0.000779
assist2017,global_stack_concept_intercept,5,0.015844,0.000509,0.0,5,0.001492,0.000417,0.0,4,-0.018223
assist2017,linear_gating,5,0.009911,0.000666,0.0,5,-0.004442,0.00048,0.0,5,-0.000876
assist2017,static_concept_weights,5,0.015822,0.000424,0.0,5,0.00147,0.000344,0.002,4,-0.018399
bridge2algebra2006,global_stack_concept_intercept,5,0.011652,0.000575,0.0,5,0.001518,0.000445,0.009,3,-0.006006
bridge2algebra2006,linear_gating,5,0.002778,0.000707,0.0,5,-0.007356,0.000338,0.0,5,0.009698
bridge2algebra2006,static_concept_weights,5,0.011792,0.000959,0.0,5,0.001658,0.000452,0.006,3,-0.006272
ednet,global_stack_concept_intercept,5,0.008626,0.004841,0.0,5,0.000237,0.000792,0.008,1,-0.028667
ednet,linear_gating,5,-0.002624,0.006054,0.002,5,-0.011013,0.001151,0.0,5,0.001366
ednet,static_concept_weights,5,0.006517,0.003492,0.0,4,-0.001872,0.002201,0.002,1,-0.029429
