dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2009,0,question,static_concept_weights,simplekt,valid,52254,770,cluster,0.783043,0.010994,0.763575,0.019469,0.016369,0.022814,0.001,0.078771,-0.067777,0.001,0.780687,0.002356,0.000331,0.004343,0.01999,0.013298,-0.002303,0.551724,0.015,True,0.015,True,0.07996,False,1.0,False
assist2009,0,question,global_stack_concept_intercept,simplekt,valid,52254,770,cluster,0.782748,0.012245,0.763575,0.019174,0.016333,0.022222,0.001,0.078771,-0.066526,0.001,0.780687,0.002061,0.001088,0.003035,0.001,0.013298,-0.001052,0.757621,0.015,True,0.015,True,0.015,True,1.0,False
assist2009,0,question,linear_gating,simplekt,valid,52254,770,cluster,0.778046,0.05247,0.763575,0.014471,0.012203,0.016851,0.001,0.078771,-0.026302,0.001,0.780687,-0.002641,-0.003566,-0.001709,0.001,0.013298,0.039172,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2009,1,question,static_concept_weights,simplekt,valid,52254,770,cluster,0.783052,0.013756,0.760676,0.022376,0.019266,0.025654,0.001,0.126034,-0.112278,0.001,0.779916,0.003136,0.001583,0.004795,0.001,0.014077,-0.000322,0.882559,0.015,True,0.015,True,0.015,True,1.0,False
assist2009,1,question,global_stack_concept_intercept,simplekt,valid,52254,770,cluster,0.780275,0.013987,0.760676,0.019599,0.016595,0.022712,0.001,0.126034,-0.112047,0.001,0.779916,0.000359,-0.000266,0.001023,0.267866,0.014077,-9e-05,0.911544,0.015,True,0.015,True,0.803598,False,1.0,False
assist2009,1,question,linear_gating,simplekt,valid,52254,770,cluster,0.774435,0.051254,0.760676,0.013759,0.011758,0.015922,0.001,0.126034,-0.07478,0.001,0.779916,-0.005481,-0.006882,-0.003966,0.001,0.014077,0.037177,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2009,2,question,static_concept_weights,simplekt,valid,52254,770,cluster,0.779565,0.017013,0.759104,0.020461,0.017217,0.023652,0.001,0.025647,-0.008634,0.021989,0.775593,0.003973,0.001511,0.006537,0.003998,0.012698,0.004315,0.035982,0.015,True,0.043978,True,0.023988,True,0.35982000000000003,False
assist2009,2,question,global_stack_concept_intercept,simplekt,valid,52254,770,cluster,0.777162,0.013158,0.759104,0.018058,0.015386,0.020778,0.001,0.025647,-0.012489,0.008996,0.775593,0.001569,0.000609,0.002571,0.004998,0.012698,0.00046,0.485757,0.015,True,0.031984,True,0.02499,True,1.0,False
assist2009,2,question,linear_gating,simplekt,valid,52254,770,cluster,0.77184,0.042106,0.759104,0.012736,0.009446,0.015993,0.001,0.025647,0.016459,0.007996,0.775593,-0.003753,-0.005248,-0.002313,0.001,0.012698,0.029408,0.001,0.015,True,0.031984,True,0.015,True,0.015,True
assist2009,3,question,static_concept_weights,simplekt,valid,52254,770,cluster,0.782362,0.015456,0.767424,0.014938,0.011735,0.018497,0.001,0.057253,-0.041797,0.001,0.781343,0.001019,-0.001504,0.003209,0.385807,0.013,0.002456,0.14093,0.015,True,0.015,True,0.803598,False,1.0,False
assist2009,3,question,global_stack_concept_intercept,simplekt,valid,52254,770,cluster,0.781743,0.01309,0.767424,0.014319,0.011631,0.017038,0.001,0.057253,-0.044163,0.001,0.781343,0.0004,-0.00067,0.001385,0.456772,0.013,9e-05,0.830585,0.015,True,0.015,True,0.803598,False,1.0,False
assist2009,3,question,linear_gating,simplekt,valid,52254,770,cluster,0.777654,0.048275,0.767424,0.01023,0.007528,0.01294,0.001,0.057253,-0.008978,0.031984,0.781343,-0.003689,-0.004835,-0.002525,0.001,0.013,0.035276,0.001,0.015,True,0.043978,True,0.015,True,0.015,True
assist2009,4,question,static_concept_weights,simplekt,valid,52254,770,cluster,0.786151,0.011105,0.766135,0.020016,0.016762,0.02336,0.001,0.111292,-0.100188,0.001,0.782027,0.004124,0.002176,0.006124,0.001,0.010668,0.000436,0.544728,0.015,True,0.015,True,0.015,True,1.0,False
assist2009,4,question,global_stack_concept_intercept,simplekt,valid,52254,770,cluster,0.783594,0.012054,0.766135,0.017459,0.014529,0.020624,0.001,0.111292,-0.099238,0.001,0.782027,0.001567,0.00077,0.002378,0.001,0.010668,0.001386,0.349825,0.015,True,0.015,True,0.015,True,1.0,False
assist2009,4,question,linear_gating,simplekt,valid,52254,770,cluster,0.779015,0.066687,0.766135,0.01288,0.011191,0.014618,0.001,0.111292,-0.044605,0.001,0.782027,-0.003012,-0.004294,-0.001732,0.001,0.010668,0.056018,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,0,question,static_concept_weights,akt,valid,177767,341,cluster,0.770687,0.004779,0.758263,0.012424,0.011287,0.01357,0.001,0.015686,-0.010907,0.001,0.769958,0.000729,0.000239,0.00118,0.004998,0.004197,0.000583,0.405797,0.015,True,0.015,True,0.029988,True,1.0,False
assist2017,0,question,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.770839,0.005117,0.758263,0.012575,0.011511,0.01365,0.001,0.015686,-0.010569,0.001,0.769958,0.000881,0.00057,0.001188,0.001,0.004197,0.00092,0.301849,0.015,True,0.015,True,0.015,True,1.0,False
assist2017,0,question,linear_gating,akt,valid,177767,341,cluster,0.76452,0.032617,0.758263,0.006257,0.005099,0.007408,0.001,0.015686,0.016931,0.001,0.769958,-0.005438,-0.006179,-0.004752,0.001,0.004197,0.028421,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,1,question,static_concept_weights,akt,valid,177767,341,cluster,0.771435,0.005054,0.758171,0.013264,0.012079,0.014456,0.001,0.01577,-0.010716,0.001,0.770683,0.000753,0.000332,0.001172,0.002999,0.004285,0.000768,0.536732,0.015,True,0.015,True,0.020992999999999998,True,1.0,False
assist2017,1,question,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.771339,0.004133,0.758171,0.013168,0.01199,0.014357,0.001,0.01577,-0.011637,0.001,0.770683,0.000656,0.00036,0.000953,0.001,0.004285,-0.000153,0.733633,0.015,True,0.015,True,0.015,True,1.0,False
