dataset,meta_learner,n_folds,best_single_selected_on,mean_delta_auc_vs_best,std_delta_auc_vs_best,min_auc_p_vs_best,n_folds_sig_vs_best_05,mean_delta_auc_vs_stack,std_delta_auc_vs_stack,min_auc_p_vs_stack,n_folds_sig_vs_stack_05,mean_delta_ece_vs_best,mean_delta_ece_vs_stack
assist2009,static_concept_weights,5,valid,0.019452,0.002751,0.001,5,0.002922,0.001278,0.001,4,-0.066135,0.000916
assist2009,global_stack_concept_intercept,5,valid,0.017722,0.002085,0.001,5,0.001191,0.000768,0.001,3,-0.066893,0.000159
assist2009,linear_gating,5,valid,0.012815,0.001607,0.001,5,-0.003715,0.001092,0.001,5,-0.027641,0.03941
assist2017,static_concept_weights,5,valid,0.01266,0.001295,0.001,5,0.000502,0.00029,0.002999,3,-0.014045,-7.4e-05
assist2017,global_stack_concept_intercept,5,valid,0.012742,0.001398,0.001,5,0.000584,0.000194,0.001,5,-0.014091,-0.00012
assist2017,linear_gating,5,valid,0.006538,0.001341,0.001,5,-0.00562,0.000562,0.001,5,0.017358,0.031329
algebra2005,static_concept_weights,5,valid,0.023817,0.001409,0.001,5,0.007496,0.00073,0.001,5,-0.045659,-0.00535
algebra2005,global_stack_concept_intercept,5,valid,0.017147,0.001729,0.001,5,0.000825,0.000254,0.001,3,-0.041092,-0.000783
algebra2005,linear_gating,5,valid,0.007979,0.002692,0.001,5,-0.008343,0.002393,0.001,5,-0.01095,0.029359
bridge2algebra2006,static_concept_weights,5,valid,0.013754,0.001159,0.001,5,0.000608,0.000858,0.001,2,-0.003416,0.00094
bridge2algebra2006,global_stack_concept_intercept,5,valid,0.014096,0.000965,0.001,5,0.00095,0.000559,0.001,5,-0.004509,-0.000153
bridge2algebra2006,linear_gating,5,valid,-0.002689,0.002254,0.001,2,-0.015835,0.001609,0.001,5,0.029855,0.034211
assist2012,static_concept_weights,5,valid,0.006379,0.000563,0.001,5,0.00077,7.8e-05,0.001,5,-0.011715,0.000652
assist2012,global_stack_concept_intercept,5,valid,0.006255,0.000489,0.001,5,0.000645,8e-05,0.001,5,-0.012225,0.000142
assist2012,linear_gating,5,valid,-0.001296,0.001,0.001,4,-0.006906,0.000866,0.001,5,0.018667,0.031034
ednet,static_concept_weights,5,valid,0.021051,0.001827,0.001,5,0.015845,0.001389,0.001,5,-0.122703,0.000974
ednet,global_stack_concept_intercept,5,valid,0.008634,0.001874,0.001,5,0.003428,0.000502,0.001,5,-0.120268,0.003409
ednet,linear_gating,5,valid,-0.012643,0.001915,0.001,5,-0.017849,0.003324,0.001,5,-0.037282,0.086395
