dataset,fold,subset,aggregator,models_in_subset,best_single_model,best_single_selected_on,n_rows,n_students,ensemble_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,ensemble_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2009,0,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.732365,0.725239,0.007125,0.00444,0.009437,0.001,0.036473,0.020236,0.016237,0.006873,0.023087,0.002999,0.025,True,0.065978,False
assist2009,0,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.732494,0.725239,0.007255,0.004447,0.009605,0.001,0.03457,0.020236,0.014334,0.00422,0.021455,0.007996,0.025,True,0.143928,False
assist2009,0,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.731464,0.725239,0.006225,0.003578,0.008501,0.001,0.031332,0.020236,0.011096,0.001676,0.018166,0.022989,0.025,True,0.263868,False
assist2009,0,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.733977,0.725239,0.008738,0.005891,0.011237,0.001,,,,,,,0.025,True,1.0,False
assist2009,0,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.727989,0.725239,0.00275,0.000139,0.004963,0.04098,0.026637,0.020236,0.006401,-0.002234,0.013895,0.172914,0.16492,False,1.0,False
assist2009,0,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.776598,0.763575,0.013023,0.009263,0.016905,0.001,0.017173,0.078771,-0.061598,-0.068677,-0.054671,0.001,0.025,True,0.025,True
assist2009,0,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.775572,0.763575,0.011998,0.008366,0.015838,0.001,0.009621,0.078771,-0.06915,-0.073086,-0.062678,0.001,0.025,True,0.025,True
assist2009,0,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.778624,0.763575,0.015049,0.011742,0.018499,0.001,0.025745,0.078771,-0.053027,-0.058168,-0.047124,0.001,0.025,True,0.025,True
assist2009,0,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.775656,0.763575,0.012081,0.007942,0.016353,0.001,,,,,,,0.025,True,0.731634,False
assist2009,0,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.7716,0.763575,0.008025,0.00353,0.012554,0.001,0.017391,0.078771,-0.06138,-0.066478,-0.054985,0.001,0.025,True,0.025,True
