dataset,subset,aggregator,n_folds,mean_delta_auc,std_delta_auc,min_auc_p,n_folds_sig_auc_05,mean_delta_ece,std_delta_ece,min_ece_p,n_folds_sig_ece_05
assist2009,classical,arithmetic_mean,5,0.006708,0.000496,0.0,5,0.016987,0.000955,0.0,5
assist2009,classical,geometric_mean,5,0.00678,0.000512,0.0,5,0.014616,0.000858,0.004,5
assist2009,classical,logit_mean,5,0.005834,0.000491,0.0,5,0.01163,0.001013,0.01,5
assist2009,classical,rank_mean,5,0.008368,0.000419,0.0,5,nan,nan,nan,0
assist2009,classical,median,5,0.002556,0.000434,0.032,3,0.007426,0.001335,0.052,0
assist2009,deep,arithmetic_mean,5,0.012806,0.00248,0.0,5,-0.061588,0.040795,0.0,4
assist2009,deep,geometric_mean,5,0.011947,0.002352,0.0,5,-0.066177,0.035982,0.0,5
assist2009,deep,logit_mean,5,0.014775,0.002572,0.0,5,-0.05165,0.032458,0.0,4
assist2009,deep,rank_mean,5,0.01156,0.002665,0.0,5,nan,nan,nan,0
assist2009,deep,median,5,0.007471,0.003089,0.0,4,-0.061136,0.039187,0.0,5
assist2015,classical,arithmetic_mean,5,0.000176,0.000121,0.59,0,0.01905,0.000875,0.0,5
assist2015,classical,geometric_mean,5,0.00048,0.000112,0.369,0,0.019758,0.000888,0.0,5
assist2015,classical,logit_mean,5,-0.000617,0.000134,0.312,0,0.015031,0.000922,0.0,5
assist2015,classical,rank_mean,5,-6.6e-05,0.000177,0.771,0,nan,nan,nan,0
assist2015,classical,median,5,-0.004377,0.000161,0.0,5,0.005971,0.00078,0.005,5
assist2015,deep,arithmetic_mean,5,0.001756,0.000299,0.0,5,-0.001963,0.006072,0.0,3
assist2015,deep,geometric_mean,5,0.001831,0.000277,0.0,5,-0.002669,0.00552,0.0,3
assist2015,deep,logit_mean,5,0.001513,0.000347,0.001,5,-0.0009,0.006642,0.0,3
assist2015,deep,rank_mean,5,0.001312,0.000333,0.003,2,nan,nan,nan,0
assist2015,deep,median,5,0.001118,0.000421,0.01,2,-0.001947,0.006721,0.0,4
assist2017,classical,arithmetic_mean,5,0.007349,0.000379,0.001,5,0.001283,0.000404,0.165,0
assist2017,classical,geometric_mean,5,0.006723,0.000367,0.001,5,-0.000204,0.000546,0.525,0
assist2017,classical,logit_mean,5,0.007161,0.000374,0.001,5,-8e-05,0.000437,0.567,0
