dataset,subset,meta_learner,n_folds,mean_delta_auc,std_delta_auc,min_auc_p,n_folds_sig_auc_05,mean_delta_ece,std_delta_ece,min_ece_p,n_folds_sig_ece_05
assist2009,classical,logistic_stacked,5,0.014838,0.000358,0.0,5,-0.009028,0.001771,0.0,5
assist2009,classical,ridge_stacked,5,0.014838,0.000357,0.0,5,-0.009029,0.001785,0.0,5
assist2009,classical,bma,5,0.0,0.0,1.0,0,0.0,0.0,1.0,0
assist2009,classical,xgb_stacked,5,0.015838,0.000935,0.0,5,-0.011436,0.002271,0.0,5
assist2009,classical,mlp_stacked,5,0.015001,0.000299,0.0,5,-0.008978,0.001916,0.001,3
assist2009,deep,logistic_stacked,5,0.01653,0.001931,0.0,5,-0.067051,0.040598,0.0,5
assist2009,deep,ridge_stacked,5,0.016534,0.00193,0.0,5,-0.066974,0.040509,0.0,5
assist2009,deep,bma,5,-0.005083,0.006141,0.0,2,-0.060409,0.040939,0.0,5
assist2009,deep,xgb_stacked,5,0.016245,0.002103,0.0,5,-0.068979,0.040835,0.0,5
assist2009,deep,mlp_stacked,5,0.016917,0.002067,0.0,5,-0.069177,0.037301,0.0,5
assist2015,classical,logistic_stacked,5,0.007874,0.000241,0.0,5,-0.00096,0.001675,0.042,1
assist2015,classical,ridge_stacked,5,0.007874,0.000241,0.0,5,-0.000964,0.001677,0.042,1
assist2015,classical,bma,5,0.0,0.0,1.0,0,0.0,0.0,1.0,0
assist2015,classical,xgb_stacked,5,0.011152,0.000265,0.0,5,-0.001771,0.001174,0.038,1
assist2015,classical,mlp_stacked,5,0.008728,0.001305,0.0,5,-0.000759,0.002323,0.051,0
assist2017,classical,logistic_stacked,5,0.01436,0.000268,0.0,5,-0.017065,0.001078,0.0,5
assist2017,classical,ridge_stacked,5,0.014402,0.000306,0.0,5,-0.016839,0.000801,0.0,5
assist2017,classical,bma,5,-0.0,0.0,0.43,0,0.0,0.0,0.022,2
assist2017,classical,xgb_stacked,5,0.02136,0.000597,0.0,5,-0.02061,0.001657,0.0,5
assist2017,classical,mlp_stacked,5,0.015448,0.000382,0.0,5,-0.018518,0.003622,0.0,5
assist2017,deep,logistic_stacked,5,0.012158,0.001458,0.0,5,-0.013971,0.004866,0.0,5
assist2017,deep,ridge_stacked,5,0.012158,0.001459,0.0,5,-0.013933,0.004781,0.0,5
assist2017,deep,bma,5,0.000384,0.000858,0.026,1,-0.00163,0.003644,0.0,1
assist2017,deep,xgb_stacked,5,0.012139,0.001539,0.0,5,-0.014264,0.00632,0.0,5
assist2017,deep,mlp_stacked,5,0.012464,0.001477,0.0,5,-0.009711,0.005236,0.0,4
algebra2005,classical,logistic_stacked,5,0.007517,0.000576,0.0,5,-0.000636,0.002197,0.072,0
algebra2005,classical,ridge_stacked,5,0.007519,0.000575,0.0,5,-0.000639,0.002201,0.073,0
algebra2005,classical,bma,5,0.0,0.0,1.0,0,0.0,0.0,1.0,0
algebra2005,classical,xgb_stacked,5,0.011068,0.000957,0.0,5,-0.005945,0.004223,0.0,3
algebra2005,classical,mlp_stacked,5,0.008528,0.000711,0.0,5,-0.002588,0.003998,0.013,2
algebra2005,deep,logistic_stacked,5,0.016322,0.001687,0.0,5,-0.040309,0.017196,0.0,5
algebra2005,deep,ridge_stacked,5,0.016349,0.001692,0.0,5,-0.040198,0.017253,0.0,5
algebra2005,deep,bma,5,-0.005158,0.002283,0.0,4,-0.040022,0.017137,0.0,5
algebra2005,deep,xgb_stacked,5,0.018316,0.001796,0.0,5,-0.04578,0.016322,0.0,5
algebra2005,deep,mlp_stacked,5,0.018093,0.001467,0.0,5,-0.041564,0.014183,0.0,5
bridge2algebra2006,classical,logistic_stacked,5,0.010134,0.000601,0.0,5,-0.003928,0.00101,0.0,5
bridge2algebra2006,classical,ridge_stacked,5,0.010157,0.000615,0.0,5,-0.003963,0.000971,0.0,5
bridge2algebra2006,classical,bma,5,-0.001634,0.000974,0.147,0,-0.001684,0.001462,0.305,0
bridge2algebra2006,classical,xgb_stacked,5,0.013013,0.000637,0.0,5,-0.007706,0.000829,0.0,5
bridge2algebra2006,classical,mlp_stacked,5,0.011274,0.000817,0.0,5,-0.005789,0.000988,0.0,5
bridge2algebra2006,deep,logistic_stacked,5,0.013146,0.001241,0.0,5,-0.004356,0.001932,0.0,2
bridge2algebra2006,deep,ridge_stacked,5,0.013146,0.001241,0.0,5,-0.004369,0.001927,0.0,3
bridge2algebra2006,deep,bma,5,0.0,0.0,1.0,0,0.0,0.0,1.0,0
bridge2algebra2006,deep,xgb_stacked,5,0.013684,0.001403,0.0,5,-0.004429,0.001696,0.0,3
bridge2algebra2006,deep,mlp_stacked,5,0.013813,0.001323,0.0,5,-0.00229,0.003063,0.005,2
assist2012,classical,logistic_stacked,5,0.015721,9.9e-05,0.0,5,-0.003975,0.00023,0.0,5
assist2012,classical,ridge_stacked,5,0.015721,9.9e-05,0.0,5,-0.003976,0.000225,0.0,5
assist2012,classical,bma,5,0.0,0.0,1.0,0,0.0,0.0,1.0,0
assist2012,classical,xgb_stacked,5,0.018839,0.000176,0.0,5,-0.005783,0.000405,0.0,5
assist2012,classical,mlp_stacked,5,0.016787,0.000463,0.0,5,-0.001307,0.004155,0.0,3
assist2012,deep,logistic_stacked,5,0.00561,0.000557,0.0,5,-0.012367,0.001003,0.0,5
assist2012,deep,ridge_stacked,5,0.00561,0.000557,0.0,5,-0.012366,0.001002,0.0,5
assist2012,deep,bma,5,-0.000407,0.000593,0.0,2,-0.001005,0.002994,0.0,1
assist2012,deep,xgb_stacked,5,0.005725,0.000571,0.0,5,-0.012278,0.001008,0.0,5
assist2012,deep,mlp_stacked,5,0.005748,0.000596,0.0,5,-0.007257,0.003563,0.0,5
ednet,classical,logistic_stacked,5,0.008367,0.005,0.0,5,-0.028209,0.014965,0.0,4
ednet,classical,ridge_stacked,5,0.008355,0.004979,0.0,5,-0.028364,0.015194,0.0,4
ednet,classical,bma,5,-0.007031,0.006458,0.0,3,-0.017047,0.015569,0.001,3
ednet,classical,xgb_stacked,5,0.008647,0.004796,0.0,5,-0.03227,0.013811,0.0,5
ednet,classical,mlp_stacked,5,0.008634,0.005846,0.0,5,-0.029414,0.01357,0.0,5
ednet,deep,logistic_stacked,5,0.005206,0.001645,0.0,5,-0.123677,0.012033,0.0,5
ednet,deep,ridge_stacked,5,0.005206,0.001645,0.0,5,-0.123678,0.012019,0.0,5
ednet,deep,bma,5,-0.051157,0.001241,0.0,5,-0.052805,0.007092,0.0,5
ednet,deep,xgb_stacked,5,0.022783,0.001373,0.0,5,-0.130946,0.01342,0.0,5
ednet,deep,mlp_stacked,5,0.018442,0.002471,0.0,5,-0.122573,0.016445,0.0,5
