dataset,fold,subset,meta_learner,models_in_subset,best_single_model,best_single_selected_on,n_valid,n_test,n_students,stacked_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,stacked_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2009,0,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,43912,53148,770,0.740436,0.725239,0.015197,0.01181,0.018203,0.0,0.010218,0.020236,-0.010018,-0.017349,-0.002715,0.001,0.0,True,0.021,True
assist2009,0,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,43912,53148,770,0.740436,0.725239,0.015196,0.011807,0.018203,0.0,0.010175,0.020236,-0.010062,-0.017376,-0.002798,0.002,0.0,True,0.032,True
assist2009,0,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,43912,53148,770,0.725239,0.725239,0.0,0.0,0.0,1.0,0.020236,0.020236,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2009,0,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,43912,53148,770,0.742556,0.725239,0.017317,0.013693,0.020402,0.0,0.007024,0.020236,-0.013212,-0.019182,-0.005101,0.001,0.0,True,0.021,True
assist2009,0,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,43912,53148,770,0.740687,0.725239,0.015447,0.011861,0.018633,0.0,0.012165,0.020236,-0.008071,-0.017611,0.001135,0.1,0.0,True,0.6000000000000001,False
assist2009,0,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43171,52254,770,0.780687,0.763575,0.017113,0.014414,0.019817,0.0,0.013298,0.078771,-0.065474,-0.072727,-0.058451,0.0,0.0,True,0.0,True
assist2009,0,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43171,52254,770,0.780688,0.763575,0.017113,0.014415,0.019817,0.0,0.013258,0.078771,-0.065513,-0.072712,-0.058491,0.0,0.0,True,0.0,True
assist2009,0,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,43171,52254,770,0.761532,0.763575,-0.002043,-0.007362,0.003363,0.458,0.022268,0.078771,-0.056504,-0.061723,-0.05262,0.0,1.0,False,0.0,True
assist2009,0,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43171,52254,770,0.780631,0.763575,0.017057,0.014406,0.019785,0.0,0.010316,0.078771,-0.068455,-0.074518,-0.060633,0.0,0.0,True,0.0,True
assist2009,0,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43171,52254,770,0.781281,0.763575,0.017707,0.015085,0.020395,0.0,0.010878,0.078771,-0.067894,-0.075927,-0.056276,0.0,0.0,True,0.0,True
assist2009,1,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44676,53148,770,0.740359,0.725276,0.015083,0.011579,0.018223,0.0,0.008561,0.01942,-0.010858,-0.015966,-0.003733,0.0,0.0,True,0.0,True
assist2009,1,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44676,53148,770,0.740359,0.725276,0.015083,0.011579,0.018223,0.0,0.008561,0.01942,-0.010858,-0.015966,-0.003733,0.0,0.0,True,0.0,True
assist2009,1,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44676,53148,770,0.725276,0.725276,0.0,0.0,0.0,1.0,0.01942,0.01942,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2009,1,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44676,53148,770,0.741083,0.725276,0.015807,0.012257,0.019094,0.0,0.007641,0.01942,-0.011779,-0.016627,-0.004023,0.002,0.0,True,0.032,True
assist2009,1,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44676,53148,770,0.740451,0.725276,0.015175,0.01164,0.018302,0.0,0.010296,0.01942,-0.009124,-0.01369,-0.003223,0.001,0.0,True,0.021,True
assist2009,1,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43942,52254,770,0.779916,0.760676,0.01924,0.016425,0.022113,0.0,0.014077,0.126034,-0.111957,-0.118948,-0.103196,0.0,0.0,True,0.0,True
assist2009,1,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43942,52254,770,0.779916,0.760676,0.01924,0.016425,0.022112,0.0,0.014076,0.126034,-0.111958,-0.118948,-0.103197,0.0,0.0,True,0.0,True
assist2009,1,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,43942,52254,770,0.7586,0.760676,-0.002076,-0.00751,0.003568,0.469,0.017385,0.126034,-0.108649,-0.11292,-0.102742,0.0,1.0,False,0.0,True
assist2009,1,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43942,52254,770,0.779299,0.760676,0.018623,0.015743,0.021559,0.0,0.011539,0.126034,-0.114495,-0.120256,-0.105971,0.0,0.0,True,0.0,True
assist2009,1,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43942,52254,770,0.780116,0.760676,0.01944,0.016759,0.022265,0.0,0.019617,0.126034,-0.106417,-0.11373,-0.09909,0.0,0.0,True,0.0,True
assist2009,2,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44631,53148,770,0.740806,0.72581,0.014995,0.011624,0.01807,0.0,0.01094,0.018534,-0.007594,-0.015186,-0.001882,0.008,0.0,True,0.07200000000000001,False
assist2009,2,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44631,53148,770,0.740804,0.72581,0.014994,0.011619,0.01807,0.0,0.010977,0.018534,-0.007557,-0.01514,-0.001946,0.009,0.0,True,0.07200000000000001,False
assist2009,2,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44631,53148,770,0.72581,0.72581,0.0,0.0,0.0,1.0,0.018534,0.018534,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2009,2,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44631,53148,770,0.741698,0.72581,0.015888,0.01236,0.019122,0.0,0.008594,0.018534,-0.00994,-0.016338,-0.003324,0.002,0.0,True,0.032,True
assist2009,2,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44631,53148,770,0.740584,0.72581,0.014774,0.011187,0.018086,0.0,0.007556,0.018534,-0.010978,-0.018061,-0.004502,0.001,0.0,True,0.021,True
assist2009,2,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.775593,0.759104,0.016489,0.01384,0.019075,0.0,0.012698,0.025647,-0.012949,-0.021892,-0.00356,0.001,0.0,True,0.004,True
assist2009,2,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.775593,0.759104,0.016489,0.01384,0.019074,0.0,0.012697,0.025647,-0.01295,-0.021903,-0.003517,0.001,0.0,True,0.004,True
assist2009,2,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.760565,0.759104,0.001461,-0.003177,0.005871,0.529,0.018517,0.025647,-0.00713,-0.013177,-0.000794,0.028,1.0,False,0.028,True
assist2009,2,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.775889,0.759104,0.016785,0.014235,0.019224,0.0,0.010952,0.025647,-0.014695,-0.02214,-0.005472,0.001,0.0,True,0.004,True
assist2009,2,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.77642,0.759104,0.017316,0.014705,0.019783,0.0,0.00656,0.025647,-0.019087,-0.024468,-0.007826,0.0,0.0,True,0.0,True
