dataset,subset,model,fold,n_rows,auc,ece,brier
algebra2005,classical,bkt,0,93595,0.7508093079215428,0.013982997365685253,0.15224870764126386
algebra2005,classical,bkt,1,93595,0.7500792905869462,0.015669630026707654,0.1523099142899317
algebra2005,classical,bkt,2,93595,0.7502309896508729,0.012839190982796941,0.1523871235817845
algebra2005,classical,bkt,3,93595,0.7506087018561548,0.014198174004746532,0.15231906146903568
algebra2005,classical,bkt,4,93595,0.7508022236883471,0.015460337495323205,0.15233131447157947
algebra2005,classical,pfa,0,93595,0.7377811166303277,0.03590994063235611,0.1591504623888417
algebra2005,classical,pfa,1,93595,0.7380676988494875,0.038378401880197095,0.15869262851470972
algebra2005,classical,pfa,2,93595,0.7369923505670134,0.03781477374142451,0.15940056939262215
algebra2005,classical,pfa,3,93595,0.7372404134306909,0.036096597140198285,0.15853557244446906
algebra2005,classical,pfa,4,93595,0.7368568796423884,0.038696419736489636,0.15875153088828176
algebra2005,classical,pfa_recency,0,93595,0.7414687926439325,0.03950338640543605,0.1601478340836634
algebra2005,classical,pfa_recency,1,93595,0.7413928383302951,0.041903291363125546,0.1606816388051494
algebra2005,classical,pfa_recency,2,93595,0.7402407886222458,0.037869694677719994,0.15991433911680694
algebra2005,classical,pfa_recency,3,93595,0.7399167218441383,0.04150767392623846,0.16031913392872582
algebra2005,classical,pfa_recency,4,93595,0.7406623469981248,0.040897036290194484,0.1603322343914672
algebra2005,classical,elorasch,0,93595,0.7299027468456384,0.05723664469920601,0.16105290944498868
algebra2005,classical,elorasch,1,93595,0.7358159353996401,0.06331282819209957,0.16120333632579628
algebra2005,classical,elorasch,2,93595,0.7332601814024737,0.06068090580094879,0.1611479831006007
algebra2005,classical,elorasch,3,93595,0.7349201376461177,0.062446640845711,0.16107774561416743
algebra2005,classical,elorasch,4,93595,0.7342519914101298,0.06152637452600974,0.16107109040737522
algebra2005,deep,dkt,0,92945,0.8097696245775141,0.019174693636021287,0.1375088210975308
algebra2005,deep,dkt,1,92945,0.8080357389963512,0.009147137554467699,0.13753451821948465
algebra2005,deep,dkt,2,92945,0.8086644417095498,0.01015723384797457,0.1371566536290279
algebra2005,deep,dkt,3,92945,0.8091499201553364,0.010041322287374237,0.13718292630082304
algebra2005,deep,dkt,4,92945,0.8114028527928571,0.012944988971972705,0.1364634413922212
algebra2005,deep,sakt,0,92945,0.7840793202349562,0.059084378933778034,0.14895412892549356
algebra2005,deep,sakt,1,92945,0.7836372571586054,0.05747131959761148,0.14927360612168486
algebra2005,deep,sakt,2,92945,0.7847419805447255,0.05305650008069289,0.1485918501302921
algebra2005,deep,sakt,3,92945,0.7860259427628653,0.05051148528699768,0.1494267168469525
