dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
assist2009,0,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",43912,53148,82,0.741486,0.008254,0.190163,0.732365,0.036473,0.195459,0.740632,0.009901,0.190433,bkt,valid,bkt,0.725239,0.020236,0.195885,0.009122,0.016247,0.000854,-0.028219,-0.011982,-0.001647
assist2009,0,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",43912,53148,82,0.743256,0.008247,0.189371,0.732365,0.036473,0.195459,0.740632,0.009901,0.190433,bkt,valid,bkt,0.725239,0.020236,0.195885,0.010891,0.018016,0.002623,-0.028226,-0.01199,-0.001655
assist2009,0,linear_gating,"bkt,pfa,pfa_recency,elorasch",43912,53148,-1,0.733838,0.035178,0.195117,0.732365,0.036473,0.195459,0.740632,0.009901,0.190433,bkt,valid,bkt,0.725239,0.020236,0.195885,0.001473,0.008598,-0.006795,-0.001295,0.014942,0.025277
assist2009,1,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",44676,53148,84,0.741585,0.008787,0.190183,0.732333,0.036167,0.195454,0.740359,0.008561,0.190504,bkt,valid,bkt,0.725276,0.01942,0.195788,0.009251,0.016309,0.001226,-0.02738,-0.010633,0.000226
assist2009,1,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",44676,53148,84,0.74315,0.00912,0.189368,0.732333,0.036167,0.195454,0.740359,0.008561,0.190504,bkt,valid,bkt,0.725276,0.01942,0.195788,0.010817,0.017875,0.002792,-0.027048,-0.0103,0.000558
assist2009,1,linear_gating,"bkt,pfa,pfa_recency,elorasch",44676,53148,-1,0.733188,0.035689,0.195651,0.732333,0.036167,0.195454,0.740359,0.008561,0.190504,bkt,valid,bkt,0.725276,0.01942,0.195788,0.000855,0.007912,-0.007171,-0.000479,0.016269,0.027127
assist2009,2,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",44631,53148,90,0.73941,0.013286,0.190851,0.732736,0.036905,0.195371,0.740806,0.01094,0.190353,bkt,valid,bkt,0.72581,0.018534,0.195741,0.006673,0.013599,-0.001396,-0.023618,-0.005248,0.002347
assist2009,2,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",44631,53148,90,0.743056,0.009541,0.189451,0.732736,0.036905,0.195371,0.740806,0.01094,0.190353,bkt,valid,bkt,0.72581,0.018534,0.195741,0.01032,0.017246,0.00225,-0.027364,-0.008993,-0.001399
assist2009,2,linear_gating,"bkt,pfa,pfa_recency,elorasch",44631,53148,-1,0.733762,0.03543,0.19535,0.732736,0.036905,0.195371,0.740806,0.01094,0.190353,bkt,valid,bkt,0.72581,0.018534,0.195741,0.001026,0.007952,-0.007044,-0.001474,0.016896,0.024491
assist2009,3,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",50615,53148,88,0.739213,0.013324,0.19123,0.732568,0.037035,0.19541,0.741027,0.012802,0.190378,bkt,valid,bkt,0.726632,0.019525,0.195604,0.006645,0.012581,-0.001814,-0.023711,-0.006201,0.000522
