dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
assist2009,0,static_concept_weights,"dkt,sakt,akt,simplekt",52825,61904,92,0.846219,0.008517,0.14866,0.839948,0.027928,0.152258,0.846248,0.008302,0.14867,akt,valid,akt,0.831487,0.010324,0.154699,0.006271,0.014732,-2.9e-05,-0.019412,-0.001808,0.000215
assist2009,0,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",52825,61904,92,0.847252,0.008093,0.148229,0.839948,0.027928,0.152258,0.846248,0.008302,0.14867,akt,valid,akt,0.831487,0.010324,0.154699,0.007304,0.015765,0.001004,-0.019835,-0.002231,-0.000209
assist2009,0,linear_gating,"dkt,sakt,akt,simplekt",52825,61904,-1,0.839667,0.043531,0.154016,0.839948,0.027928,0.152258,0.846248,0.008302,0.14867,akt,valid,akt,0.831487,0.010324,0.154699,-0.000282,0.008179,-0.006581,0.015603,0.033206,0.035229
assist2009,1,static_concept_weights,"dkt,sakt,akt,simplekt",51822,61904,93,0.846245,0.011891,0.148546,0.840364,0.020742,0.15167,0.845235,0.011242,0.149205,akt,valid,akt,0.829269,0.007153,0.155453,0.005881,0.016976,0.00101,-0.008851,0.004739,0.000649
assist2009,1,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",51822,61904,93,0.845326,0.011578,0.149086,0.840364,0.020742,0.15167,0.845235,0.011242,0.149205,akt,valid,akt,0.829269,0.007153,0.155453,0.004962,0.016057,9.1e-05,-0.009164,0.004425,0.000335
assist2009,1,linear_gating,"dkt,sakt,akt,simplekt",51822,61904,-1,0.835797,0.035473,0.156192,0.840364,0.020742,0.15167,0.845235,0.011242,0.149205,akt,valid,akt,0.829269,0.007153,0.155453,-0.004567,0.006528,-0.009438,0.014731,0.02832,0.024231
assist2009,2,static_concept_weights,"dkt,sakt,akt,simplekt",52678,61904,101,0.844068,0.01305,0.149714,0.839247,0.032019,0.153081,0.843305,0.009124,0.149876,simplekt,valid,akt,0.829041,0.011985,0.156935,0.004821,0.015027,0.000763,-0.01897,0.001065,0.003926
assist2009,2,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",52678,61904,101,0.844663,0.010015,0.149284,0.839247,0.032019,0.153081,0.843305,0.009124,0.149876,simplekt,valid,akt,0.829041,0.011985,0.156935,0.005416,0.015622,0.001358,-0.022004,-0.001969,0.000891
assist2009,2,linear_gating,"dkt,sakt,akt,simplekt",52678,61904,-1,0.838244,0.038145,0.155296,0.839247,0.032019,0.153081,0.843305,0.009124,0.149876,simplekt,valid,akt,0.829041,0.011985,0.156935,-0.001003,0.009203,-0.005061,0.006126,0.02616,0.029021
assist2009,3,static_concept_weights,"dkt,sakt,akt,simplekt",59610,61904,98,0.845658,0.012389,0.148924,0.841158,0.030231,0.15207,0.846494,0.010095,0.148503,akt,valid,simplekt,0.829384,0.007244,0.155426,0.0045,0.016274,-0.000836,-0.017842,0.005145,0.002294
