dataset,subset,fold,n_min,auc_full,auc_intercept,best_single_auc,lift_full_vs_best,lift_intercept_vs_best,gap_full_minus_intercept
algebra2005,classical,0,10,0.762274,0.762071,0.750809,0.011464,0.011261,0.000203
algebra2005,classical,0,30,0.76232,0.762031,0.750809,0.011511,0.011222,0.000289
algebra2005,classical,0,100,0.762573,0.762094,0.750809,0.011763,0.011285,0.000479
algebra2005,classical,1,10,0.763061,0.762535,0.750079,0.012981,0.012456,0.000526
algebra2005,classical,1,30,0.763057,0.762532,0.750079,0.012977,0.012453,0.000525
algebra2005,classical,1,100,0.762935,0.762436,0.750079,0.012855,0.012357,0.000499
algebra2005,classical,2,10,0.761968,0.761355,0.750231,0.011737,0.011124,0.000613
algebra2005,classical,2,30,0.761992,0.761258,0.750231,0.011761,0.011027,0.000734
algebra2005,classical,2,100,0.761988,0.761226,0.750231,0.011757,0.010995,0.000763
algebra2005,classical,3,10,0.762761,0.762076,0.750609,0.012152,0.011467,0.000685
algebra2005,classical,3,30,0.762992,0.762117,0.750609,0.012383,0.011508,0.000875
algebra2005,classical,3,100,0.763294,0.762018,0.750609,0.012685,0.01141,0.001276
algebra2005,classical,4,10,0.761845,0.76209,0.750802,0.011042,0.011287,-0.000245
algebra2005,classical,4,30,0.761997,0.762062,0.750802,0.011194,0.01126,-6.5e-05
algebra2005,classical,4,100,0.762506,0.761988,0.750802,0.011704,0.011185,0.000518
algebra2005,deep,0,10,0.93188,0.930459,0.92167,0.01021,0.008789,0.001421
algebra2005,deep,0,30,0.931894,0.93046,0.92167,0.010224,0.00879,0.001434
algebra2005,deep,0,100,0.931944,0.930453,0.92167,0.010274,0.008783,0.001491
algebra2005,deep,1,10,0.930507,0.928886,0.919094,0.011413,0.009792,0.001621
algebra2005,deep,1,30,0.930502,0.92887,0.919094,0.011408,0.009776,0.001632
algebra2005,deep,1,100,0.930499,0.928864,0.919094,0.011405,0.00977,0.001635
algebra2005,deep,2,10,0.93198,0.930498,0.922659,0.009321,0.007839,0.001481
algebra2005,deep,2,30,0.931982,0.930499,0.922659,0.009323,0.007839,0.001483
algebra2005,deep,2,100,0.932001,0.930458,0.922659,0.009342,0.007799,0.001543
algebra2005,deep,3,10,0.932092,0.930721,0.923337,0.008755,0.007384,0.001371
