dataset,fold,models_in_subset,best_single_model,n_valid,n_test,k_top,moe_train_sec,moe_auc,moe_ece,moe_brier,ccce_auc,ccce_ece,ccce_brier,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,lift_moe_vs_best_auc,lift_moe_vs_best_ece,lift_moe_vs_mean_auc,lift_moe_vs_mean_ece,lift_moe_vs_stack_auc,lift_moe_vs_stack_ece,lift_moe_vs_static_auc,lift_moe_vs_static_ece,lift_moe_vs_ccce_auc,lift_moe_vs_ccce_ece
assist2009,0,"dkt,sakt,akt,simplekt",simplekt,52825,61904,2,1.2,0.83404,0.017734,0.154355,0.8452,0.008613,0.149058,0.845404,0.009785,0.149071,0.843445,0.008441,0.150022,0.833203,0.033715,0.156091,0.827817,0.054418,0.16141,0.006224,-0.036684,0.000837,-0.015981,-0.009405,0.009293,-0.011364,0.007949,-0.01116,0.009121
assist2009,1,"dkt,sakt,akt,simplekt",simplekt,51822,61904,2,0.6,0.833217,0.010535,0.153995,0.845667,0.012679,0.148914,0.84597,0.012741,0.148777,0.844195,0.012515,0.149698,0.835115,0.025394,0.154736,0.826872,0.098352,0.171143,0.006344,-0.087817,-0.001899,-0.014858,-0.010979,-0.00198,-0.012754,-0.002205,-0.01245,-0.002144
assist2009,2,"dkt,sakt,akt,simplekt",simplekt,52678,61904,2,0.9,0.833337,0.014753,0.154159,0.843019,0.014772,0.150157,0.843274,0.013219,0.150061,0.842281,0.009701,0.150447,0.832807,0.036529,0.156551,0.829041,0.011985,0.156935,0.004296,0.002769,0.00053,-0.021776,-0.008944,0.005052,-0.009938,0.001534,-0.009682,-1.9e-05
assist2009,3,"dkt,sakt,akt,simplekt",simplekt,59610,61904,2,1.0,0.8402,0.012152,0.151345,0.844503,0.012917,0.149446,0.844629,0.012355,0.14936,0.845204,0.010025,0.149151,0.835009,0.033767,0.155502,0.832064,0.033752,0.156539,0.008136,-0.0216,0.005191,-0.021615,-0.005004,0.002128,-0.004429,-0.000203,-0.004303,-0.000765
assist2009,4,"dkt,sakt,akt,simplekt",simplekt,53915,61904,2,0.8,0.833252,0.02372,0.154355,0.847661,0.008061,0.148219,0.847814,0.009048,0.148162,0.845878,0.0064,0.148852,0.834475,0.036259,0.155586,0.83191,0.086021,0.165005,0.001342,-0.0623,-0.001223,-0.012539,-0.012627,0.01732,-0.014562,0.014672,-0.014409,0.01566
assist2015,0,"dkt,sakt,akt,simplekt",akt,102749,134592,2,1.1,0.720433,0.006841,0.171756,0.725385,0.007723,0.170705,0.725433,0.007181,0.170648,0.725373,0.004449,0.170663,0.725415,0.01023,0.17078,0.718904,0.009293,0.172154,0.001529,-0.002452,-0.004982,-0.003389,-0.00494,0.002392,-0.005,-0.00034,-0.004952,-0.000883
assist2015,1,"dkt,sakt,akt,simplekt",dkt,103583,134592,2,0.7,0.725316,0.005479,0.170642,0.728864,0.007233,0.169846,0.729096,0.006739,0.169743,0.730325,0.00483,0.169514,0.728211,0.0062,0.16998,0.726397,0.010963,0.17067,-0.001082,-0.005484,-0.002895,-0.000721,-0.005009,0.000649,-0.00378,-0.00126,-0.003549,-0.001754
assist2015,2,"dkt,sakt,akt,simplekt",dkt,104370,134592,2,0.6,0.724852,0.005957,0.17082,0.728577,0.007281,0.170042,0.728906,0.006819,0.169942,0.730143,0.003384,0.169629,0.728113,0.007375,0.17014,0.726512,0.009957,0.170651,-0.00166,-0.004,-0.003261,-0.001419,-0.005291,0.002573,-0.004054,-0.000862,-0.003724,-0.001325
assist2015,3,"dkt,sakt,akt,simplekt",dkt,108932,134592,2,0.6,0.724941,0.00363,0.170729,0.728571,0.006986,0.169934,0.72858,0.005151,0.169915,0.729717,0.003656,0.169669,0.727437,0.003917,0.170169,0.726392,0.01188,0.170717,-0.001451,-0.008251,-0.002496,-0.000288,-0.004776,-2.6e-05,-0.003639,-0.001521,-0.00363,-0.003357
assist2015,4,"dkt,sakt,akt,simplekt",dkt,109271,134592,2,0.6,0.724864,0.014092,0.170953,0.728422,0.007818,0.170154,0.728585,0.007162,0.170022,0.730231,0.004713,0.169604,0.727865,0.015414,0.170389,0.727275,0.006111,0.17041,-0.002411,0.007981,-0.003001,-0.001323,-0.005367,0.009379,-0.003721,0.006929,-0.003558,0.006273
assist2017,0,"dkt,sakt,akt,simplekt",simplekt,153067,177767,2,1.0,0.750512,0.016373,0.190776,0.765692,0.005889,0.185378,0.765948,0.004915,0.18525,0.764963,0.004418,0.185519,0.746901,0.046937,0.194615,0.754975,0.028373,0.189852,-0.004463,-0.012,0.003612,-0.030565,-0.014451,0.011955,-0.015436,0.011457,-0.01518,0.010484
assist2017,1,"dkt,sakt,akt,simplekt",simplekt,141938,177767,2,1.3,0.759163,0.018725,0.187846,0.764971,0.006756,0.185536,0.765247,0.005743,0.185419,0.764105,0.004999,0.185719,0.744286,0.04477,0.195163,0.756517,0.021314,0.188735,0.002647,-0.002589,0.014877,-0.026045,-0.004942,0.013726,-0.006084,0.012982,-0.005808,0.011969
assist2017,2,"dkt,sakt,akt,simplekt",simplekt,145879,177767,2,2.3,0.751867,0.021336,0.190532,0.764171,0.006136,0.185856,0.764443,0.005837,0.18572,0.763478,0.005603,0.186063,0.743489,0.05066,0.196019,0.754668,0.019183,0.189274,-0.002801,0.002154,0.008378,-0.029324,-0.011612,0.015733,-0.012576,0.015499,-0.012304,0.0152
assist2017,3,"dkt,sakt,akt,simplekt",simplekt,168980,177767,2,1.4,0.746019,0.023788,0.192548,0.764008,0.005325,0.18582,0.764068,0.003357,0.185741,0.762431,0.004382,0.186253,0.742974,0.051869,0.196321,0.751014,0.016659,0.190489,-0.004995,0.00713,0.003045,-0.02808,-0.016413,0.019406,-0.018049,0.020431,-0.017989,0.018464
assist2017,4,"dkt,sakt,akt,simplekt",simplekt,149617,177767,2,2.6,0.751525,0.021936,0.190733,0.765895,0.004711,0.185177,0.765988,0.007188,0.185151,0.765318,0.008377,0.185393,0.747477,0.051487,0.195037,0.757588,0.030158,0.188883,-0.006063,-0.008222,0.004048,-0.029551,-0.013792,0.013559,-0.014463,0.014748,-0.014369,0.017225
algebra2005,0,"dkt,sakt,akt,simplekt",simplekt,164550,134674,2,1.0,0.92229,0.005987,0.092601,0.931559,0.004841,0.08783,0.931516,0.006056,0.087883,0.929539,0.006256,0.089121,0.924607,0.021144,0.092754,0.92167,0.023673,0.09472,0.00062,-0.017686,-0.002317,-0.015156,-0.00725,-0.000269,-0.009227,-6.9e-05,-0.009269,0.001146
algebra2005,1,"dkt,sakt,akt,simplekt",simplekt,163830,134674,2,2.4,0.9229,0.009808,0.092736,0.930556,0.005977,0.088643,0.930665,0.00606,0.088615,0.92905,0.007012,0.089508,0.922156,0.020288,0.094113,0.919922,0.013081,0.095062,0.002978,-0.003274,0.000744,-0.010481,-0.00615,0.002796,-0.007765,0.003748,-0.007656,0.00383
algebra2005,2,"dkt,sakt,akt,simplekt",simplekt,146472,134674,2,2.0,0.922998,0.014308,0.092825,0.931904,0.004619,0.087498,0.931894,0.004537,0.08748,0.929765,0.004402,0.088931,0.9237,0.022673,0.093504,0.922659,0.029509,0.094508,0.000339,-0.015201,-0.000702,-0.008365,-0.006767,0.009905,-0.008896,0.009771,-0.008906,0.009689
algebra2005,3,"dkt,sakt,akt,simplekt",simplekt,139259,134674,2,1.6,0.927881,0.013015,0.09005,0.931539,0.003308,0.087513,0.931764,0.002401,0.087398,0.930081,0.00243,0.088577,0.924152,0.019354,0.092617,0.923337,0.029115,0.09361,0.004545,-0.0161,0.003729,-0.006339,-0.002199,0.010585,-0.003882,0.010614,-0.003658,0.009707
algebra2005,4,"dkt,sakt,akt,simplekt",simplekt,130601,134674,2,2.2,0.927988,0.002302,0.090191,0.930459,0.003716,0.088551,0.930607,0.002859,0.088462,0.929196,0.003482,0.08937,0.922727,0.016898,0.093464,0.920613,0.01831,0.09498,0.007375,-0.016008,0.005261,-0.014596,-0.001208,-0.00118,-0.002619,-0.000557,-0.002471,-0.001414
bridge2algebra2006,0,"dkt,sakt,akt,simplekt",simplekt,277809,353631,2,4.6,0.812406,0.005723,0.105772,0.819216,0.004415,0.104238,0.819495,0.003667,0.104169,0.817467,0.00381,0.104714,0.806099,0.015488,0.107731,0.808154,0.008748,0.107026,0.004252,-0.003025,0.006307,-0.009764,-0.005061,0.001914,-0.007089,0.002056,-0.00681,0.001309
bridge2algebra2006,1,"dkt,sakt,akt,simplekt",simplekt,287732,353631,2,6.5,0.814993,0.006499,0.105231,0.821768,0.004233,0.103544,0.821778,0.0041,0.103523,0.819495,0.004376,0.104121,0.809838,0.016669,0.106969,0.806248,0.012327,0.1066,0.008746,-0.005828,0.005155,-0.01017,-0.004502,0.002123,-0.006785,0.002399,-0.006775,0.002266
bridge2algebra2006,2,"dkt,sakt,akt,simplekt",simplekt,302714,353631,2,4.7,0.817255,0.006787,0.104584,0.821501,0.005048,0.103504,0.821477,0.005364,0.103468,0.820351,0.004542,0.103898,0.811569,0.018278,0.106505,0.807025,0.019036,0.107032,0.01023,-0.012249,0.005686,-0.011491,-0.003096,0.002245,-0.004223,0.001423,-0.004246,0.001739
bridge2algebra2006,3,"dkt,sakt,akt,simplekt",simplekt,308962,353631,2,4.3,0.810563,0.011604,0.10653,0.818713,0.004738,0.104309,0.81925,0.00459,0.104213,0.816041,0.004551,0.105217,0.804013,0.01692,0.108379,0.804825,0.029778,0.108854,0.005738,-0.018173,0.00655,-0.005315,-0.005478,0.007054,-0.008688,0.007015,-0.00815,0.006867
bridge2algebra2006,4,"dkt,sakt,akt,simplekt",simplekt,283782,353631,2,2.4,0.810177,0.013383,0.106148,0.820239,0.004249,0.104112,0.820283,0.003531,0.104059,0.817072,0.004209,0.104457,0.80585,0.018162,0.107611,0.804794,0.027284,0.108345,0.005383,-0.013901,0.004326,-0.004779,-0.006895,0.009174,-0.010106,0.009852,-0.010062,0.009134
assist2012,0,"dkt,sakt,akt,simplekt",simplekt,439766,536087,2,1.7,0.763362,0.014756,0.171212,0.775635,0.002398,0.167053,0.775765,0.002045,0.167014,0.773737,0.002733,0.167616,0.759152,0.025787,0.173227,0.769188,0.017698,0.169463,-0.005826,-0.002942,0.00421,-0.011032,-0.010375,0.012023,-0.012403,0.012711,-0.012274,0.012358
assist2012,1,"dkt,sakt,akt,simplekt",simplekt,432602,536087,2,1.7,0.766015,0.013112,0.17031,0.776613,0.002798,0.166779,0.776676,0.003181,0.166749,0.77471,0.002436,0.167381,0.760293,0.024414,0.172833,0.770273,0.019178,0.169345,-0.004258,-0.006065,0.005722,-0.011302,-0.008695,0.010676,-0.010661,0.009932,-0.010597,0.010315
assist2012,2,"dkt,sakt,akt,simplekt",simplekt,424912,536087,2,2.1,0.76728,0.013465,0.169932,0.775696,0.001762,0.166985,0.775755,0.001598,0.166969,0.774473,0.002951,0.167375,0.758807,0.02548,0.173348,0.771,0.008504,0.168528,-0.00372,0.004961,0.008474,-0.012015,-0.007193,0.010514,-0.008474,0.011867,-0.008416,0.011703
assist2012,3,"dkt,sakt,akt,simplekt",simplekt,419158,536087,2,2.3,0.764059,0.009492,0.170853,0.776083,0.003472,0.166935,0.776208,0.002533,0.166876,0.774735,0.001998,0.167312,0.759627,0.022237,0.1729,0.770207,0.015383,0.169089,-0.006148,-0.00589,0.004432,-0.012745,-0.010676,0.007494,-0.012149,0.00696,-0.012024,0.00602
assist2012,4,"dkt,sakt,akt,simplekt",simplekt,423475,536087,2,4.0,0.766879,0.008379,0.169885,0.775307,0.003656,0.16713,0.775387,0.002485,0.167085,0.77387,0.002622,0.167568,0.758974,0.023578,0.173299,0.770697,0.015604,0.168812,-0.003819,-0.007224,0.007905,-0.015198,-0.006991,0.005758,-0.008508,0.005895,-0.008428,0.004724
ednet,0,"dkt,sakt,akt,simplekt",simplekt,181289,301372,2,1.9,0.939198,0.006297,0.087865,0.940562,0.004897,0.086921,0.94037,0.00502,0.087115,0.940695,0.0063,0.086917,0.936077,0.015181,0.090376,0.940611,0.02186,0.088204,-0.001413,-0.015563,0.003121,-0.008884,-0.001498,-3e-06,-0.001172,0.001278,-0.001364,0.0014
ednet,1,"dkt,sakt,akt,simplekt",simplekt,258480,301372,2,2.5,0.940004,0.003234,0.087273,0.941442,0.007198,0.086471,0.941366,0.008358,0.086602,0.941521,0.009069,0.086559,0.936059,0.013598,0.09018,0.941215,0.013728,0.087027,-0.001211,-0.010494,0.003945,-0.010364,-0.001516,-0.005834,-0.001362,-0.005124,-0.001438,-0.003964
ednet,2,"dkt,sakt,akt,simplekt",simplekt,191811,301372,2,2.5,0.938213,0.007177,0.088355,0.940442,0.004533,0.086985,0.939869,0.004381,0.087439,0.940228,0.006436,0.087218,0.936098,0.015814,0.090357,0.940673,0.020558,0.088107,-0.00246,-0.013381,0.002115,-0.008637,-0.002015,0.00074,-0.001656,0.002796,-0.002229,0.002644
ednet,3,"dkt,sakt,akt,simplekt",simplekt,215928,301372,2,2.5,0.938983,0.005566,0.087868,0.940542,0.00631,0.086871,0.939925,0.008326,0.087405,0.940168,0.011343,0.087388,0.936061,0.015713,0.09035,0.940562,0.019548,0.087984,-0.001578,-0.013983,0.002923,-0.010147,-0.001185,-0.005777,-0.000941,-0.002761,-0.001559,-0.000745
ednet,4,"dkt,sakt,akt,simplekt",simplekt,215744,301372,2,2.6,0.938566,0.0112,0.08841,0.940836,0.003372,0.086775,0.94083,0.002944,0.086811,0.940698,0.002476,0.08688,0.935634,0.017286,0.090765,0.940598,0.021363,0.088375,-0.002032,-0.010163,0.002931,-0.006086,-0.002132,0.008725,-0.002265,0.008257,-0.00227,0.007828
