dataset,fold,granularity,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,k_top,moe_train_sec,moe_auc,moe_ece,moe_brier,ccce_auc,ccce_ece,ccce_brier,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,lift_moe_vs_best_auc,lift_moe_vs_best_ece,lift_moe_vs_mean_auc,lift_moe_vs_mean_ece,lift_moe_vs_stack_auc,lift_moe_vs_stack_ece,lift_moe_vs_static_auc,lift_moe_vs_static_ece,lift_moe_vs_ccce_auc,lift_moe_vs_ccce_ece
assist2009,0,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,43171,52254,2,0.9,0.769691,0.016479,0.18143,0.782926,0.010251,0.176797,0.783043,0.010994,0.176704,0.780687,0.013298,0.177668,0.776598,0.017173,0.178857,0.763575,0.078771,0.191806,0.006116,-0.062293,-0.006907,-0.000695,-0.010997,0.003181,-0.013353,0.005484,-0.013235,0.006228
assist2009,1,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,43942,52254,2,0.4,0.764242,0.012848,0.182727,0.782711,0.013645,0.176457,0.783052,0.013756,0.176384,0.779916,0.014077,0.177899,0.776411,0.010109,0.178574,0.760676,0.126034,0.204737,0.003566,-0.113186,-0.012169,0.002738,-0.015674,-0.00123,-0.01881,-0.000908,-0.01847,-0.000797
assist2009,2,question,"dkt,sakt,akt,simplekt",simplekt,valid,akt,43884,52254,2,0.5,0.772609,0.013802,0.180034,0.779426,0.016821,0.177989,0.779565,0.017013,0.177982,0.775593,0.012698,0.179458,0.773765,0.017188,0.179962,0.759104,0.025647,0.186988,0.013505,-0.011845,-0.001156,-0.003386,-0.002984,0.001104,-0.006956,-0.003211,-0.006817,-0.003019
assist2009,3,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,49836,52254,2,0.3,0.770386,0.012302,0.180719,0.781845,0.015542,0.176964,0.782362,0.015456,0.176894,0.781343,0.013,0.177403,0.777574,0.017262,0.178641,0.767424,0.057253,0.186466,0.002962,-0.044951,-0.007189,-0.004959,-0.010957,-0.000698,-0.011976,-0.003153,-0.01146,-0.00324
assist2009,4,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,44892,52254,2,0.3,0.767717,0.027902,0.182273,0.785662,0.011538,0.1758,0.786151,0.011105,0.175572,0.782027,0.010668,0.177038,0.776597,0.029325,0.179302,0.766135,0.111292,0.197373,0.001581,-0.08339,-0.008881,-0.001423,-0.01431,0.017234,-0.018434,0.016798,-0.017945,0.016365
assist2017,0,question,"dkt,sakt,akt,simplekt",akt,valid,akt,153067,177767,2,0.6,0.763516,0.010428,0.186231,0.770406,0.005353,0.183848,0.770687,0.004779,0.183694,0.769958,0.004197,0.18388,0.76334,0.038875,0.188194,0.758263,0.015686,0.188321,0.005252,-0.005258,0.000176,-0.028446,-0.006443,0.006232,-0.007172,0.005649,-0.00689,0.005075
assist2017,1,question,"dkt,sakt,akt,simplekt",akt,valid,akt,141938,177767,2,0.9,0.765255,0.005241,0.185565,0.771314,0.005373,0.183481,0.771435,0.005054,0.183412,0.770683,0.004285,0.183613,0.763435,0.037705,0.188127,0.758171,0.01577,0.188319,0.007084,-0.010529,0.001821,-0.032464,-0.005427,0.000956,-0.00618,0.000187,-0.006058,-0.000132
assist2017,2,question,"dkt,sakt,akt,simplekt",akt,valid,akt,145879,177767,2,1.1,0.763349,0.011575,0.186373,0.769161,0.006379,0.184259,0.769395,0.005821,0.184158,0.768838,0.006615,0.184331,0.76173,0.043886,0.189212,0.757625,0.017892,0.18869,0.005724,-0.006317,0.00162,-0.032311,-0.005489,0.00496,-0.006046,0.005753,-0.005812,0.005195
assist2017,3,question,"dkt,sakt,akt,simplekt",akt,valid,akt,168980,177767,2,0.9,0.763551,0.016758,0.186335,0.769773,0.0064,0.183984,0.769895,0.004348,0.183863,0.769464,0.004106,0.184,0.763362,0.045767,0.188935,0.758611,0.017125,0.188194,0.00494,-0.000367,0.000189,-0.029009,-0.005913,0.012652,-0.006343,0.01241,-0.006222,0.010358
assist2017,4,question,"dkt,sakt,akt,simplekt",simplekt,valid,akt,149617,177767,2,0.7,0.766719,0.018272,0.185466,0.772108,0.004191,0.183178,0.772146,0.006403,0.183178,0.772106,0.007574,0.183199,0.765056,0.043458,0.18816,0.757588,0.030158,0.188884,0.009131,-0.011886,0.001663,-0.025185,-0.005387,0.010699,-0.005427,0.01187,-0.005389,0.014082
