dataset,curve,mean_p,frac_correct,n
assist2017,лучшая одиночная,0.042347135262847016,0.05147244958231373,11851
assist2017,лучшая одиночная,0.09191226900683486,0.10615137963041094,11851
assist2017,лучшая одиночная,0.13766639945996118,0.14994515230782213,11851
assist2017,лучшая одиночная,0.18262581216774953,0.19061682558433887,11851
assist2017,лучшая одиночная,0.22771295249346044,0.23373554974263774,11851
assist2017,лучшая одиночная,0.27213851995612187,0.2702725508395916,11851
assist2017,лучшая одиночная,0.31610944224116105,0.31440384777655894,11851
assist2017,лучшая одиночная,0.359282112723591,0.3524299696253797,11852
assist2017,лучшая одиночная,0.40196930216859333,0.3931313813180322,11851
assist2017,лучшая одиночная,0.44574516918403506,0.42924647709054087,11851
assist2017,лучшая одиночная,0.4924069867521728,0.46645852670660704,11851
assist2017,лучшая одиночная,0.5466632014176019,0.5230782212471521,11851
assist2017,лучшая одиночная,0.6156809636317611,0.5823137287992575,11851
assist2017,лучшая одиночная,0.7136978735971647,0.6751329001772003,11851
assist2017,лучшая одиночная,0.8643866098548768,0.8364832939588255,11852
assist2017,усреднение,0.11256791831912917,0.058054172643658766,11851
assist2017,усреднение,0.167246392709476,0.10125727786684668,11851
assist2017,усреднение,0.20627678254999576,0.14623238545270442,11851
assist2017,усреднение,0.2403813285798667,0.1798160492785419,11851
assist2017,усреднение,0.2714984220740866,0.22462239473462156,11851
assist2017,усреднение,0.3012535988524175,0.2609906337017973,11851
assist2017,усреднение,0.33064127288836387,0.3054594548983208,11851
assist2017,усреднение,0.3601468043368208,0.34956125548430644,11852
assist2017,усреднение,0.3899315078896296,0.3987005316007088,11851
assist2017,усреднение,0.42091919458273563,0.4372626782549996,11851
assist2017,усреднение,0.4552079276010463,0.47692177875284786,11851
assist2017,усреднение,0.49621781284279803,0.5235845076364863,11851
assist2017,усреднение,0.552141690574635,0.5869546873681546,11851
assist2017,усреднение,0.6354678508142773,0.6850898658341068,11851
assist2017,усреднение,0.77988822561593,0.840364495443807,11852
bridge2algebra2006,лучшая одиночная,0.3690534502575455,0.3888297645906943,23491
bridge2algebra2006,лучшая одиночная,0.5609661189391681,0.563918096292197,23491
bridge2algebra2006,лучшая одиночная,0.6730138898348373,0.6863187468074238,23492
bridge2algebra2006,лучшая одиночная,0.7524606615299475,0.7685922268102677,23491
bridge2algebra2006,лучшая одиночная,0.8094172789578986,0.8275935464646035,23491
bridge2algebra2006,лучшая одиночная,0.8498774050740677,0.8617827345479312,23492
bridge2algebra2006,лучшая одиночная,0.8797389425737517,0.8907666765995488,23491
bridge2algebra2006,лучшая одиночная,0.9027941296666808,0.9077519049848878,23491
bridge2algebra2006,лучшая одиночная,0.9210453601225949,0.9281883194278904,23492
bridge2algebra2006,лучшая одиночная,0.935797952407305,0.9385722191477587,23491
bridge2algebra2006,лучшая одиночная,0.9482385253927037,0.9488740368651825,23491
bridge2algebra2006,лучшая одиночная,0.9590467818831943,0.9555593393495658,23492
bridge2algebra2006,лучшая одиночная,0.9689180920352475,0.963943637989017,23491
bridge2algebra2006,лучшая одиночная,0.9786199310374186,0.9712655910774339,23491
bridge2algebra2006,лучшая одиночная,0.9896920994381065,0.9833986037800102,23492
bridge2algebra2006,усреднение,0.4157543229321869,0.37857051636797073,23491
bridge2algebra2006,усреднение,0.5975583627772338,0.5592354518751862,23491
bridge2algebra2006,усреднение,0.698161541162949,0.6833390090243487,23492
bridge2algebra2006,усреднение,0.7702401313268912,0.7645481248137584,23491
bridge2algebra2006,усреднение,0.8203228204418714,0.8229109020475927,23491
bridge2algebra2006,усреднение,0.8557872999318917,0.8635705772177763,23492
bridge2algebra2006,усреднение,0.8819282203822741,0.8946405006172576,23491
bridge2algebra2006,усреднение,0.9020565397386233,0.9149887190839044,23491
bridge2algebra2006,усреднение,0.9180437170100458,0.9279754810148135,23492
bridge2algebra2006,усреднение,0.9309864075603422,0.9402749989357626,23491
bridge2algebra2006,усреднение,0.9418835458260609,0.950449108169086,23491
bridge2algebra2006,усреднение,0.9516257428060617,0.9607100289460242,23492
bridge2algebra2006,усреднение,0.9605737739985526,0.9674343365544251,23491
bridge2algebra2006,усреднение,0.9691405389298029,0.9736069132859393,23491
bridge2algebra2006,усреднение,0.978976351523923,0.9831006300017027,23492
ednet,лучшая одиночная,0.14225188925451038,0.4670373312152502,8813
ednet,лучшая одиночная,0.2410650669389608,0.5350578624914908,8814
ednet,лучшая одиночная,0.3264681642840935,0.5263217608350351,8814
ednet,лучшая одиночная,0.41779255729521214,0.511118674835489,8814
ednet,лучшая одиночная,0.5110876560018153,0.5577490356251418,8814
ednet,лучшая одиночная,0.5994173247106875,0.6200363058770139,8814
ednet,лучшая одиночная,0.6819342296346721,0.6420467438166553,8814
ednet,лучшая одиночная,0.7575912865895166,0.6577036532788745,8814
ednet,лучшая одиночная,0.8252367029725437,0.6768776945768096,8814
ednet,лучшая одиночная,0.879583605627411,0.6815293850692081,8814
ednet,лучшая одиночная,0.9159464942137507,0.7098933514862719,8814
ednet,лучшая одиночная,0.941150782845473,0.7632176083503517,8814
ednet,лучшая одиночная,0.9618319832085317,0.8172226004084411,8814
ednet,лучшая одиночная,0.9802591785795325,0.8486498751985477,8814
ednet,лучшая одиночная,0.9955687542545949,0.8950533242568641,8814
ednet,усреднение,0.2237609383864745,0.5177578577102009,8813
ednet,усреднение,0.35501379339686856,0.5913319718629453,8814
ednet,усреднение,0.45346504424778755,0.4882005899705015,8814
ednet,усреднение,0.5227014068527344,0.4964828681642841,8814
ednet,усреднение,0.5723310245064669,0.5584297708191513,8814
ednet,усреднение,0.6135822157930566,0.6035852053551168,8814
ednet,усреднение,0.6519778449058318,0.6496482868164284,8814
ednet,усреднение,0.6896277513047424,0.6935557068300431,8814
ednet,усреднение,0.7289601996823236,0.7263444520081688,8814
ednet,усреднение,0.7742013501248014,0.7447243022464262,8814
ednet,усреднение,0.8321688847288404,0.7355343771272975,8814
ednet,усреднение,0.8799816967324712,0.7017245291581575,8814
ednet,усреднение,0.9045205638756524,0.7483548899478103,8814
ednet,усреднение,0.9224429742455185,0.796233265259814,8814
ednet,усреднение,0.9444837758112092,0.8576128885863399,8814
