dataset,fold,subset,models_in_subset,aggregator,n_rows,auc,ece,brier,best_single_model,best_single_selected_on,best_single_auc,delta_auc,best_single_ece,delta_ece,best_single_brier,delta_brier,best_single_on_test_model,best_single_on_test_auc,best_single_on_test_ece,delta_auc_vs_test_best
assist2009,0,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,53148,0.732365,0.036473,0.195459,bkt,valid,0.725239,0.007125,0.020236,0.016237,0.195885,-0.000426,bkt,0.725239,0.020236,0.007125
assist2009,0,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,53148,0.732494,0.03457,0.19546,bkt,valid,0.725239,0.007255,0.020236,0.014334,0.195885,-0.000424,bkt,0.725239,0.020236,0.007255
assist2009,0,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,53148,0.731464,0.031332,0.195559,bkt,valid,0.725239,0.006225,0.020236,0.011096,0.195885,-0.000326,bkt,0.725239,0.020236,0.006225
assist2009,0,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,53148,0.733977,nan,nan,bkt,valid,0.725239,0.008738,0.020236,nan,0.195885,nan,bkt,0.725239,0.020236,0.008738
assist2009,0,classical,"bkt,pfa,pfa_recency,elorasch",median,53148,0.727989,0.026637,0.196273,bkt,valid,0.725239,0.00275,0.020236,0.006401,0.195885,0.000388,bkt,0.725239,0.020236,0.00275
assist2009,0,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,52254,0.776598,0.017173,0.178857,simplekt,valid,0.763575,0.013023,0.078771,-0.061598,0.191806,-0.012949,simplekt,0.763575,0.078771,0.013023
assist2009,0,deep,"dkt,sakt,akt,simplekt",geometric_mean,52254,0.775572,0.009621,0.179035,simplekt,valid,0.763575,0.011998,0.078771,-0.06915,0.191806,-0.012771,simplekt,0.763575,0.078771,0.011998
assist2009,0,deep,"dkt,sakt,akt,simplekt",logit_mean,52254,0.778624,0.025745,0.178934,simplekt,valid,0.763575,0.015049,0.078771,-0.053027,0.191806,-0.012872,simplekt,0.763575,0.078771,0.015049
assist2009,0,deep,"dkt,sakt,akt,simplekt",rank_mean,52254,0.775656,nan,nan,simplekt,valid,0.763575,0.012081,0.078771,nan,0.191806,nan,simplekt,0.763575,0.078771,0.012081
assist2009,0,deep,"dkt,sakt,akt,simplekt",median,52254,0.7716,0.017391,0.18042,simplekt,valid,0.763575,0.008025,0.078771,-0.06138,0.191806,-0.011386,simplekt,0.763575,0.078771,0.008025
assist2009,1,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,53148,0.732333,0.036167,0.195454,bkt,valid,0.725276,0.007057,0.01942,0.016748,0.195788,-0.000334,bkt,0.725276,0.01942,0.007057
assist2009,1,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,53148,0.732395,0.033547,0.195484,bkt,valid,0.725276,0.007119,0.01942,0.014127,0.195788,-0.000304,bkt,0.725276,0.01942,0.007119
assist2009,1,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,53148,0.731463,0.030274,0.195527,bkt,valid,0.725276,0.006187,0.01942,0.010854,0.195788,-0.000261,bkt,0.725276,0.01942,0.006187
assist2009,1,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,53148,0.733834,nan,nan,bkt,valid,0.725276,0.008558,0.01942,nan,0.195788,nan,bkt,0.725276,0.01942,0.008558
assist2009,1,classical,"bkt,pfa,pfa_recency,elorasch",median,53148,0.728177,0.026501,0.196223,bkt,valid,0.725276,0.002901,0.01942,0.007081,0.195788,0.000435,bkt,0.725276,0.01942,0.002901
assist2009,1,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,52254,0.776411,0.010109,0.178574,simplekt,valid,0.760676,0.015735,0.126034,-0.115925,0.204737,-0.026163,simplekt,0.760676,0.126034,0.015735
assist2009,1,deep,"dkt,sakt,akt,simplekt",geometric_mean,52254,0.77506,0.018434,0.179827,simplekt,valid,0.760676,0.014384,0.126034,-0.1076,0.204737,-0.02491,simplekt,0.760676,0.126034,0.014384
assist2009,1,deep,"dkt,sakt,akt,simplekt",logit_mean,52254,0.779214,0.03176,0.178972,simplekt,valid,0.760676,0.018539,0.126034,-0.094274,0.204737,-0.025765,simplekt,0.760676,0.126034,0.018539
assist2009,1,deep,"dkt,sakt,akt,simplekt",rank_mean,52254,0.775027,nan,nan,simplekt,valid,0.760676,0.014351,0.126034,nan,0.204737,nan,simplekt,0.760676,0.126034,0.014351
assist2009,1,deep,"dkt,sakt,akt,simplekt",median,52254,0.769883,0.014642,0.180808,simplekt,valid,0.760676,0.009207,0.126034,-0.111392,0.204737,-0.023929,simplekt,0.760676,0.126034,0.009207
assist2009,2,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,53148,0.732736,0.036905,0.195371,bkt,valid,0.72581,0.006926,0.018534,0.018371,0.195741,-0.00037,bkt,0.72581,0.018534,0.006926
assist2009,2,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,53148,0.732798,0.034466,0.195472,bkt,valid,0.72581,0.006987,0.018534,0.015932,0.195741,-0.000269,bkt,0.72581,0.018534,0.006987
assist2009,2,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,53148,0.731862,0.031915,0.195536,bkt,valid,0.72581,0.006052,0.018534,0.013381,0.195741,-0.000205,bkt,0.72581,0.018534,0.006052
assist2009,2,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,53148,0.734448,nan,nan,bkt,valid,0.72581,0.008637,0.018534,nan,0.195741,nan,bkt,0.72581,0.018534,0.008637
assist2009,2,classical,"bkt,pfa,pfa_recency,elorasch",median,53148,0.728648,0.02795,0.196131,bkt,valid,0.72581,0.002837,0.018534,0.009416,0.195741,0.00039,bkt,0.72581,0.018534,0.002837
assist2009,2,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,52254,0.773765,0.017188,0.179962,simplekt,valid,0.759104,0.014661,0.025647,-0.008459,0.186988,-0.007027,akt,0.760558,0.018555,0.013208
assist2009,2,deep,"dkt,sakt,akt,simplekt",geometric_mean,52254,0.773278,0.009934,0.180008,simplekt,valid,0.759104,0.014174,0.025647,-0.015713,0.186988,-0.006981,akt,0.760558,0.018555,0.01272
assist2009,2,deep,"dkt,sakt,akt,simplekt",logit_mean,52254,0.7736,0.01749,0.180103,simplekt,valid,0.759104,0.014496,0.025647,-0.008158,0.186988,-0.006886,akt,0.760558,0.018555,0.013042
assist2009,2,deep,"dkt,sakt,akt,simplekt",rank_mean,52254,0.772783,nan,nan,simplekt,valid,0.759104,0.013679,0.025647,nan,0.186988,nan,akt,0.760558,0.018555,0.012225
assist2009,2,deep,"dkt,sakt,akt,simplekt",median,52254,0.770454,0.015548,0.180915,simplekt,valid,0.759104,0.01135,0.025647,-0.0101,0.186988,-0.006074,akt,0.760558,0.018555,0.009897
assist2009,3,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,53148,0.732568,0.037035,0.19541,bkt,valid,0.726632,0.005936,0.019525,0.01751,0.195604,-0.000194,bkt,0.726632,0.019525,0.005936
assist2009,3,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,53148,0.732632,0.034476,0.195461,bkt,valid,0.726632,0.006,0.019525,0.014952,0.195604,-0.000143,bkt,0.726632,0.019525,0.006
assist2009,3,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,53148,0.731687,0.031097,0.195483,bkt,valid,0.726632,0.005055,0.019525,0.011572,0.195604,-0.000121,bkt,0.726632,0.019525,0.005055
assist2009,3,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,53148,0.734348,nan,nan,bkt,valid,0.726632,0.007716,0.019525,nan,0.195604,nan,bkt,0.726632,0.019525,0.007716
assist2009,3,classical,"bkt,pfa,pfa_recency,elorasch",median,53148,0.728476,0.027592,0.196148,bkt,valid,0.726632,0.001844,0.019525,0.008067,0.195604,0.000543,bkt,0.726632,0.019525,0.001844
assist2009,3,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,52254,0.777574,0.017262,0.178641,simplekt,valid,0.767424,0.010151,0.057253,-0.039991,0.186466,-0.007825,simplekt,0.767424,0.057253,0.010151
assist2009,3,deep,"dkt,sakt,akt,simplekt",geometric_mean,52254,0.777264,0.009127,0.178489,simplekt,valid,0.767424,0.009841,0.057253,-0.048126,0.186466,-0.007977,simplekt,0.767424,0.057253,0.009841
assist2009,3,deep,"dkt,sakt,akt,simplekt",logit_mean,52254,0.778727,0.021725,0.178637,simplekt,valid,0.767424,0.011303,0.057253,-0.035528,0.186466,-0.007829,simplekt,0.767424,0.057253,0.011303
assist2009,3,deep,"dkt,sakt,akt,simplekt",rank_mean,52254,0.775525,nan,nan,simplekt,valid,0.767424,0.008101,0.057253,nan,0.186466,nan,simplekt,0.767424,0.057253,0.008101
assist2009,3,deep,"dkt,sakt,akt,simplekt",median,52254,0.772422,0.018342,0.180194,simplekt,valid,0.767424,0.004998,0.057253,-0.038911,0.186466,-0.006272,simplekt,0.767424,0.057253,0.004998
assist2009,4,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,53148,0.73249,0.037019,0.195604,bkt,valid,0.725994,0.006496,0.020951,0.016069,0.195899,-0.000295,bkt,0.725994,0.020951,0.006496
