dataset,fold,subset,meta_learner,models_in_subset,n_valid,n_test,stacked_auc,stacked_ece,stacked_brier,mean_auc,mean_ece,mean_brier,best_single_model,best_single_selected_on,best_single_auc,best_single_ece,best_single_brier,best_single_on_test_model,best_single_on_test_auc,lift_stacked_vs_test_best_auc,lift_stacked_vs_mean_auc,lift_stacked_vs_best_auc,lift_stacked_vs_mean_ece,lift_stacked_vs_best_ece,weight_bkt,weight_pfa,weight_pfa_recency,weight_elorasch,weight_dkt,weight_sakt,weight_akt,weight_simplekt
assist2009,0,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",43912,53148,0.740436,0.010218,0.190495,0.732123,0.036906,0.195544,bkt,valid,0.725239,0.020236,0.195885,bkt,0.725239,0.015197,0.008313,0.015197,-0.026688,-0.010018,0.646722,-0.340252,0.414046,0.855117,,,,
assist2009,0,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",43912,53148,0.740436,0.010175,0.190495,0.732123,0.036906,0.195544,bkt,valid,0.725239,0.020236,0.195885,bkt,0.725239,0.015196,0.008313,0.015196,-0.026731,-0.010062,0.646756,-0.340729,0.414388,0.855793,,,,
assist2009,0,classical,bma,"bkt,pfa,pfa_recency,elorasch",43912,53148,0.725239,0.020236,0.195885,0.732123,0.036906,0.195544,bkt,valid,0.725239,0.020236,0.195885,bkt,0.725239,0.0,-0.006884,0.0,-0.01667,0.0,1.0,0.0,0.0,0.0,,,,
assist2009,0,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",43912,53148,0.742556,0.007024,0.189915,0.732123,0.036906,0.195544,bkt,valid,0.725239,0.020236,0.195885,bkt,0.725239,0.017317,0.010433,0.017317,-0.029882,-0.013212,nan,nan,nan,nan,,,,
assist2009,0,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",43912,53148,0.740687,0.012165,0.190443,0.732123,0.036906,0.195544,bkt,valid,0.725239,0.020236,0.195885,bkt,0.725239,0.015447,0.008564,0.015447,-0.024741,-0.008071,nan,nan,nan,nan,,,,
assist2009,0,deep,logistic_stacked,"dkt,sakt,akt,simplekt",43171,52254,0.780687,0.013298,0.177668,0.776598,0.017173,0.178857,simplekt,valid,0.763575,0.078771,0.191806,simplekt,0.763575,0.017113,0.00409,0.017113,-0.003876,-0.065474,,,,,0.249989,0.098059,0.22764,0.305417
assist2009,0,deep,ridge_stacked,"dkt,sakt,akt,simplekt",43171,52254,0.780688,0.013258,0.177667,0.776598,0.017173,0.178857,simplekt,valid,0.763575,0.078771,0.191806,simplekt,0.763575,0.017113,0.00409,0.017113,-0.003915,-0.065513,,,,,0.250028,0.098034,0.227647,0.305424
assist2009,0,deep,bma,"dkt,sakt,akt,simplekt",43171,52254,0.761532,0.022268,0.184293,0.776598,0.017173,0.178857,simplekt,valid,0.763575,0.078771,0.191806,simplekt,0.763575,-0.002043,-0.015066,-0.002043,0.005095,-0.056504,,,,,0.0,0.0,1.0,0.0
assist2009,0,deep,xgb_stacked,"dkt,sakt,akt,simplekt",43171,52254,0.780631,0.010316,0.177438,0.776598,0.017173,0.178857,simplekt,valid,0.763575,0.078771,0.191806,simplekt,0.763575,0.017057,0.004034,0.017057,-0.006857,-0.068455,,,,,nan,nan,nan,nan
assist2009,0,deep,mlp_stacked,"dkt,sakt,akt,simplekt",43171,52254,0.781281,0.010878,0.177265,0.776598,0.017173,0.178857,simplekt,valid,0.763575,0.078771,0.191806,simplekt,0.763575,0.017707,0.004683,0.017707,-0.006296,-0.067894,,,,,nan,nan,nan,nan
